League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Indonesian Liga 1,2025-02-24,05:30:00,Arema Cronus,PSIS Semarang,1.58,1.7,5.1,8.0,3.55,5.1,1.84,2.2,1.83,2.2,1.76,2.28,1.78,2.32,12.0,21.0,15.5,26.0,38.0,65.0,1.01,1000.0,6.4,10.5,7.0,11.5,17.0,28.0,16.5,1000.0,7.0,11.5,7.4,12.0,16.5,28.0,60.0,110.0,11.0,18.0,12.5,22.0,27.0,46.0,90.0,1000.0,7.0,11.5,80.0,1000.0,1.01,1000.0,34048833,8567505.0,9686244.0,58805.0,1.239785973,1.239786018,1.239786057,1.239785982,2.84,4.4,1.3,1.54,3.85,110.0,1.04,1.35,3.85,5.3,1.27,1.35,1.15,1.21,2.42,2.74,1.27,1.34,1.239785974,1.239785976,1.239785977,1.239786021
Indonesian Liga 1,2025-02-24,09:00:00,PS Barito Putera,Bali Utd Pusam,2.48,2.8,2.68,3.05,3.6,4.1,2.08,2.3,1.77,1.93,1.54,1.93,2.08,2.82,12.0,21.0,10.0,16.5,14.5,25.0,30.0,55.0,9.6,15.5,6.4,10.5,9.4,15.5,21.0,36.0,13.0,22.0,9.0,15.0,12.0,21.0,27.0,46.0,26.0,46.0,19.0,32.0,26.0,44.0,55.0,95.0,13.5,23.0,15.5,27.0,1.01,1000.0,34048912,11802591.0,10228030.0,58805.0,1.239786901,1.239786946,1.239786985,1.23978691,3.2,3.9,1.37,1.46,4.1,110.0,1.01,1.32,4.1,5.6,1.26,1.32,1.5,1.6,1.56,1.68,1.32,1.39,1.239786902,1.239786904,1.239786905,1.239786949
Malaysian Super League,2025-02-24,09:15:00,Johor Darul Takzim,Perak,1.04,1.06,1.04,1000.0,1.01,110.0,1.7,110.0,1.01,2.44,1.01,1000.0,1.01,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,34063873,6958480.0,5528833.0,58805.0,1.239981882,1.239981927,1.239981966,1.239981891,1.01,1000.0,1.01,1000.0,1.7,1000.0,1.01,1.1,1.7,110.0,1.01,2.44,1.01,1.02,1.01,36.0,1.02,1.05,1.239981883,1.239981885,1.239981886,1.23998193
Saudi Professional League,2025-02-24,11:15:00,Al-Akhdoud,Al-Fateh (KSA),1.09,110.0,1.09,3.45,1.09,110.0,1.83,2.36,1.74,2.2,1.01,1000.0,1.01,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,1.37,1000.0,34058666,21666423.0,7196232.0,58805.0,1.239902272,1.239902282,1.239902271,1.239902281,1.01,1000.0,1.29,1.54,2.88,18.0,1.06,1.53,2.88,18.0,1.06,1.53,1.41,1.56,1.6,26.0,1.33,1.39,1.239902263,1.239902275,1.239902276,1.239902286
Romanian Liga I,2025-02-24,12:00:00,UTA Arad,ACS Sepsi OSK,2.92,3.05,2.82,2.94,3.1,3.15,1.69,1.73,2.36,2.46,1.96,2.02,1.98,2.06,9.2,9.8,8.8,10.0,15.5,17.5,30.0,46.0,9.0,10.0,6.6,7.2,11.0,13.0,32.0,38.0,16.0,18.5,12.0,14.0,18.0,21.0,34.0,60.0,25.0,50.0,32.0,40.0,30.0,60.0,15.5,140.0,21.0,42.0,32.0,40.0,16.0,1000.0,34048578,2311174.0,8916863.0,58805.0,1.239781841,1.239781886,1.239781925,1.239781850,2.8,2.94,1.51,1.56,9.0,10.5,1.11,1.12,3.2,3.35,1.43,1.46,1.51,1.55,1.48,1.53,1.46,1.48,1.239781842,1.239781844,1.239781845,1.239781889
Portuguese U23,2025-02-24,12:00:00,Vizela U23,Benfica U23,2.92,3.35,2.26,2.5,3.7,4.2,2.38,2.74,1.58,1.73,1.55,1.63,2.58,2.8,7.6,65.0,7.6,50.0,8.4,75.0,12.5,130.0,10.0,40.0,7.8,20.0,7.6,21.0,9.6,130.0,11.5,110.0,8.0,85.0,12.0,60.0,12.0,170.0,8.6,190.0,7.8,190.0,13.0,260.0,8.6,580.0,6.8,20.0,6.2,55.0,8.4,850.0,34065833,40816280.0,20833619.0,58805.0,1.240012916,1.240012961,1.240013000,1.240012925,4.0,4.4,1.29,1.33,4.5,21.0,1.05,1.08,4.5,7.0,1.18,1.22,1.68,1.8,1.43,1.53,1.32,1.38,1.240012917,1.240012919,1.240012920,1.240012964
Bulgarian A League,2025-02-24,12:30:00,Septemvri,Levski Krumovgrad,2.52,2.66,3.05,3.3,3.3,3.35,1.64,1.73,2.36,2.56,1.98,2.06,1.94,2.02,6.2,48.0,6.0,500.0,8.8,48.0,20.0,140.0,5.9,21.0,6.0,14.0,6.8,32.0,20.0,95.0,7.6,34.0,7.2,190.0,8.0,60.0,17.5,140.0,13.0,95.0,12.5,80.0,20.0,130.0,12.0,580.0,7.2,44.0,9.6,1000.0,3.75,1000.0,34020655,11801202.0,41731605.0,58805.0,1.239410442,1.239410487,1.239410526,1.239410451,2.74,2.94,1.52,1.57,4.5,11.0,1.1,1.13,3.05,3.25,1.44,1.49,1.43,1.48,1.6,1.65,1.42,1.44,1.239410443,1.239410445,1.239410446,1.239410490
Serbian Super League,2025-02-24,12:30:00,FK Novi Pazar,FK Backa Topola,2.98,3.3,2.38,2.52,3.5,3.8,2.06,2.22,1.83,1.93,1.61,1.74,2.34,2.62,12.5,40.0,5.5,25.0,7.0,36.0,12.0,900.0,7.8,34.0,6.6,14.0,9.2,25.0,8.4,70.0,8.6,60.0,10.5,32.0,7.8,60.0,13.5,80.0,17.5,190.0,14.5,90.0,14.0,250.0,8.6,580.0,7.2,32.0,6.6,55.0,9.4,1000.0,34049484,9899252.0,14609047.0,58805.0,1.239793444,1.239793489,1.239793528,1.239793453,3.35,3.65,1.38,1.42,13.5,21.0,1.06,1.08,4.2,5.0,1.26,1.3,1.65,1.72,1.44,1.5,1.35,1.4,1.239793445,1.239793447,1.239793448,1.239793492
Saudi 1st Division,2025-02-24,12:40:00,Al Najma Club,Al Faisaly ( KSA ),2.38,3.3,2.74,4.1,2.66,3.0,1.57,2.08,1.92,2.76,0.0,0.0,0.0,0.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,34064789,6818023.0,22139784.0,58805.0,1.239991922,1.239991918,0,1.239991924,1.2,110.0,1.4,7.4,0.0,0.0,0.0,0.0,1.12,110.0,1.01,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0,1.239991925,0,1.239991923
Saudi Professional League,2025-02-24,12:50:00,Dhamk,Al Orubah,1.84,1.9,4.9,5.4,3.55,3.85,1.97,2.02,1.99,2.04,1.83,1.95,2.06,2.22,7.0,1000.0,17.0,1000.0,13.5,50.0,11.5,150.0,8.2,29.0,5.3,14.0,10.0,120.0,11.5,160.0,6.2,40.0,6.0,38.0,8.2,60.0,8.2,180.0,9.6,900.0,9.0,70.0,12.5,90.0,13.0,580.0,5.3,80.0,2.62,300.0,7.2,1000.0,34058556,16398677.0,7202801.0,58805.0,1.239902053,1.239902063,1.239902052,1.239902062,3.15,3.35,1.42,1.45,12.0,15.5,1.07,1.09,3.95,4.3,1.32,1.34,1.23,1.25,2.1,2.2,1.35,1.39,1.239902044,1.239902056,1.239902057,1.239902067
