Date,Time,League,Home,Away,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_1X_Back,Odd_1X_Lay,Odd_X2_Back,Odd_X2_Lay,Odd_12_Back,Odd_12_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Double_Chance,IDMercado_Over_Under_05_Goals,IDMercado_Over_Under_15_Goals,IDMercado_Over_Under_25_Goals,IDMercado_Over_Under_35_Goals,IDMercado_Over_Under_45_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,ID_Evento,First_Half_Goals_0.5_5851482,First_Half_Goals_0.5_5851483,Double_Chance_6384646,Double_Chance_6384647,Double_Chance_6384648,First_Half_Goals_2.5_47972,First_Half_Goals_2.5_47973,Over_Under_4.5_Goals_1222347,Over_Under_4.5_Goals_1222346,Over_Under_2.5_Goals_47972,Over_Under_2.5_Goals_47973,Correct_Score_1,Correct_Score_4,Correct_Score_9,Correct_Score_16,Correct_Score_2,Correct_Score_3,Correct_Score_8,Correct_Score_15,Correct_Score_5,Correct_Score_6,Correct_Score_7,Correct_Score_14,Correct_Score_10,Correct_Score_11,Correct_Score_12,Correct_Score_13,Correct_Score_9063254,Correct_Score_9063255,Correct_Score_9063256,First_Half_Goals_1.5_1221385,First_Half_Goals_1.5_1221386,Over_Under_0.5_Goals_5851482,Over_Under_0.5_Goals_5851483,Both_teams_to_Score_30246,Both_teams_to_Score_110503,Over_Under_3.5_Goals_1222344,Over_Under_3.5_Goals_1222345,Over_Under_1.5_Goals_1221385,Over_Under_1.5_Goals_1221386,IDMercado_First_Half_Goals_0.5,IDMercado_First_Half_Goals_2.5,IDMercado_Over_Under_4.5_Goals,IDMercado_Over_Under_2.5_Goals,IDMercado_First_Half_Goals_1.5,IDMercado_Over_Under_0.5_Goals,IDMercado_Over_Under_3.5_Goals,IDMercado_Over_Under_1.5_Goals,_merge
2025-11-19,05:00:00,AFC Ladies Champions League,Stallion Laguna (W),Lion City Sailors (W),4.8,6.4,1.18,1.26,1.84,2.14,1.88,2.2,1.23,1.35,3.9,5.3,1.26,1.42,8.8,14.5,4.4,7.0,1.07,1.22,1.01,13.5,1.15,1.32,1.02,1000.0,1.01,1000.0,5.1,7.4,1.16,1.25,2.4,2.98,1.51,1.71,1.56,1.87,2.16,2.8,1.23,1.36,3.75,5.4,1.89,2.24,1.81,2.12,19.0,32.0,4.3,48.0,4.5,1000.0,4.7,1000.0,7.6,12.5,3.65,16.5,4.3,48.0,4.6,1000.0,3.3,11.0,3.45,13.0,4.1,34.0,4.6,1000.0,3.45,13.0,3.65,16.5,4.2,38.0,4.6,1000.0,3.65,5.5,4.6,1000.0,4.7,1000.0,1.250733122,1.250733124,1.250733117,91164005.0,91117649.0,58805.0,1.250733119,1.25073312,1.250733123,1.250733167,1.250733164,1.250733168,1.250733165,1.250733203,1.250733128,34975273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,05:30:00,Indonesian Championship,Sriwijaya,Persikad Depok,3.15,4.1,1.35,1.47,1.48,1.65,2.54,3.15,1.13,1.18,6.6,9.4,3.85,5.0,1.81,2.08,3.5,4.5,1.92,2.24,1.26,1.36,1.29,1.4,12.0,21.0,1.05,1.08,3.85,5.0,1.25,1.36,1.98,2.38,1.73,2.04,1.38,1.54,2.86,3.65,1.15,1.22,5.7,7.6,1.67,1.93,2.08,2.5,13.5,20.0,8.2,11.0,10.0,15.5,17.5,27.0,13.5,21.0,7.2,9.8,8.4,12.5,14.0,24.0,5.1,38.0,14.0,21.0,14.0,22.0,23.0,40.0,4.7,1000.0,4.7,65.0,4.8,1000.0,4.7,1000.0,4.6,65.0,9.6,14.5,4.9,1000.0,1.250709046,1.250709048,1.250709041,3725111.0,13608936.0,58805.0,1.250709043,1.250709044,1.250709047,1.250709091,1.250709088,1.250709092,1.250709089,1.250709127,1.250709052,34973012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,05:30:00,Indonesian Championship,Persekat Kabupaten Tegal,Garudayaksa FC,3.15,4.1,1.34,1.47,1.48,1.65,2.54,3.1,1.13,1.18,6.6,9.4,7.4,11.0,1.41,1.56,4.2,5.5,2.78,3.5,1.1,1.16,1.22,1.32,12.5,20.0,1.05,1.08,3.85,4.9,1.26,1.36,1.98,2.34,1.75,2.04,1.38,1.54,2.88,3.65,1.15,1.21,5.8,7.8,1.92,2.28,1.79,2.08,13.0,22.0,6.6,9.0,7.2,9.6,10.5,14.0,4.9,30.0,4.2,13.0,8.2,11.5,12.5,19.5,5.7,1000.0,6.2,1000.0,20.0,28.0,5.8,42.0,6.0,1000.0,5.7,1000.0,5.6,1000.0,5.7,1000.0,5.6,1000.0,6.0,8.4,5.8,1000.0,1.250708956,1.250708958,1.250708951,25649882.0,89252622.0,58805.0,1.250708953,1.250708954,1.250708957,1.250709001,1.250708998,1.250709002,1.250708999,1.250709037,1.250708962,34973015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,07:00:00,Kenyan Premier League,Adm Police Service Bomet,Ulinzi Stars,1.05,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.02,1000.0,1.05,1000.0,1.05,1000.0,1.09,500.0,1.02,36.0,1.02,36.0,1.03,22.0,1.3,1000.0,1.01,4.3,1.3,110.0,1.01,4.3,1.3,980.0,1.14,5.2,1.15,980.0,1.13,8.2,1.05,1000.0,1.1,36.0,1.04,1000.0,1.04,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.250709257,1.250709259,1.250709252,26102302.0,9670772.0,58805.0,1.250709254,1.250709255,1.250709258,1.250709302,1.250709299,1.250709303,1.2507093,1.250709338,1.250709263,34973097.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,08:00:00,Cambodian Premier League,Nagaworld FC,Phnom Penh,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.01,36.0,1.01,36.0,1.01,1000.0,1.1,1000.0,1.01,11.0,1.01,110.0,1.17,110.0,1.08,110.0,1.17,18.0,1.08,110.0,1.17,18.0,1.05,110.0,1.17,110.0,1.01,1000.0,1.01,1000.0,20.0,1000.0,10.0,1000.0,10.5,1000.0,17.5,1000.0,17.5,1000.0,8.4,1000.0,8.8,1000.0,12.5,1000.0,26.0,1000.0,13.5,1000.0,12.0,1000.0,18.5,1000.0,50.0,1000.0,29.0,1000.0,28.0,1000.0,38.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.250734316,1.250734318,1.250734311,16542518.0,16073249.0,58805.0,1.250734313,1.250734314,1.250734317,1.250734361,1.250734358,1.250734362,1.250734359,1.250734397,1.250734322,34975404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,08:00:00,Cambodian Premier League,ISI Dangkor Senchey FC,Svay Rieng FC,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.5,1000.0,1.04,12.0,1.01,950.0,1.09,36.0,1.01,3.0,1.01,110.0,1.02,1000.0,1.01,1.08,1.24,1000.0,1.04,1.08,1.24,110.0,1.04,6.4,1.18,110.0,1.04,7.8,1.06,110.0,1.04,26.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.250733946,1.250733948,1.250733941,45058028.0,8228326.0,58805.0,1.250733943,1.250733944,1.250733947,1.250733991,1.250733988,1.250733992,1.250733989,1.250734027,1.250733952,34975368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,09:00:00,Albanian Cup,Besa Kavaje,FK Kukesi,1.05,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.02,1000.0,1.04,12.0,1.04,1000.0,1.03,1000.0,1.01,36.0,1.09,36.0,1.01,980.0,1.1,1000.0,1.01,20.0,1.34,980.0,1.21,3.9,1.34,980.0,1.21,5.0,1.18,5.8,1.29,6.6,1.06,4.5,1.29,26.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.250710744,1.250710746,1.250710739,2478470.0,7391246.0,58805.0,1.250710741,1.250710742,1.250710745,1.250710789,1.250710786,1.25071079,1.250710787,1.250710825,1.25071075,34973104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,09:00:00,Indonesian Championship,Psms Medan,PSPS Pekanbaru,1.05,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.02,1000.0,1.05,1000.0,1.98,1000.0,1.09,500.0,1.02,2.02,1.02,36.0,1.03,22.0,1.1,1000.0,1.01,110.0,1.36,980.0,1.01,3.75,1.36,980.0,1.34,5.0,1.21,3.9,1.35,5.7,1.07,3.9,1.35,18.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.250709136,1.250709138,1.250709131,15207113.0,5299063.0,58805.0,1.250709133,1.250709134,1.250709137,1.250709181,1.250709178,1.250709182,1.250709179,1.250709217,1.250709142,34973014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,09:00:00,AFC Asian Cup Qualifiers,Laos,Vietnam,3.75,5.8,1.21,1.36,1.7,1.92,2.08,2.42,1.18,1.32,4.1,6.6,48.0,1000.0,1.08,1.09,1.09,26.0,7.2,17.0,1.01,1.02,1.06,1.08,1.1,55.0,1.02,1.05,3.45,9.2,1.13,1.19,2.8,3.7,1.38,1.5,1.73,2.1,1.92,2.38,1.34,1.47,2.92,4.2,1.04,3.7,1.37,1.43,1.27,1000.0,1.41,1000.0,4.1,1000.0,3.85,1000.0,1.3,1000.0,9.6,1000.0,1.26,1000.0,1.24,1000.0,1.31,1000.0,1.3,1000.0,1.3,1000.0,1.3,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,1.31,1000.0,2.28,1000.0,1.31,1000.0,1.250682723,1.250682725,1.250682718,920030.0,833281.0,58805.0,1.25068272,1.250682711,1.250682724,1.250682734,1.25068273,1.250682676,1.250682731,1.250682719,1.250682729,34969713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-19,09:00:00,Albanian Cup,KF Apolonia Fier,KS Lushnja,1.05,1000.0,1.01,1000.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.02,1000.0,1.04,1000.0,1.04,1000.0,1.03,1000.0,1.01,36.0,1.01,36.0,1.01,980.0,1.1,1000.0,1.01,55.0,1.1,980.0,1.01,110.0,1.25,980.0,1.02,5.8,1.18,980.0,1.05,6.6,1.06,1.7,2.42,26.0,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.250710891,1.250710893,1.250710886,9203874.0,10440734.0,58805.0,1.250710888,1.250710889,1.250710892,1.250710936,1.250710933,1.250710937,1.250710934,1.250710972,1.250710897,34973094.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
