Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
zkaGKImn,UKRAINE 2,RELEGATION,2025-06-12,06:00,MFC Metalurh,FC Chernihiv,2.9,2.1,3.25,0.0,0.0,2.5,1.37,0.0,0.0,2.32,3.3,2.65,0.0,0.0,0.0,0.0,1.78,1.83,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.28,1.57,10.5,7.9,11.5,24.0,7.4,5.7,8.5,17.5,10.0,7.8,11.0,23.0,19.0,15.0,21.0,40.0,250.0
8EmxUN05,SPAIN 2,PROMOTION,2025-06-12,16:00,Mirandes,Racing Santander,2.5,2.3,4.0,1.4,2.87,2.67,1.45,6.1,1.12,1.95,3.6,3.75,1.06,9.5,1.27,3.8,1.8,2.02,2.92,1.42,5.3,1.16,1.67,2.1,1.25,1.29,1.8,11.0,13.0,21.0,41.0,8.5,6.5,13.0,29.0,10.0,9.0,13.0,34.0,17.0,15.0,23.0,41.0,151.0
YuTwUJ3N,PERU 1,APERTURA,2025-06-12,17:00,Alianza Atl.,Comerciantes Unidos,1.91,2.38,8.0,1.42,2.67,2.75,1.4,6.0,1.1,1.4,4.1,8.5,1.06,7.4,1.29,3.25,1.87,1.85,3.05,1.33,5.3,1.12,2.2,1.62,1.08,1.22,2.75,9.5,19.0,41.0,101.0,6.0,8.0,26.0,67.0,6.0,9.0,23.0,67.0,8.5,13.0,34.0,81.0,301.0
Uk7V0HYq,BRAZIL 1,ROUND 12,2025-06-12,19:00,Bragantino,Bahia,2.88,2.05,4.0,1.47,2.65,2.95,1.38,7.0,1.09,2.2,3.2,3.5,1.1,7.2,1.44,2.82,2.3,1.62,4.15,1.24,8.0,1.08,1.95,1.8,1.29,1.36,1.67,7.5,9.0,17.0,41.0,6.5,6.0,13.0,29.0,9.5,9.5,17.0,41.0,21.0,21.0,34.0,51.0,401.0
jw1XKxQF,BRAZIL 1,ROUND 12,2025-06-12,19:00,Vitoria,Cruzeiro,4.0,1.95,3.0,1.52,2.5,3.2,1.33,7.7,1.08,3.4,3.1,2.3,1.12,6.5,1.5,2.6,2.47,1.55,4.65,1.2,9.0,1.07,2.05,1.7,1.57,1.36,1.3,7.0,6.0,9.5,21.0,8.0,6.0,10.0,21.0,15.0,13.0,19.0,41.0,41.0,34.0,41.0,67.0,501.0
t6GBV6y2,URUGUAY 1,TORNEO INTERMEDIO,2025-06-12,19:00,Cerro Largo,Wanderers,2.88,2.0,4.33,1.5,2.5,3.15,1.33,7.2,1.07,2.15,3.1,3.5,1.1,6.2,1.47,2.57,2.35,1.55,4.25,1.2,7.6,1.07,2.0,1.73,1.29,1.36,1.67,7.0,8.5,17.0,41.0,6.0,6.0,13.0,34.0,9.0,9.5,17.0,41.0,19.0,21.0,34.0,67.0,301.0
n5ftJGfS,BRAZIL 1,ROUND 12,2025-06-12,19:30,Fortaleza,Santos,3.0,2.05,4.0,1.47,2.62,3.05,1.36,7.3,1.08,2.25,3.25,3.25,1.1,7.0,1.47,2.72,2.37,1.6,4.45,1.21,8.5,1.07,2.0,1.75,1.33,1.33,1.62,7.5,8.5,15.0,34.0,6.5,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,401.0
IP2PMbe3,BRAZIL 1,ROUND 12,2025-06-12,20:00,Gremio,Corinthians,3.1,1.91,4.33,1.55,2.4,3.4,1.3,8.25,1.07,2.3,3.1,3.3,1.13,6.0,1.57,2.42,2.67,1.47,5.2,1.17,10.0,1.05,2.2,1.62,1.3,1.36,1.62,6.5,7.5,15.0,41.0,5.5,6.0,13.0,34.0,9.0,10.0,21.0,51.0,21.0,23.0,41.0,81.0,501.0
lAjBG0SN,COLOMBIA 1,APERTURA,2025-06-12,20:20,America De Cali,Deportes Tolima,2.5,2.0,5.5,1.55,2.35,3.45,1.28,8.0,1.06,1.8,3.4,4.5,1.1,6.1,1.47,2.55,2.4,1.53,4.4,1.19,7.9,1.06,2.25,1.57,1.18,1.3,1.95,7.0,9.5,21.0,51.0,5.5,7.0,17.0,41.0,7.0,9.5,21.0,51.0,13.0,17.0,41.0,81.0,0.0
63lSyPwp,USA 1,-,2025-06-12,20:30,New York City,Atlanta Utd,2.38,2.4,4.0,1.32,3.3,2.35,1.57,5.1,1.16,1.83,3.75,4.0,1.04,11.75,1.19,4.8,1.57,2.4,2.37,1.6,4.05,1.24,1.53,2.38,1.22,1.25,1.91,15.0,15.0,23.0,41.0,10.0,7.5,13.0,29.0,11.0,8.5,12.0,29.0,17.0,13.0,21.0,41.0,126.0
SbUCEPIE,CHILE 1,ROUND 8,2025-06-12,21:00,Deportes Iquique,Colo Colo,5.5,2.3,2.1,1.38,2.95,2.65,1.47,6.1,1.12,5.5,3.75,1.6,1.06,9.75,1.27,3.75,1.82,2.0,3.0,1.4,5.5,1.15,1.83,1.83,2.3,1.25,1.14,11.0,7.5,7.5,12.0,15.0,7.5,8.5,13.0,29.0,17.0,15.0,26.0,51.0,41.0,41.0,51.0,251.0
2HKxae3d,BRAZIL 1,ROUND 12,2025-06-12,21:30,Atletico-MG,Internacional,2.63,2.05,4.75,1.5,2.52,3.2,1.34,7.6,1.08,1.95,3.3,4.0,1.11,6.9,1.47,2.72,2.37,1.6,4.4,1.22,8.5,1.07,2.05,1.7,1.22,1.33,1.8,7.5,9.0,19.0,41.0,6.0,6.5,15.0,41.0,8.5,9.0,19.0,41.0,17.0,19.0,34.0,67.0,501.0
pIVb6wBM,BRAZIL 1,ROUND 12,2025-06-12,21:30,Sao Paulo,Vasco,2.5,1.95,6.0,1.57,2.35,3.55,1.29,8.5,1.06,1.75,3.25,5.5,1.14,5.9,1.6,2.37,2.72,1.47,5.3,1.16,10.25,1.05,2.38,1.53,1.14,1.33,2.0,6.0,10.0,26.0,67.0,5.0,6.5,19.0,51.0,7.0,9.5,23.0,67.0,13.0,19.0,41.0,101.0,0.0
8fXsBvjo,COLOMBIA 1,APERTURA,2025-06-12,22:20,Santa Fe,Atl. Nacional,4.0,2.1,2.88,1.5,2.47,3.1,1.34,7.1,1.08,3.6,3.1,2.15,1.09,6.7,1.38,2.92,2.07,1.7,3.6,1.26,6.5,1.09,1.83,1.83,1.67,1.36,1.29,8.0,7.0,10.0,19.0,10.0,6.0,9.5,19.0,17.0,13.0,15.0,29.0,41.0,29.0,41.0,51.0,301.0
