Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
4Gmej35s,PERU 1,CLAUSURA,2025-11-19,17:00,Grau,Sporting Cristal,3.2,2.2,3.25,1.4,2.75,2.75,1.4,8.0,1.08,2.7,3.1,2.7,1.06,10.0,1.29,3.5,1.98,1.83,3.4,1.3,7.0,1.1,1.67,2.1,1.44,1.36,1.44,10.0,9.5,13.0,26.0,9.5,6.0,11.0,21.0,13.0,10.0,12.0,29.0,26.0,21.0,29.0,41.0,201.0
URz3J2e2,BRAZIL 1,ROUND 34,2025-11-19,18:00,Bragantino,Vitoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iox9i8Or,BRAZIL 1,ROUND 37,2025-11-19,19:30,Palmeiras,Vitoria,1.67,2.6,10.0,1.3,3.4,2.5,1.5,6.0,1.13,1.27,5.75,11.0,1.04,13.0,1.22,4.33,1.7,2.1,2.75,1.44,5.0,1.17,2.25,1.57,1.05,1.14,3.75,13.0,21.0,51.0,151.0,6.5,11.0,29.0,81.0,6.0,9.5,26.0,67.0,7.5,12.0,34.0,81.0,501.0
0QVjSkBE,BRAZIL 2,ROUND 38,2025-11-19,19:30,Vila Nova FC,Volta Redonda,2.6,2.0,5.5,1.53,2.38,3.75,1.25,11.0,1.05,1.81,3.05,4.75,1.1,7.0,1.5,2.5,2.5,1.5,5.0,1.17,11.0,1.05,2.2,1.62,1.18,1.36,1.91,6.5,10.0,23.0,51.0,5.5,6.0,17.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,251.0
YDt4EqC6,CHILE 1,RELEGATION,2025-11-19,20:00,S. Wanderers,Cobreloa,3.0,2.12,3.3,1.42,2.75,2.82,1.4,6.3,1.1,2.42,3.45,2.72,1.06,7.9,1.3,3.3,1.9,1.83,3.15,1.33,5.6,1.12,1.72,2.0,1.47,1.29,1.57,7.9,8.75,14.5,32.0,8.25,6.9,10.75,25.0,13.0,10.0,15.0,35.0,27.0,21.0,32.0,70.0,600.0
06wzwpn9,COLOMBIA 1,CLAUSURA,2025-11-19,20:30,Bucaramanga,Santa Fe,2.6,2.0,5.0,1.53,2.38,3.5,1.29,11.0,1.05,1.83,3.3,4.75,1.11,6.5,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.2,1.62,1.18,1.33,1.91,6.5,10.0,21.0,51.0,5.5,6.0,17.0,41.0,7.5,9.5,19.0,51.0,15.0,19.0,41.0,67.0,151.0
z5a7US33,BRAZIL 1,ROUND 34,2025-11-19,21:30,Fluminense,Flamengo RJ,4.75,2.0,2.75,1.5,2.5,3.4,1.3,10.0,1.06,4.2,3.2,2.0,1.1,7.0,1.44,2.75,2.35,1.57,4.5,1.2,10.0,1.06,2.0,1.75,1.8,1.36,1.22,7.0,6.0,8.5,17.0,10.0,6.0,9.0,19.0,21.0,15.0,17.0,34.0,41.0,41.0,41.0,67.0,451.0
KG3ePhqL,BRAZIL 1,ROUND 34,2025-11-19,21:30,Gremio,Vasco,2.88,2.1,3.75,1.4,2.75,3.0,1.36,8.0,1.08,2.2,3.4,3.2,1.06,9.5,1.33,3.4,2.05,1.8,3.5,1.3,7.0,1.1,1.8,1.95,1.36,1.3,1.67,9.5,10.0,17.0,34.0,7.5,6.0,12.0,26.0,11.0,9.0,15.0,34.0,21.0,19.0,29.0,51.0,251.0
OUXfLOQk,BRAZIL 1,ROUND 34,2025-11-19,21:30,Santos,Mirassol,2.75,2.2,4.0,1.4,2.75,2.75,1.4,8.0,1.08,2.1,3.4,3.5,1.06,10.0,1.3,3.5,2.0,1.85,3.4,1.33,6.5,1.11,1.8,1.95,1.29,1.3,1.7,10.0,10.0,17.0,41.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,29.0,51.0,251.0
rV69MO1S,COLOMBIA 1,CLAUSURA,2025-11-19,22:30,Junior,Ind. Medellin,3.05,2.05,3.4,1.42,2.75,2.72,1.42,6.1,1.1,2.47,3.2,2.85,1.06,7.8,1.28,3.45,1.83,1.91,2.95,1.37,5.2,1.14,1.62,2.15,1.44,1.33,1.57,7.8,9.75,17.0,40.0,8.75,6.5,10.5,25.0,14.0,9.75,13.0,30.0,30.0,21.0,28.0,55.0,400.0
