League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2025-02-06,11:00:00,25,CSM Iaşi,UTA Arad,3.1,1.98,3.65,2.47,3.07,2.95,1.51,2.4,1.06,8.5,1.41,2.75,2.25,1.53,1.91,1.8,1.36,1.34,1.49,1.42,1.0,1.46,1.26,2.72,1.88,6.25,2.15,1.48,2.4,1.82,1.84,2.33,1.5,3.05,1.3,4.1,1.17
Egypt Egyptian Premier League,2025-02-06,11:00:00,12,Ghazl El Mehalla,Coca-Cola,4.0,1.75,3.3,3.29,2.64,2.59,1.71,2.0,1.17,4.75,1.83,1.91,3.21,1.3,2.55,1.44,1.5,1.41,1.33,0.17,0.4,1.45,1.13,2.58,2.15,6.7,1.92,1.26,3.4,1.52,2.32,1.92,1.75,2.6,1.43,3.55,1.24
Egypt Egyptian Premier League,2025-02-06,11:00:00,12,Ceramica Cleopatra,Pharco,2.35,2.05,5.0,1.72,3.41,5.1,1.44,2.55,1.07,7.5,1.38,2.8,2.1,1.61,2.05,1.66,1.18,1.29,2.05,1.6,1.0,1.53,0.85,2.38,1.33,9.0,3.92,1.31,2.92,1.57,2.14,2.0,1.69,2.59,1.39,3.58,1.21
Romania Liga I,2025-02-06,13:00:00,25,Sepsi,SSC Farul,2.6,2.07,4.3,2.03,3.33,3.62,1.48,2.45,1.05,8.0,1.36,3.0,2.05,1.7,1.84,1.83,1.25,1.29,1.66,1.75,0.83,1.39,1.27,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2025-02-06,14:00:00,12,Al Ahly,Petrojet,2.05,2.1,6.5,1.46,3.97,7.5,1.44,2.55,1.07,7.5,1.4,2.85,2.05,1.65,2.4,1.5,1.1,1.23,2.55,2.2,1.6,2.01,1.29,3.3,1.21,8.5,5.75,1.25,3.28,1.48,2.33,1.84,1.82,2.38,1.46,3.2,1.26
Romania Liga I,2025-02-06,15:30:00,25,Petrolul 52,FCSB,4.8,2.08,2.43,4.2,3.45,1.85,1.46,2.55,1.05,8.0,1.36,2.95,2.05,1.7,1.94,1.77,1.85,1.27,1.21,1.75,1.83,1.3,1.57,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Super League,2025-02-06,16:30:00,22,Basel,Luzern,2.15,2.4,4.2,1.75,3.94,4.1,1.26,3.5,1.02,13.0,1.17,5.0,1.53,2.25,1.55,2.25,1.2,1.22,2.15,1.9,1.6,1.81,1.6,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Super League,2025-02-06,16:30:00,22,Winterthur,Zürich,3.6,2.15,2.6,3.63,3.62,1.93,1.34,2.95,1.05,9.5,1.25,3.75,1.79,1.95,1.66,2.05,1.71,1.29,1.31,1.0,1.4,1.28,1.48,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League Two,2025-02-06,16:45:00,31,Chesterfield,Doncaster Rovers,3.0,2.2,3.6,2.3,3.33,2.99,1.4,2.75,1.05,9.0,1.28,3.55,1.89,1.85,1.67,2.1,1.38,1.25,1.6,1.57,1.71,1.56,1.36,2.92,1.9,6.5,2.1,1.24,3.55,1.31,3.0,1.57,2.15,1.98,1.68,2.6,1.4
Italy Serie A,2025-02-06,16:45:00,14,Fiorentina,Inter Milan,4.0,2.25,2.63,3.5,3.6,2.0,1.36,3.0,1.04,13.0,1.26,4.0,1.65,2.15,1.67,2.1,1.83,1.25,1.3,1.91,2.45,1.55,1.63,3.18,2.2,6.1,1.84,1.46,2.5,1.77,1.92,2.25,1.55,2.9,1.34,3.9,1.2
Argentina Primera División,2025-02-06,17:00:00,4,Aldosivi,Barracas Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2025-02-06,20:00:00,4,Sarmiento,San Martín San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
