Data,Hora,Home,Away,Jogo,Link,ID
2025-01-20,12:00,FC Farul Constanța,UTA Arad,FC Farul Constanța x UTA Arad,https://www.radarfutebol.com/radar/uta-arad-fc-farul-constanta/12487751,12487751
2025-01-20,12:10,Al-Fayha,Al-Kholood,Al-Fayha x Al-Kholood,https://www.radarfutebol.com/radar/al-kholood-al-fayha/12624934,12624934
2025-01-20,12:15,Al-Raed,Al-Okhdood,Al-Raed x Al-Okhdood,https://www.radarfutebol.com/radar/al-okhdood-al-raed/12624942,12624942
2025-01-20,14:00,Trabzonspor,Sivasspor,Trabzonspor x Sivasspor,https://www.radarfutebol.com/radar/sivasspor-trabzonspor/12530792,12530792
2025-01-20,14:00,Al-Ettifaq,Al-Ahli,Al-Ettifaq x Al-Ahli,https://www.radarfutebol.com/radar/al-ahli-al-ettifaq/12624931,12624931
2025-01-20,14:00,AEK Larnaca,APOEL Nicosia,AEK Larnaca x APOEL Nicosia,https://www.radarfutebol.com/radar/aek-larnaca-apoel-nicosia/12497229,12497229
2025-01-20,15:00,FC Rapid București,ACSM Politehnica Iași,FC Rapid București x ACSM Politehnica Iași,https://www.radarfutebol.com/radar/fc-rapid-bucuresti-acsm-politehnica-iasi/12487754,12487754
2025-01-20,15:00,UD Oliveirense,Penafiel,UD Oliveirense x Penafiel,https://www.radarfutebol.com/radar/ud-oliveirense-penafiel/12514422,12514422
2025-01-20,16:00,Jong FC Utrecht,De Graafschap,Jong FC Utrecht x De Graafschap,https://www.radarfutebol.com/radar/jong-fc-utrecht-de-graafschap/12444949,12444949
2025-01-20,16:00,Jong Ajax,Jong PSV Eindhoven,Jong Ajax x Jong PSV Eindhoven,https://www.radarfutebol.com/radar/jong-psv-eindhoven-jong-ajax/12444950,12444950
2025-01-20,16:00,Roda JC Kerkrade,SC Cambuur,Roda JC Kerkrade x SC Cambuur,https://www.radarfutebol.com/radar/sc-cambuur-roda-jc-kerkrade/13348624,13348624
2025-01-20,16:45,Como,Udinese,Como x Udinese,https://www.radarfutebol.com/radar/como-udinese/12504430,12504430
2025-01-20,16:45,Troyes,Annecy FC,Troyes x Annecy FC,https://www.radarfutebol.com/radar/annecy-fc-troyes/12615564,12615564
2025-01-20,17:00,Chelsea,Wolverhampton,Chelsea x Wolverhampton,https://www.radarfutebol.com/radar/chelsea-wolverhampton/12436455,12436455
2025-01-20,17:00,Villarreal,Mallorca,Villarreal x Mallorca,https://www.radarfutebol.com/radar/mallorca-villarreal/12437840,12437840
2025-01-20,17:15,Boavista,Casa Pia,Boavista x Casa Pia,https://www.radarfutebol.com/radar/casa-pia-boavista/12514204,12514204
2025-01-20,"Liga MX, Clausura",CF Pachuca,Santos Laguna,CF Pachuca x Santos Laguna,https://www.radarfutebol.com/radar/santos-laguna-cf-pachuca/13256018,13256018
