League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
BULGARIA - PARVA LIGA,2025-02-21,07:45,CSKA 1948 Sofia,Botev Vratsa,1.57,4.2,5.25,https://www.radarfutebol.com/radar/fc-cska-1948-sofia-botev-vratsa/12421816,12421816
BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,2025-02-21,09:00,Igman K.,Sloga Doboj,2.95,3.3,2.22,https://www.radarfutebol.com/radar/igman-konjic-fk-sloga-doboj/12596202,12596202
BULGARIA - PARVA LIGA,2025-02-21,10:15,Beroe,Hebar,1.48,4.0,6.5,https://www.radarfutebol.com/radar/fk-hebar-pazardzhik-beroe-stara-zagora/12421817,12421817
EGYPT - PREMIER LEAGUE,2025-02-21,11:00,Pharco,Modern Sport,3.25,2.75,2.45,https://www.radarfutebol.com/radar/modern-sport-fc-pharco-fc/13015495,13015495
EGYPT - PREMIER LEAGUE,2025-02-21,11:00,Enppi,Smouha,3.15,2.62,2.62,https://www.radarfutebol.com/radar/enppi-smouha/13012819,13012819
ROMANIA - SUPERLIGA,2025-02-21,12:00,FC Hermannstadt,Gloria Buzau,1.75,3.5,4.33,https://www.radarfutebol.com/radar/fc-hermannstadt-fc-gloria-buzau/12487680,12487680
SERBIA - SUPER LIGA,2025-02-21,12:00,Tekstilac Odzaci,Radnicki 1923,4.35,3.35,1.75,https://www.radarfutebol.com/radar/fk-tekstilac-odzaci-fk-radnicki-1923/12420352,12420352
BULGARIA - PARVA LIGA,2025-02-21,12:45,Levski Sofia,Spartak Varna,1.44,4.0,8.5,https://www.radarfutebol.com/radar/fk-spartak-varna-levski-sofia/12421815,12421815
POLAND - EKSTRAKLASA,2025-02-21,14:00,Piast Gliwice,Stal Mielec,1.95,3.2,4.0,https://www.radarfutebol.com/radar/stal-mielec-piast-gliwice/12402208,12402208
TURKEY - 1. LIG,2025-02-21,14:00,Manisa FK,Boluspor,2.2,3.3,3.1,https://www.radarfutebol.com/radar/manisa-fk-boluspor/12596462,12596462
TURKEY - SUPER LIG,2025-02-21,14:00,Eyupspor,Besiktas,3.2,3.6,2.1,https://www.radarfutebol.com/radar/eyupspor-besiktas/12530744,12530744
AUSTRIA - 2. LIGA,2025-02-21,14:00,Stripfing,Amstetten,2.95,3.2,2.32,https://www.radarfutebol.com/radar/sv-stripfing-sku-amstetten/12484633,12484633
AUSTRIA - 2. LIGA,2025-02-21,14:00,A. Lustenau,St. Polten,3.0,3.55,2.15,https://www.radarfutebol.com/radar/skn-st-polten-sc-austria-lustenau/12484621,12484621
POLAND - DIVISION 1,2025-02-21,14:00,Polonia Warszawa,Leczna,2.15,3.3,3.0,https://www.radarfutebol.com/radar/gornik-leczna-polonia-warszawa/12448938,12448938
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-02-21,14:00,Al Nassr,Al Ettifaq,1.29,5.75,7.5,https://www.radarfutebol.com/radar/al-ettifaq-al-nassr/12624888,12624888
AUSTRIA - 2. LIGA,2025-02-21,14:00,Floridsdorfer AC,Kapfenberg,2.35,3.2,2.9,https://www.radarfutebol.com/radar/floridsdorfer-ac-kapfenberger-sv/12484628,12484628
GERMANY - 2. BUNDESLIGA,2025-02-21,14:30,Hamburger SV,Kaiserslautern,1.67,3.75,5.0,https://www.radarfutebol.com/radar/hamburger-sv-1-fc-kaiserslautern/12499967,12499967
DENMARK - 1ST DIVISION,2025-02-21,14:30,Hobro,Vendsyssel,2.2,3.4,3.0,https://www.radarfutebol.com/radar/hobro-vendsyssel-ff/12442057,12442057
PORTUGAL - LIGA PORTUGAL 2,2025-02-21,15:00,Penafiel,Portimonense,2.3,3.25,3.0,https://www.radarfutebol.com/radar/portimonense-penafiel/12514394,12514394
DENMARK - 1ST DIVISION,2025-02-21,15:00,Hillerod,Odense,3.25,3.7,2.0,https://www.radarfutebol.com/radar/hillerod-odense-bk/12442056,12442056
DENMARK - SUPERLIGA,2025-02-21,15:00,Lyngby,Randers FC,3.7,3.5,1.95,https://www.radarfutebol.com/radar/lyngby-randers-fc/12407865,12407865
FRANCE - NATIONAL,2025-02-21,15:30,Sochaux,Aubagne,1.82,3.25,4.3,https://www.radarfutebol.com/radar/aubagne-fc-sochaux/12570332,12570332
SWITZERLAND - CHALLENGE LEAGUE,2025-02-21,15:30,Stade Nyonnais,Lausanne Ouchy,3.8,3.65,1.85,https://www.radarfutebol.com/radar/fc-stade-lausanne-ouchy-stade-nyonnais/13260129,13260129
FRANCE - NATIONAL,2025-02-21,15:30,Villefranche,Orleans,3.15,2.87,2.37,https://www.radarfutebol.com/radar/fc-villefranche-beaujolais-us-orleans/12570330,12570330
FRANCE - NATIONAL,2025-02-21,15:30,Dijon,Nancy,2.87,3.0,2.45,https://www.radarfutebol.com/radar/dijon-nancy/12570327,12570327
FRANCE - NATIONAL,2025-02-21,15:30,Versailles,Nimes,1.98,3.05,3.9,https://www.radarfutebol.com/radar/fc-versailles-78-nimes-olympique/12570326,12570326
FRANCE - NATIONAL,2025-02-21,15:30,Boulogne,Paris 13 Atl.,2.18,2.85,3.6,https://www.radarfutebol.com/radar/paris-13-atletico-us-boulogne-cote-dopale/12570321,12570321
FRANCE - NATIONAL,2025-02-21,15:30,Chateauroux,Rouen,3.9,3.1,1.95,https://www.radarfutebol.com/radar/fc-rouen-chateauroux/12570331,12570331
FRANCE - NATIONAL,2025-02-21,15:30,Bourg en Bresse,Le Mans,3.1,3.05,2.25,https://www.radarfutebol.com/radar/bourg-en-bresse-le-mans/12570328,12570328
FRANCE - NATIONAL,2025-02-21,15:30,Concarneau,Valenciennes,2.32,3.0,3.05,https://www.radarfutebol.com/radar/us-concarneau-valenciennes/12570324,12570324
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,De Graafschap,Jong AZ,1.6,4.33,4.75,https://www.radarfutebol.com/radar/jong-az-alkmaar-de-graafschap/12444908,12444908
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Helmond,Vitesse,2.2,3.6,3.0,https://www.radarfutebol.com/radar/helmond-sport-vitesse/12444902,12444902
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Roda,Den Bosch,1.95,3.75,3.5,https://www.radarfutebol.com/radar/fc-den-bosch-roda-jc-kerkrade/12444904,12444904
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Telstar,Excelsior,2.5,3.6,2.6,https://www.radarfutebol.com/radar/sc-telstar-excelsior/12444905,12444905
FRANCE - LIGUE 2,2025-02-21,16:00,Paris FC,Troyes,1.7,3.6,4.75,https://www.radarfutebol.com/radar/paris-fc-troyes/12615566,12615566
FRANCE - LIGUE 2,2025-02-21,16:00,Rodez,Amiens,1.75,3.5,4.5,https://www.radarfutebol.com/radar/rodez-af-amiens-sc/12450769,12450769
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Oss,FC Emmen,3.5,3.6,2.0,https://www.radarfutebol.com/radar/top-oss-fc-emmen/12444907,12444907
FRANCE - LIGUE 2,2025-02-21,16:00,Grenoble,Guingamp,3.0,3.1,2.3,https://www.radarfutebol.com/radar/grenoble-foot-38-guingamp/12450765,12450765
