League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
AUSTRIA 2,2025-03-16,06:30,Kapfenberg,ASK Voitsberg,3.3,3.6,2.0,https://www.radarfutebol.com/radar/ask-voitsberg-kapfenberger-sv/12484605,12484605
GREECE 2,2025-03-16,06:45,Kalamata,Ilioupoli,1.14,6.5,18.0,https://www.radarfutebol.com/radar/gs-ilioupolis-kalamata-fc/13480406,13480406
BULGARIA 1,2025-03-16,07:00,Spartak Varna,Septemvri Sofia,1.8,3.4,4.75,https://www.radarfutebol.com/radar/fk-septemvri-sofia-fk-spartak-varna/12421768,12421768
POLAND 1,2025-03-16,08:15,Puszcza,Piast Gliwice,3.6,3.25,2.1,https://www.radarfutebol.com/radar/puszcza-niepolomice-piast-gliwice/12402189,12402189
NETHERLANDS 2,2025-03-16,08:15,Oss,De Graafschap,5.0,4.1,1.62,https://www.radarfutebol.com/radar/top-oss-de-graafschap/12441897,12441897
ITALY 1,2025-03-16,08:30,Venezia,Napoli,6.0,4.33,1.53,https://www.radarfutebol.com/radar/napoli-venezia/12504357,12504357
CZECH 1,2025-03-16,09:00,Sigma Olomouc,Hradec Kralove,2.2,3.2,3.5,https://www.radarfutebol.com/radar/fc-hradec-kralove-sk-sigma-olomouc/12580625,12580625
BULGARIA 1,2025-03-16,09:30,Botev Plovdiv,CSKA 1948 Sofia,1.7,3.7,4.75,https://www.radarfutebol.com/radar/fc-cska-1948-sofia-botev-plovdiv/12421764,12421764
GERMANY 2,2025-03-16,09:30,Nurnberg,Greuther Furth,2.15,3.5,3.2,https://www.radarfutebol.com/radar/spvgg-greuther-furth-1-fc-nurnberg/12499223,12499223
ESTONIA 1,2025-03-16,09:30,Kalju,Tammeka,1.7,3.75,3.95,https://www.radarfutebol.com/radar/tartu-jk-tammeka-nomme-kalju/13405903,13405903
GERMANY 2,2025-03-16,09:30,Karlsruher SC,Ulm,2.1,3.6,3.2,https://www.radarfutebol.com/radar/ssv-ulm-1846-karlsruher-sc/12499222,12499222
