Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
StXSJ7ZR,13/01/2026,08:30,ASIA AFC ASIAN CUP U23,Round 3,Iran U23,Lebanon U23,Betano.br,1.78,2.3,8.0,Betano.br,1.3,4.65,9.25,Betano.br,1.38,2.6,Superbet.br,2.62,1.43,Superbet.br,6.1,1.09,Superbet.br,1.03,9.5,Betano.br,1.27,3.1,Betano.br,1.82,1.8,Betano.br,2.9,1.31,Superbet.br,5.85,1.1,Betano.br,2.32,1.47,Betano.br,1.06,1.15,3.4
WEwKLT4F,13/01/2026,08:30,ASIA AFC ASIAN CUP U23,Round 3,Uzbekistan U23,South Korea U23,Betano.br,3.45,1.9,3.3,Betano.br,2.8,2.92,2.57,Betano.br,1.5,2.25,Superbet.br,3.25,1.3,Superbet.br,8.2,1.05,Superbet.br,1.07,6.7,Betano.br,1.4,2.5,Betano.br,2.18,1.53,Betano.br,3.65,1.2,Superbet.br,8.1,1.05,Betano.br,1.85,1.75,Betano.br,1.5,1.34,1.37
OKldz3dU,13/01/2026,14:30,GERMANY 1,Round 17,Stuttgart,Eintracht Frankfurt,bet365,2.3,2.5,4.33,bet365,1.8,3.8,4.2,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.53,2.38,bet365,1.22,1.25,1.95
zwsvt7Sh,13/01/2026,16:30,GERMANY 1,Round 17,Dortmund,Werder Bremen,bet365,1.73,2.75,6.5,bet365,1.36,5.25,7.5,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.44,2.75,bet365,2.1,1.73,bet365,3.5,1.3,bet365,1.7,2.05,bet365,1.1,1.17,3.0
Yg01qtZp,13/01/2026,16:30,GERMANY 1,Round 17,Hamburger SV,Bayer Leverkusen,bet365,3.75,2.38,2.6,bet365,3.4,3.7,2.05,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.04,13.0,bet365,1.2,4.5,bet365,1.62,2.3,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.57,2.25,bet365,1.73,1.29,1.3
W4zmvoc5,13/01/2026,16:30,GERMANY 1,Round 17,Mainz,Heidenheim,bet365,2.2,2.25,5.5,bet365,1.62,3.7,5.5,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.5,bet365,2.0,1.85,bet365,3.4,1.33,bet365,6.5,1.11,bet365,1.95,1.8,bet365,1.14,1.29,2.25
0AZ9oZd4,13/01/2026,05:00,AUSTRALIA 1 WOM,Round 7,Sydney W,Newcastle W,Betfair,2.7,2.2,3.6,Betfair,2.05,3.4,3.0,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.65,2.1,Betfair,1.33,1.25,1.67
IX4vaAX1,13/01/2026,13:00,BAHRAIN 1,Round 12,Al-Najma,Al Riffa,Betfair,7.0,2.3,1.83,Betfair,7.5,4.2,1.36,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.04,11.0,Betfair,1.29,3.5,Betfair,1.9,1.87,Betfair,3.4,1.3,Betfair,6.5,1.1,Betfair,2.2,1.62,Betfair,2.8,1.17,1.06
Q5SWWFH8,13/01/2026,16:30,BELGIUM CUP,Quarter-finals,Antwerp,RAAL La Louviere,Betano.br,2.92,2.0,4.0,Betano.br,2.22,3.3,3.4,Betano.br,1.52,2.47,Betano.br,3.3,1.32,Betano.br,7.9,1.07,Betano.br,1.09,7.4,Betano.br,1.42,2.87,Betano.br,2.25,1.65,Betano.br,4.1,1.24,Betano.br,7.9,1.08,Betano.br,1.95,1.8,Betano.br,1.34,1.32,1.7
YBuo9CP1,13/01/2026,16:30,BELGIUM CUP,Quarter-finals,Charleroi,Club Brugge KV,Betano.br,4.5,2.18,2.45,Betano.br,4.25,3.7,1.83,Betano.br,1.4,2.87,Betano.br,2.75,1.44,Betano.br,6.3,1.11,Betano.br,1.06,9.5,Betano.br,1.29,3.65,Betano.br,1.87,1.95,Betano.br,3.1,1.37,Betano.br,5.7,1.14,Betano.br,1.75,2.0,Betano.br,2.02,1.27,1.24
OhvFSVce,13/01/2026,19:00,BRAZIL PAULISTA,Round 2,Novorizontino,Guarani,bet365,2.38,2.1,5.5,bet365,1.65,3.4,5.25,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.17,1.3,2.2
C0uyzE5L,13/01/2026,21:30,BRAZIL PAULISTA,Round 2,Capivariano,Portuguesa,Betfair,3.2,1.91,3.5,Betfair,2.4,2.9,2.8,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,8.5,1.05,Betfair,1.07,8.0,Betfair,1.44,2.7,Betfair,2.38,1.57,Betfair,4.5,1.2,Betfair,9.0,1.05,Betfair,2.0,1.73,Betfair,1.33,1.33,1.44
Ag4IEDV1,13/01/2026,20:00,COSTA RICA 1,Clausura,Zeledon,San Carlos,bet365,2.75,2.2,3.75,bet365,2.1,3.3,3.2,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.36,1.33,1.7
nRFrXndL,13/01/2026,17:00,ENGLAND EFL CUP,Semi-finals,Newcastle,Manchester City,bet365,3.5,2.4,2.63,bet365,3.1,3.7,2.1,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.67,1.29,1.36
Q94RC2Hs,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Bolton,Port Vale,bet365,2.2,2.2,4.75,bet365,1.7,3.7,4.33,bet365,1.36,3.0,bet365,2.63,1.44,bet365,6.5,1.1,bet365,1.05,8.5,bet365,1.29,3.5,bet365,1.88,1.93,bet365,3.25,1.33,bet365,5.5,1.13,bet365,1.83,1.83,bet365,1.14,1.22,2.0
fkdr9KG6,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Bristol Rovers,Plymouth,bet365,3.5,2.25,2.63,bet365,2.9,3.6,2.05,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.0,1.11,bet365,1.01,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.0,1.14,bet365,1.67,2.1,bet365,1.62,1.22,1.3
2Faj7boJ,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Doncaster,Fleetwood,bet365,2.3,2.2,4.5,bet365,1.75,3.5,3.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,6.5,1.1,bet365,1.02,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.0,1.11,bet365,1.83,1.83,bet365,1.2,1.22,1.91
25dxV1wQ,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Huddersfield,Rotherham,bet365,2.2,2.3,4.5,bet365,1.65,3.75,4.1,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.01,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.73,2.0,bet365,1.17,1.2,2.1
GvwF77u2,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Luton,Swindon,bet365,2.1,2.3,5.0,bet365,1.6,3.8,4.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.11,bet365,1.01,12.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.0,1.14,bet365,1.8,1.91,bet365,1.13,1.18,2.15
8YP0VAX8,13/01/2026,16:00,ENGLAND EFL TROPHY,Play Offs,Stockport County,Harrogate,bet365,1.83,2.4,6.5,bet365,1.4,4.5,6.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.01,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,4.5,1.17,bet365,2.0,1.73,bet365,1.08,1.13,2.6
0zirrjen,13/01/2026,16:45,ENGLAND FA TROPHY,1/16-finals,Bath,Southend,Betfair,4.5,,2.2,Betfair,4.4,3.6,1.67,Betano.br,1.4,2.75,Betano.br,2.72,1.4,,0.0,0.0,Betano.br,1.06,7.5,Betano.br,1.29,3.3,Betfair,1.8,1.91,Betano.br,3.05,1.33,Betano.br,5.3,1.12,Betfair,1.75,1.95,Betfair,2.1,,1.17
nDSEtwKs,13/01/2026,16:45,ENGLAND FA TROPHY,1/16-finals,Hornchurch,AFC Telford,Estrelabet,2.25,2.3,4.0,Betfair,1.75,3.6,3.9,,0.0,0.0,Estrelabet,2.28,1.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,Estrelabet,1.6,2.2,,0.0,0.0,,0.0,0.0,Betfair,1.57,2.25,Estrelabet,1.23,1.2,1.8
fcSwXPno,13/01/2026,16:45,ENGLAND FA TROPHY,1/16-finals,Kidderminster,Morecambe,Betfair,2.5,2.1,4.0,Betfair,1.91,3.3,3.6,Betfair,1.33,3.0,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betano.br,4.9,1.14,Betfair,1.73,2.0,Betfair,1.29,1.3,1.8
