Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
veXijSYG,ARGENTINA,2025,Torneo Betano 2025,07/12/2025,19:00,Clausura,Boca Juniors,Racing Club,0,1,[],[75],bet365,2.63,2.0,5.0,bet365,1.91,3.05,4.5,bet365,1.5,2.5,bet365,3.5,1.29,bet365,10.0,1.06,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.05,1.7,bet365,1.18,1.36,1.8,0.25,0.78,0.51,0.49,7.0,8.0,2.0,2.0,4.0,0.0,7.0,19.0,2.0,6.0,0.0,2.0,1.0,2.0,0.52,0.48,3.0,3.0,1.0,1.0,0.0,0.0,0.51,0.49,4.0,5.0,1.0,1.0,4.0,0.0
4MrfhoM0,ARGENTINA,2025,Torneo Betano 2025,01/12/2025,21:30,Clausura,Racing Club,Tigre,1,0,[],[],bet365,2.4,1.95,6.5,bet365,1.68,3.3,5.5,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.5,1.5,bet365,1.14,1.33,2.05,2.21,0.92,0.71,0.29,24.0,14.0,4.0,1.0,9.0,2.0,16.0,15.0,5.0,4.0,5.0,1.0,1.0,3.0,0.72,0.28,6.0,7.0,0.0,1.0,2.0,1.0,0.65,0.35,11.0,4.0,4.0,0.0,4.0,1.0
vyuJyQQh,ARGENTINA,2025,Torneo Betano 2025,01/12/2025,17:00,Clausura,Barracas Central,Gimnasia L.P.,0,2,[],"[22, 93]",bet365,3.6,1.8,4.0,bet365,2.75,2.65,3.05,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.17,4.75,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,17.0,1.02,bet365,2.38,1.53,bet365,1.36,1.44,1.4,1.28,2.72,0.59,0.41,15.0,12.0,5.0,4.0,4.0,6.0,13.0,11.0,1.0,1.0,1.0,1.0,2.0,5.0,0.5,0.5,6.0,8.0,3.0,1.0,2.0,4.0,0.7,0.3,9.0,4.0,2.0,3.0,2.0,2.0
zyf9WlE4,ARGENTINA,2025,Torneo Betano 2025,30/11/2025,18:30,Clausura,Boca Juniors,Argentinos Jrs,1,0,[5],[],bet365,2.63,1.95,5.0,bet365,1.96,3.05,4.5,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62,bet365,1.18,1.36,1.8,1.03,0.84,0.28,0.72,4.0,16.0,3.0,5.0,3.0,8.0,12.0,8.0,5.0,2.0,1.0,0.0,5.0,2.0,0.29,0.71,4.0,7.0,3.0,2.0,2.0,4.0,0.28,0.72,0.0,9.0,0.0,3.0,1.0,4.0
A7Ttys7s,ARGENTINA,2025,Torneo Betano 2025,29/11/2025,21:30,Clausura,Central Cordoba,Estudiantes L.P.,0,1,[],[65],bet365,4.0,1.83,3.6,bet365,3.05,2.75,2.65,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.17,5.0,bet365,1.67,2.1,bet365,3.4,1.33,bet365,7.0,1.1,bet365,17.0,1.02,bet365,2.38,1.53,bet365,1.44,1.4,1.36,1.0,0.75,0.58,0.42,12.0,11.0,1.0,3.0,7.0,4.0,10.0,9.0,1.0,2.0,0.0,0.0,2.0,1.0,0.5,0.5,3.0,6.0,0.0,2.0,4.0,3.0,0.67,0.33,9.0,5.0,1.0,1.0,3.0,1.0
bu8W5aVO,ARGENTINA,2025,Torneo Betano 2025,26/11/2025,21:30,Clausura,Lanus,Tigre,0,1,[],[48],bet365,2.75,1.91,5.5,bet365,1.91,2.95,4.75,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.14,5.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.18,1.36,1.8,0.93,0.64,0.69,0.31,18.0,9.0,3.0,1.0,2.0,1.0,13.0,12.0,2.0,1.0,1.0,0.0,0.0,3.0,0.67,0.33,7.0,5.0,2.0,0.0,2.0,0.0,0.71,0.29,11.0,4.0,1.0,1.0,0.0,1.0
SfrtQ2Gt,ARGENTINA,2025,Torneo Betano 2025,24/11/2025,22:00,Clausura,Union de Santa Fe,Gimnasia L.P.,1,2,[53],"[18, 24]",bet365,2.5,1.95,6.0,bet365,1.76,3.2,5.25,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.38,1.53,bet365,1.17,1.36,1.95,1.32,1.35,0.65,0.35,24.0,6.0,7.0,3.0,7.0,3.0,9.0,12.0,2.0,4.0,0.0,0.0,0.0,6.0,0.6,0.4,11.0,3.0,4.0,2.0,3.0,1.0,0.7,0.3,13.0,3.0,3.0,1.0,4.0,2.0
UaGF9sWa,ARGENTINA,2025,Torneo Betano 2025,24/11/2025,19:15,Clausura,Racing Club,River Plate,3,2,"[4, 73, 93]","[62, 64]",bet365,3.5,1.95,3.5,bet365,2.75,2.85,2.75,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.05,1.7,bet365,1.4,1.4,1.4,1.36,0.65,0.53,0.47,12.0,14.0,4.0,6.0,6.0,2.0,19.0,8.0,2.0,2.0,2.0,0.0,4.0,2.0,0.48,0.52,6.0,11.0,2.0,4.0,3.0,2.0,0.57,0.43,6.0,3.0,2.0,2.0,3.0,0.0
x2yyHPwQ,ARGENTINA,2025,Torneo Betano 2025,24/11/2025,17:00,Clausura,Dep. Riestra,Barracas Central,0,1,[],[115],bet365,3.0,1.8,5.5,bet365,2.05,2.82,4.33,bet365,1.73,2.0,bet365,4.5,1.18,bet365,15.0,1.03,bet365,1.17,4.75,bet365,1.73,2.0,bet365,3.4,1.33,bet365,7.0,1.1,bet365,19.0,1.02,bet365,2.63,1.44,bet365,1.2,1.4,1.7,1.09,1.41,0.5,0.5,18.0,9.0,4.0,2.0,7.0,3.0,15.0,18.0,4.0,4.0,3.0,1.0,0.0,4.0,0.4,0.6,2.0,4.0,1.0,0.0,1.0,2.0,0.55,0.45,12.0,2.0,3.0,0.0,4.0,0.0
xCvkgMoJ,ARGENTINA,2025,Torneo Betano 2025,23/11/2025,20:00,Clausura,Boca Juniors,Talleres Cordoba,2,0,"[28, 46]",[],bet365,2.25,2.0,7.5,bet365,1.57,3.5,6.25,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.63,1.44,bet365,1.13,1.29,2.25,3.8,1.7,0.41,0.59,11.0,16.0,6.0,4.0,4.0,5.0,11.0,13.0,1.0,4.0,2.0,4.0,4.0,4.0,0.43,0.57,6.0,8.0,3.0,3.0,3.0,1.0,0.39,0.61,5.0,8.0,3.0,1.0,1.0,4.0
