Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
SYAMaLNi,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,07/12/2025,05:35,Round 7,Adelaide United,Brisbane Roar,0,1,[],[95],bet365,2.4,2.38,4.0,bet365,1.86,3.8,3.8,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.25,1.25,1.91,bet365,13.0,bet365,9.0,bet365,13.0,bet365,7.0,bet365,10.0,bet365,21.0,bet365,8.5,bet365,13.0,bet365,13.0,bet365,17.0,bet365,41.0,bet365,15.0,bet365,29.0,bet365,21.0,bet365,34.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.3,1.33,bet365,2.6,1.48,bet365,1.9,1.95,bet365,1.27,3.55,bet365,1.1,7.0,Superbet.br,1.06,7.2,1xBet,1.01,13.0,,0.0,0.0,Estrelabet,14.0,9.0,1.09,Estrelabet,6.5,5.5,1.3,bet365,3.25,4.0,1.91,Estrelabet,1.26,5.33,8.0,Estrelabet,1.07,9.0,18.0,BetEsporte,1.01,11.0,30.0,,,0.71,1.59,1.18,0.29,1.59,0.71,0.59,0.71,,,0.84,0.79,0.46,0.52,0.68,0.65,3.0,0.0,0.05,0.0,11.0,16.0,3.0,8.0,4.0,5.0,,,,,,,,,,,24.0,25.0,,,,,,,8.0,15.0,,,,,2.0,1.0,,,0.56,0.65,44.0,40.0,25.0,34.0,6.0,7.0,0.0,1.0,0.0,0.0,,,0.71,0.44,0.93,0.07,,,8.0,8.0,3.0,4.0,3.0,3.0,,,,,,,3.0,8.0,1.0,1.0,,,,,0.0,1.15,0.25,0.22,,,3.0,8.0,0.0,4.0,1.0,2.0,,,,,,,,,5.0,7.0,1.0,0.0,,
MyOzxIVp,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,06/12/2025,05:35,Round 7,Central Coast Mariners,Sydney FC,1,2,[10],"[29, 68]",bet365,4.5,2.4,2.2,bet365,4.33,4.2,1.68,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.62,2.2,bet365,2.05,1.22,1.2,bet365,17.0,bet365,15.0,bet365,9.5,bet365,8.0,bet365,26.0,bet365,9.5,bet365,15.0,bet365,8.5,bet365,13.0,bet365,51.0,bet365,15.0,bet365,34.0,bet365,13.0,bet365,34.0,bet365,21.0,,0.0,0.0,,0.0,0.0,Superbet.br,8.2,1.05,1xBet,8.4,1.07,bet365,4.1,1.23,bet365,2.1,1.7,bet365,1.65,2.2,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.15,5.5,BetEsporte,35.0,12.0,1.01,BetEsporte,22.0,9.6,1.04,Estrelabet,10.0,6.0,1.2,bet365,2.05,4.0,2.75,Estrelabet,1.4,5.0,5.33,Estrelabet,1.14,8.0,10.0,,,0.91,1.24,0.54,1.0,1.24,0.91,-0.77,-0.09,,,0.81,0.88,0.52,0.34,0.52,0.78,0.0,1.0,0.33,0.2,10.0,18.0,4.0,5.0,4.0,7.0,,,,,,,,,,,18.0,35.0,,,,,,,14.0,7.0,,,,,0.0,3.0,,,0.56,0.5,51.0,45.0,40.0,15.0,11.0,5.0,0.0,0.0,0.0,0.0,,,0.63,0.23,0.37,0.32,,,5.0,6.0,2.0,3.0,3.0,2.0,,,,,,,4.0,1.0,0.0,2.0,,,,,0.28,1.01,0.17,0.68,,,5.0,12.0,2.0,2.0,1.0,5.0,,,,,,,,,10.0,6.0,0.0,1.0,,
x4n4sv8N,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,06/12/2025,03:00,Round 7,Newcastle Jets,Melbourne City,0,1,[],[27],bet365,3.25,2.6,2.6,bet365,2.95,4.1,2.05,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.01,21.0,bet365,1.13,6.0,bet365,1.44,2.75,bet365,2.1,1.73,bet365,3.5,1.3,bet365,1.4,2.75,bet365,1.7,1.22,1.36,bet365,21.0,bet365,17.0,bet365,13.0,bet365,8.5,bet365,21.0,bet365,15.0,bet365,12.0,bet365,9.5,bet365,11.0,bet365,34.0,bet365,21.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,17.0,1xBet,12.0,1.01,1xBet,11.0,1.02,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,1.73,2.08,bet365,1.38,3.0,bet365,1.27,3.55,bet365,1.12,6.4,Superbet.br,1.08,6.4,BetEsporte,24.0,11.0,1.02,Estrelabet,13.0,8.0,1.11,Estrelabet,5.75,5.33,1.35,bet365,1.7,4.33,3.6,Estrelabet,1.25,6.0,7.5,Estrelabet,1.08,9.5,14.0,,,0.66,0.84,1.71,1.91,0.84,0.66,-0.16,0.66,,,0.83,0.8,0.33,0.4,0.71,0.63,2.0,2.0,0.31,0.56,16.0,14.0,3.0,4.0,5.0,5.0,,,,,,,,,,,43.0,28.0,,,,,,,7.0,11.0,,,,,1.0,1.0,,,0.47,0.58,47.0,39.0,17.0,32.0,7.0,20.0,2.0,0.0,1.0,0.0,,,0.13,0.67,1.2,0.84,,,7.0,8.0,1.0,3.0,3.0,3.0,,,,,,,3.0,4.0,0.0,0.0,,,,,0.53,0.17,0.51,1.07,,,9.0,6.0,2.0,1.0,2.0,2.0,,,,,,,,,4.0,7.0,1.0,1.0,,
jPD0ffMh,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,06/12/2025,01:00,Round 7,Auckland FC,Wellington Phoenix,3,1,"[7, 72, 80]",[55],bet365,2.1,2.4,5.0,bet365,1.57,4.5,4.75,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.7,2.05,bet365,1.18,1.18,2.25,bet365,15.0,bet365,8.0,bet365,15.0,bet365,8.5,bet365,8.5,bet365,26.0,bet365,8.5,bet365,15.0,bet365,15.0,bet365,12.0,bet365,51.0,bet365,12.0,bet365,34.0,bet365,21.0,bet365,34.0,bet365,5.25,1.16,bet365,4.25,1.21,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.63,2.25,bet365,1.21,4.25,1xBet,1.04,9.7,Superbet.br,1.03,9.9,,0.0,0.0,,0.0,0.0,Estrelabet,10.0,7.5,1.15,Estrelabet,5.0,4.75,1.45,bet365,2.63,3.75,2.25,Estrelabet,1.16,6.33,12.0,BetEsporte,1.03,10.0,26.0,BetEsporte,1.01,12.0,40.0,,,5.2,0.68,2.11,0.51,0.68,5.2,-0.32,2.2,,,0.73,0.73,0.43,0.31,0.67,0.48,2.0,0.0,0.43,0.36,23.0,9.0,13.0,2.0,9.0,2.0,,,,,,,,,,,34.0,13.0,,,,,,,18.0,14.0,,,,,4.0,5.0,,,0.5,0.44,64.0,58.0,26.0,20.0,4.0,9.0,1.0,2.0,1.0,0.0,,,1.52,0.0,0.64,0.11,,,8.0,3.0,4.0,0.0,4.0,1.0,,,,,,,10.0,8.0,3.0,4.0,,,,,3.68,0.68,1.47,0.4,,,15.0,6.0,9.0,2.0,5.0,1.0,,,,,,,,,8.0,6.0,1.0,1.0,,
Uwqdq0wB,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,05/12/2025,07:45,Round 7,Perth Glory,WS Wanderers,1,0,[30],[],bet365,3.4,2.3,2.88,bet365,2.82,3.7,2.25,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.57,1.29,1.4,bet365,13.0,bet365,11.0,bet365,9.5,bet365,7.0,bet365,15.0,bet365,12.0,bet365,11.0,bet365,9.5,bet365,12.0,bet365,29.0,bet365,21.0,bet365,21.0,bet365,17.0,bet365,26.0,bet365,23.0,1xBet,12.0,1.01,1xBet,11.0,1.02,bet365,5.9,1.13,bet365,4.8,1.18,bet365,2.75,1.43,bet365,1.63,2.25,bet365,1.3,3.45,bet365,1.21,4.25,1xBet,1.06,9.31,Superbet.br,1.04,8.5,BetEsporte,26.0,11.0,1.02,Estrelabet,13.0,7.5,1.12,Estrelabet,6.0,4.75,1.38,bet365,1.57,4.33,4.33,Estrelabet,1.18,6.5,10.0,Estrelabet,1.05,10.0,19.0,,,0.71,1.78,0.57,2.13,1.78,0.71,1.78,-0.29,,,0.76,0.87,0.29,0.49,0.7,0.8,1.0,0.0,0.09,0.29,12.0,19.0,2.0,5.0,6.0,8.0,,,,,,,,,,,19.0,34.0,,,,,,,13.0,9.0,,,,,1.0,1.0,,,0.57,0.53,44.0,55.0,49.0,16.0,13.0,7.0,0.0,3.0,0.0,0.0,,,0.71,0.26,0.52,0.56,,,10.0,8.0,2.0,1.0,5.0,3.0,,,,,,,9.0,4.0,1.0,1.0,,,,,0.0,1.52,0.05,1.57,,,2.0,11.0,0.0,4.0,1.0,5.0,,,,,,,,,4.0,5.0,0.0,0.0,,
YBkmoM8b,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,05/12/2025,05:35,Round 7,Macarthur FC,Melbourne Victory,0,0,[],[],bet365,3.1,2.38,3.0,bet365,2.55,3.7,2.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.62,2.3,bet365,2.5,1.53,bet365,4.5,1.2,bet365,1.5,2.5,bet365,1.5,1.29,1.5,bet365,15.0,bet365,12.0,bet365,12.0,bet365,7.0,bet365,15.0,bet365,15.0,bet365,10.0,bet365,10.0,bet365,11.0,bet365,26.0,bet365,26.0,bet365,19.0,bet365,19.0,bet365,23.0,bet365,21.0,Superbet.br,9.0,1.04,1xBet,12.3,1.03,bet365,4.8,1.18,bet365,4.0,1.23,bet365,2.5,1.5,bet365,1.53,2.42,bet365,1.24,3.9,bet365,1.18,4.65,1xBet,1.03,12.1,Superbet.br,1.04,8.9,BetEsporte,21.0,10.0,1.04,Estrelabet,10.0,7.0,1.16,bet365,4.75,4.5,1.5,bet365,1.5,4.5,4.75,Estrelabet,1.16,7.0,10.0,BetEsporte,1.03,10.0,21.0,,,0.78,0.23,1.11,1.51,0.23,0.78,-0.77,0.78,,,0.74,0.8,0.36,0.49,0.7,0.7,0.0,2.0,0.37,0.29,12.0,19.0,3.0,1.0,4.0,8.0,,,,,,,,,,,31.0,34.0,,,,,,,5.0,15.0,,,,,0.0,1.0,,,0.55,0.59,73.0,79.0,35.0,34.0,14.0,7.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.07,0.49,,,2.0,6.0,0.0,0.0,1.0,5.0,,,,,,,1.0,10.0,0.0,1.0,,,,,0.78,0.23,1.04,1.02,,,10.0,13.0,3.0,1.0,3.0,3.0,,,,,,,,,4.0,5.0,0.0,0.0,,
0biumrvn,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,30/11/2025,04:00,Round 6,Macarthur FC,Perth Glory,0,2,[],"[66, 88]",bet365,2.4,2.4,4.0,bet365,1.86,3.9,3.6,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.53,2.38,bet365,1.29,1.25,1.83,bet365,17.0,bet365,10.0,bet365,15.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,8.5,bet365,13.0,bet365,12.0,bet365,17.0,bet365,41.0,bet365,13.0,bet365,26.0,bet365,21.0,bet365,29.0,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.9,1.95,bet365,1.27,3.55,bet365,1.11,6.8,bet365,1.1,7.0,1xBet,1.01,13.0,Betboom.br,1.01,14.05,Estrelabet,15.0,8.5,1.09,Estrelabet,6.5,5.5,1.3,bet365,3.25,4.0,1.83,Estrelabet,1.27,5.5,7.5,Estrelabet,1.08,8.5,17.0,BetEsporte,1.01,12.0,29.0,,,0.2,2.23,0.6,0.92,2.23,0.2,0.23,0.2,,,0.78,0.72,0.28,0.37,0.77,0.64,0.0,2.0,0.15,0.08,9.0,15.0,3.0,5.0,6.0,5.0,,,,,,,,,,,24.0,23.0,,,,,,,8.0,14.0,,,,,3.0,0.0,,,0.77,0.54,60.0,57.0,24.0,37.0,13.0,11.0,0.0,0.0,0.0,0.0,,,0.15,0.79,0.37,0.33,,,6.0,7.0,2.0,1.0,4.0,4.0,,,,,,,6.0,5.0,2.0,0.0,,,,,0.05,1.44,0.23,0.59,,,3.0,8.0,1.0,4.0,2.0,1.0,,,,,,,,,2.0,9.0,1.0,0.0,,
IBFhdGit,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,29/11/2025,23:00,Round 6,Auckland FC,Newcastle Jets,1,2,[14],"[3, 41]",bet365,2.1,2.63,4.5,bet365,1.61,4.75,4.2,bet365,1.2,4.33,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.01,23.0,bet365,1.11,6.5,bet365,1.4,3.0,bet365,2.0,1.8,bet365,3.4,1.33,bet365,1.44,2.63,bet365,1.22,1.18,2.2,bet365,23.0,bet365,13.0,bet365,21.0,bet365,9.5,bet365,11.0,bet365,29.0,bet365,9.0,bet365,15.0,bet365,13.0,bet365,15.0,bet365,51.0,bet365,12.0,bet365,29.0,bet365,17.0,bet365,26.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.5,1.5,bet365,2.05,1.8,bet365,1.63,2.25,bet365,1.23,4.1,1xBet,1.08,8.0,Superbet.br,1.05,7.9,,0.0,0.0,,0.0,0.0,Estrelabet,10.0,7.0,1.16,Estrelabet,4.75,5.0,1.45,bet365,2.5,4.0,2.2,Estrelabet,1.2,6.33,9.0,Estrelabet,1.05,10.0,19.0,BetEsporte,1.01,12.0,30.0,,,1.16,2.47,1.43,0.82,2.47,1.16,0.47,0.16,,,0.8,0.77,0.47,0.3,0.67,0.66,1.0,2.0,0.34,0.25,26.0,17.0,4.0,6.0,15.0,5.0,,,,,,,,,,,45.0,31.0,,,,,,,9.0,12.0,,,,,3.0,2.0,,,0.46,0.45,58.0,52.0,12.0,42.0,10.0,9.0,3.0,2.0,0.0,0.0,,,0.14,1.74,0.67,0.16,,,11.0,8.0,1.0,3.0,7.0,2.0,,,,,,,5.0,6.0,1.0,2.0,,,,,1.02,0.73,0.76,0.66,,,15.0,9.0,3.0,3.0,8.0,3.0,,,,,,,,,4.0,6.0,2.0,0.0,,
xj7VSvgU,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,29/11/2025,05:35,Round 6,WS Wanderers,Sydney FC,1,0,[51],[],bet365,3.4,2.4,2.75,bet365,2.95,3.6,2.15,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.62,2.3,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.5,2.5,bet365,1.67,1.29,1.36,bet365,17.0,bet365,15.0,bet365,12.0,bet365,7.0,bet365,19.0,bet365,13.0,bet365,11.0,bet365,9.5,bet365,11.0,bet365,34.0,bet365,21.0,bet365,21.0,bet365,15.0,bet365,23.0,bet365,21.0,1xBet,11.0,1.02,1xBet,10.0,1.03,bet365,5.9,1.13,bet365,5.0,1.17,bet365,3.0,1.38,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.23,4.0,bet365,1.1,7.0,Superbet.br,1.06,7.5,BetEsporte,24.0,11.0,1.02,Estrelabet,13.0,7.5,1.12,Estrelabet,5.66,4.75,1.4,bet365,1.67,4.33,4.0,Estrelabet,1.22,6.33,8.0,Estrelabet,1.06,10.0,17.0,,,1.11,0.7,0.43,0.79,0.7,1.11,0.7,0.11,,,0.79,0.83,0.29,0.39,0.64,0.71,1.0,0.0,0.24,0.47,15.0,20.0,5.0,5.0,7.0,5.0,,,,,,,,,,,30.0,26.0,,,,,,,9.0,15.0,,,,,2.0,0.0,,,0.41,0.41,61.0,49.0,37.0,36.0,6.0,5.0,0.0,1.0,0.0,1.0,,,0.24,0.0,0.25,0.3,,,8.0,4.0,2.0,0.0,4.0,2.0,,,,,,,3.0,7.0,1.0,0.0,,,,,0.87,0.7,0.18,0.49,,,7.0,16.0,3.0,5.0,3.0,3.0,,,,,,,,,6.0,8.0,1.0,0.0,,
UP3NU0OH,AUSTRALIA,2025-2026,A League 2025 2026,AUSTRALIA A League 2025 2026,29/11/2025,03:00,Round 6,Central Coast Mariners,Melbourne City,0,0,[],[],bet365,5.0,2.25,2.3,bet365,4.75,3.75,1.68,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.91,1.91,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.8,1.95,bet365,2.05,1.25,1.18,bet365,12.0,bet365,15.0,bet365,7.5,bet365,7.0,bet365,26.0,bet365,8.5,bet365,15.0,bet365,8.5,bet365,15.0,bet365,51.0,bet365,13.0,bet365,41.0,bet365,13.0,bet365,41.0,bet365,23.0,,0.0,0.0,,0.0,0.0,Superbet.br,9.3,1.04,1xBet,10.3,1.05,bet365,4.5,1.19,bet365,2.1,1.7,bet365,1.63,2.25,bet365,1.4,2.85,bet365,1.16,5.25,bet365,1.13,6.0,BetEsporte,40.0,11.0,1.01,BetEsporte,25.0,9.6,1.03,Estrelabet,10.0,6.0,1.2,bet365,2.05,3.75,2.88,Estrelabet,1.38,5.0,5.66,Estrelabet,1.12,7.5,13.0,,,0.89,0.91,0.6,1.19,0.91,0.89,0.91,0.89,,,0.78,0.84,0.42,0.6,0.65,0.75,0.0,0.0,0.33,0.13,4.0,14.0,2.0,4.0,1.0,5.0,,,,,,,,,,,14.0,31.0,,,,,,,7.0,8.0,,,,,2.0,4.0,,,0.69,0.5,41.0,42.0,24.0,22.0,9.0,6.0,0.0,1.0,0.0,0.0,,,0.01,0.45,0.11,0.27,,,2.0,5.0,1.0,2.0,1.0,1.0,,,,,,,4.0,5.0,2.0,2.0,,,,,0.88,0.46,0.49,0.92,,,2.0,9.0,1.0,2.0,0.0,4.0,,,,,,,,,3.0,3.0,0.0,2.0,,
