Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
CK9pBb4j,AUSTRIA,2024-2025,Bundesliga 2024 2025,01/06/2025,12:00,Conference League,SK Rapid,LASK,3,0,"[31, 81, 95]",[],bet365,2.6,2.4,3.75,bet365,1.95,3.6,3.6,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.62,2.25,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.29,1.29,1.8,2.19,0.91,0.48,0.52,16.0,10.0,6.0,2.0,7.0,4.0,14.0,12.0,4.0,3.0,4.0,2.0,2.0,3.0,0.55,0.45,7.0,4.0,3.0,0.0,5.0,3.0,0.41,0.59,9.0,6.0,3.0,2.0,2.0,1.0
SnYDGKtT,AUSTRIA,2024-2025,Bundesliga 2024 2025,29/05/2025,12:00,Conference League,LASK,SK Rapid,3,1,"[5, 66, 91]",[26],bet365,2.88,2.25,3.5,bet365,2.25,3.4,3.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.36,1.3,1.62,1.87,1.27,0.57,0.43,13.0,5.0,6.0,3.0,3.0,8.0,13.0,8.0,3.0,1.0,2.0,3.0,2.0,3.0,0.59,0.41,3.0,2.0,1.0,2.0,1.0,4.0,0.55,0.45,10.0,3.0,5.0,1.0,2.0,4.0
xW4nw6d2,AUSTRIA,2024-2025,Bundesliga 2024 2025,26/05/2025,14:00,Conference League,LASK,Hartberg,2,0,"[21, 64]",[],bet365,2.05,2.38,5.5,bet365,1.57,4.0,6.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.77,1.92,bet365,1.1,1.19,2.3,2.41,1.79,0.51,0.49,14.0,13.0,8.0,4.0,10.0,10.0,13.0,5.0,1.0,1.0,4.0,0.0,4.0,6.0,0.58,0.42,4.0,6.0,3.0,2.0,6.0,4.0,0.44,0.56,10.0,7.0,5.0,2.0,4.0,6.0
pYPlmX77,AUSTRIA,2024-2025,Bundesliga 2024 2025,24/05/2025,12:00,Championship Group,Austria Vienna,BW Linz,2,2,"[33, 90]","[78, 92]",bet365,1.8,2.6,8.0,bet365,1.33,5.0,8.5,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.0,1.75,bet365,1.08,1.17,3.25,2.45,1.01,0.64,0.36,18.0,11.0,4.0,8.0,11.0,2.0,10.0,8.0,2.0,1.0,2.0,0.0,6.0,2.0,0.66,0.34,7.0,2.0,2.0,2.0,5.0,1.0,0.62,0.38,11.0,9.0,2.0,6.0,6.0,1.0
29dF3hhl,AUSTRIA,2024-2025,Bundesliga 2024 2025,24/05/2025,12:00,Championship Group,Salzburg,SK Rapid,4,2,"[8, 11, 24, 56]","[19, 63]",bet365,1.83,2.75,5.5,bet365,1.45,4.75,5.75,bet365,1.2,4.33,bet365,1.95,1.85,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.5,2.5,bet365,1.14,1.18,2.63,1.17,1.46,0.44,0.56,14.0,14.0,7.0,6.0,2.0,5.0,4.0,7.0,0.0,1.0,1.0,1.0,4.0,3.0,0.47,0.53,6.0,4.0,4.0,2.0,0.0,3.0,0.41,0.59,8.0,10.0,3.0,4.0,2.0,2.0
GzVUcT4S,AUSTRIA,2024-2025,Bundesliga 2024 2025,24/05/2025,12:00,Championship Group,Sturm Graz,Wolfsberger AC,1,1,[46],[67],bet365,2.4,2.38,4.0,bet365,1.85,3.4,4.33,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.2,1.3,1.91,0.76,0.53,0.52,0.48,12.0,7.0,4.0,3.0,4.0,5.0,5.0,11.0,2.0,0.0,1.0,3.0,2.0,3.0,0.58,0.42,9.0,3.0,3.0,0.0,3.0,1.0,0.46,0.54,3.0,4.0,1.0,3.0,1.0,4.0
CxeoQLN8,AUSTRIA,2024-2025,Bundesliga 2024 2025,23/05/2025,14:30,Relegation Group,A. Klagenfurt,Hartberg,0,1,[],[2],bet365,2.88,2.3,3.4,bet365,2.25,3.6,2.9,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.4,1.29,1.62,1.36,0.4,0.49,0.51,12.0,8.0,2.0,3.0,4.0,4.0,13.0,9.0,3.0,2.0,4.0,2.0,2.0,2.0,0.47,0.53,4.0,3.0,0.0,1.0,1.0,1.0,0.51,0.49,8.0,5.0,2.0,2.0,3.0,3.0
OGEj4v1k,AUSTRIA,2024-2025,Bundesliga 2024 2025,23/05/2025,14:30,Relegation Group,LASK,Altach,0,0,[],[],bet365,3.5,2.25,2.88,bet365,3.0,3.6,2.2,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.83,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.62,1.29,1.4,1.2,0.56,0.73,0.27,12.0,8.0,1.0,1.0,7.0,4.0,5.0,17.0,2.0,2.0,3.0,3.0,1.0,1.0,0.65,0.35,8.0,5.0,1.0,0.0,4.0,4.0,0.81,0.19,4.0,3.0,0.0,1.0,3.0,0.0
dUCb2IV1,AUSTRIA,2024-2025,Bundesliga 2024 2025,23/05/2025,14:30,Relegation Group,Tirol,Grazer AK,1,1,[29],[25],bet365,3.75,2.1,3.0,bet365,3.3,2.8,2.38,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.5,1.29,bet365,8.0,1.08,bet365,1.8,1.95,bet365,1.53,1.4,1.33,0.59,0.5,0.65,0.35,11.0,8.0,2.0,4.0,3.0,7.0,5.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,0.59,0.41,6.0,5.0,1.0,3.0,2.0,5.0,0.71,0.29,5.0,3.0,1.0,1.0,1.0,2.0
l6Wukgwe,AUSTRIA,2024-2025,Bundesliga 2024 2025,18/05/2025,12:00,Championship Group,BW Linz,Salzburg,1,2,[9],"[79, 94]",bet365,6.0,2.5,1.95,bet365,5.75,4.75,1.48,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.7,2.05,bet365,2.63,1.18,1.14,0.82,1.3,0.32,0.68,12.0,12.0,5.0,5.0,6.0,9.0,9.0,9.0,1.0,0.0,1.0,1.0,3.0,4.0,0.31,0.69,7.0,4.0,3.0,1.0,4.0,1.0,0.33,0.67,5.0,8.0,2.0,4.0,2.0,8.0
