Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tn42sLXb,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,04/06/2023,13:30,Championship Group,Genk,Antwerp,2,2,"[45, 75]","[58, 94]",bet365,2.88,2.38,3.2,bet365,2.4,3.6,2.7,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.44,1.29,1.53,bet365,15.0,bet365,11.0,bet365,12.0,bet365,7.0,bet365,15.0,bet365,15.0,bet365,9.5,bet365,10.0,bet365,12.0,bet365,23.0,bet365,29.0,bet365,17.0,bet365,19.0,bet365,21.0,bet365,23.0,1xBet,8.91,1.06,1xBet,7.82,1.08,bet365,4.25,1.21,bet365,3.55,1.27,bet365,2.35,1.57,bet365,1.45,2.67,bet365,1.2,4.4,bet365,1.15,5.5,1xBet,1.03,12.4,1xBet,1.02,13.8,Betano.br,19.5,11.0,1.07,Betano.br,9.5,6.6,1.21,bet365,4.5,4.5,1.53,Betano.br,1.47,4.6,5.4,Betano.br,1.16,7.4,11.75,Betano.br,1.05,12.0,23.0,0.84,0.88,,,,,,,,,0.53,0.47,0.0,0.0,,,,,,,,,6.0,12.0,3.0,4.0,3.0,8.0,,,,,,,,,,,,,1.0,3.0,16.0,13.0,19.0,25.0,12.0,15.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,0.49,0.37,,,,,0.6,0.4,1.0,5.0,1.0,1.0,0.0,4.0,,,0.0,2.0,,,10.0,6.0,0.0,2.0,1.0,0.0,0.35,0.51,,,,,0.44,0.56,5.0,7.0,2.0,3.0,3.0,4.0,,,1.0,1.0,1.0,3.0,0.0,1.0,2.0,9.0,1.0,0.0,1.0,1.0
z936tum5,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,04/06/2023,13:30,Championship Group,Royale Union SG,Club Brugge KV,1,3,[46],"[89, 93, 100]",bet365,2.1,2.6,4.75,bet365,1.57,4.33,4.75,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.57,2.25,bet365,1.18,1.2,2.3,bet365,19.0,bet365,10.0,bet365,19.0,bet365,9.0,bet365,9.5,bet365,29.0,bet365,8.5,bet365,15.0,bet365,13.0,bet365,13.0,bet365,51.0,bet365,11.0,bet365,34.0,bet365,19.0,bet365,34.0,bet365,4.4,1.2,bet365,3.7,1.26,bet365,2.42,1.52,bet365,1.98,1.88,bet365,1.57,2.35,bet365,1.19,4.5,1xBet,1.05,10.3,1xBet,1.03,11.6,,0.0,0.0,,0.0,0.0,Betano.br,8.5,6.7,1.23,Betano.br,4.25,4.6,1.6,bet365,2.4,4.0,2.38,Betano.br,1.17,6.9,12.0,Betano.br,1.05,11.75,25.0,Betano.br,1.01,16.0,35.0,1.1,1.42,,,,,,,,,0.38,0.62,0.0,0.0,,,,,,,,,12.0,6.0,5.0,5.0,7.0,1.0,,,,,,,,,,,,,5.0,6.0,10.0,12.0,21.0,19.0,14.0,11.0,0.0,3.0,,,2.0,1.0,2.0,4.0,,,,,,,,,,,,,0.63,0.16,,,,,0.39,0.61,5.0,1.0,2.0,0.0,3.0,1.0,,,1.0,2.0,,,9.0,5.0,1.0,1.0,0.0,2.0,0.47,1.26,,,,,0.37,0.63,7.0,5.0,3.0,5.0,4.0,0.0,,,4.0,4.0,0.0,3.0,,,5.0,6.0,1.0,0.0,2.0,2.0
6H3jxoDG,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,03/06/2023,15:30,Conference League Group,Cercle Brugge KSV,Westerlo,2,0,"[76, 89]",[],bet365,1.91,2.75,5.0,bet365,1.45,5.0,5.75,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.5,2.5,bet365,1.14,1.17,2.63,bet365,26.0,bet365,13.0,bet365,23.0,bet365,11.0,bet365,11.0,bet365,34.0,bet365,9.0,bet365,17.0,bet365,15.0,bet365,13.0,bet365,51.0,bet365,11.0,bet365,34.0,bet365,17.0,bet365,29.0,bet365,3.55,1.27,bet365,3.0,1.38,bet365,2.1,1.7,bet365,1.68,2.15,bet365,1.45,2.67,bet365,1.16,5.25,1xBet,1.04,10.8,1xBet,1.03,12.1,,0.0,0.0,,0.0,0.0,Betano.br,7.4,6.6,1.26,Betano.br,3.9,4.75,1.62,bet365,2.1,4.33,2.63,Betano.br,1.19,6.9,10.25,Betano.br,1.06,11.25,21.0,Betano.br,1.02,16.0,32.0,1.53,0.73,,,,,,,,,0.42,0.58,0.0,0.0,,,,,,,,,12.0,9.0,5.0,3.0,7.0,6.0,,,,,,,,,,,,,4.0,3.0,12.0,14.0,27.0,29.0,13.0,11.0,1.0,1.0,,,1.0,0.0,3.0,3.0,,,,,,,,,,,,,0.73,0.59,,,,,0.41,0.59,5.0,5.0,2.0,1.0,3.0,4.0,,,4.0,3.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,0.8,0.14,,,,,0.43,0.57,7.0,4.0,3.0,2.0,4.0,2.0,,,0.0,0.0,1.0,0.0,,,9.0,6.0,1.0,0.0,2.0,1.0
0v3fy5SM,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,03/06/2023,15:30,Conference League Group,Gent,St. Liege,3,1,"[23, 43, 79]",[11],bet365,1.8,2.88,6.0,bet365,1.36,5.75,6.5,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.01,26.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.62,2.2,bet365,1.11,1.14,3.0,bet365,26.0,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,41.0,bet365,9.0,bet365,19.0,bet365,17.0,bet365,11.0,bet365,67.0,bet365,10.0,bet365,41.0,bet365,19.0,bet365,34.0,bet365,3.0,1.38,bet365,2.42,1.52,bet365,1.93,1.93,bet365,1.5,2.5,bet365,1.35,3.1,bet365,1.13,6.0,1xBet,1.02,11.5,1xBet,1.01,12.5,,0.0,0.0,,0.0,0.0,Betano.br,6.0,5.9,1.34,Betano.br,3.25,4.45,1.82,bet365,1.91,4.33,3.0,Betano.br,1.14,7.9,13.5,Betano.br,1.04,12.5,26.0,,0.0,0.0,0.0,2.53,0.83,,,,,,,,,0.53,0.47,0.0,0.0,,,,,,,,,13.0,8.0,5.0,2.0,8.0,6.0,,,,,,,,,,,,,4.0,3.0,13.0,12.0,16.0,15.0,9.0,12.0,1.0,3.0,,,4.0,1.0,1.0,2.0,,,,,,,,,,,,,1.53,0.45,,,,,0.55,0.45,7.0,3.0,4.0,1.0,3.0,2.0,,,1.0,2.0,1.0,0.0,5.0,6.0,1.0,1.0,0.0,2.0,1.0,0.38,,,,,0.51,0.49,6.0,5.0,1.0,1.0,5.0,4.0,,,3.0,1.0,0.0,3.0,,,4.0,6.0,3.0,0.0,1.0,0.0
2e5br1Ih,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,28/05/2023,13:30,Championship Group,Club Brugge KV,Genk,1,3,[64],"[12, 81, 86]",bet365,3.2,2.4,2.88,bet365,2.7,3.5,2.38,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.44,2.63,bet365,1.53,1.29,1.44,bet365,17.0,bet365,13.0,bet365,12.0,bet365,7.0,bet365,17.0,bet365,15.0,bet365,11.0,bet365,9.5,bet365,11.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,17.0,bet365,23.0,bet365,21.0,1xBet,9.2,1.02,1xBet,8.6,1.03,bet365,5.25,1.16,bet365,4.25,1.21,bet365,2.67,1.45,bet365,1.57,2.35,bet365,1.27,3.55,bet365,1.2,4.4,1xBet,1.03,8.0,1xBet,1.02,8.7,Betano.br,22.0,11.75,1.05,Betano.br,11.25,7.2,1.17,bet365,4.75,4.75,1.5,bet365,1.53,4.5,4.33,Betano.br,1.19,6.9,10.5,Betano.br,1.06,11.5,21.0,1.24,1.85,,,,,,,,,0.59,0.41,0.0,0.0,,,,,,,,,14.0,11.0,5.0,5.0,9.0,6.0,,,,,,,,,,,,,7.0,1.0,13.0,12.0,18.0,19.0,10.0,13.0,1.0,1.0,,,1.0,2.0,2.0,4.0,,,,,,,,,,,,,0.53,0.77,,,,,0.52,0.48,4.0,6.0,2.0,2.0,2.0,4.0,,,3.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.71,1.08,,,,,0.66,0.34,10.0,5.0,3.0,3.0,7.0,2.0,,,4.0,1.0,0.0,1.0,,,5.0,8.0,1.0,2.0,1.0,2.0
pKAgqs3n,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,28/05/2023,08:30,Championship Group,Antwerp,Royale Union SG,1,1,[14],[80],bet365,2.5,2.2,4.33,bet365,1.85,3.5,4.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.95,bet365,1.22,1.29,1.91,bet365,11.0,bet365,7.5,bet365,12.0,bet365,7.0,bet365,9.0,bet365,21.0,bet365,8.5,bet365,13.0,bet365,15.0,bet365,15.0,bet365,41.0,bet365,15.0,bet365,34.0,bet365,26.0,bet365,41.0,bet365,7.0,1.1,bet365,6.25,1.12,bet365,3.3,1.32,bet365,2.6,1.48,bet365,1.88,1.98,bet365,1.24,3.9,1xBet,1.06,8.92,1xBet,1.05,10.4,,0.0,0.0,,0.0,0.0,Betano.br,15.5,8.75,1.11,Betano.br,7.0,5.2,1.34,bet365,3.4,3.75,1.91,Betano.br,1.23,5.8,10.5,Betano.br,1.06,10.5,24.0,Betano.br,1.02,15.5,35.0,0.49,0.14,,,,,,,,,0.55,0.45,0.0,0.0,,,,,,,,,6.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,3.0,5.0,15.0,14.0,19.0,21.0,13.0,17.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,,,,,,,,,,,,,0.23,0.02,,,,,0.53,0.47,2.0,1.0,1.0,0.0,1.0,1.0,,,1.0,3.0,1.0,1.0,9.0,8.0,3.0,0.0,0.0,0.0,0.26,0.12,,,,,0.57,0.43,4.0,1.0,2.0,1.0,2.0,0.0,,,2.0,2.0,1.0,2.0,0.0,1.0,4.0,9.0,1.0,0.0,0.0,2.0
SQ4nwRcA,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,27/05/2023,15:45,Conference League Group,St. Liege,Cercle Brugge KSV,0,4,[],"[7, 51, 64, 92]",bet365,3.4,2.4,2.63,bet365,3.0,3.75,2.15,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.67,1.25,1.36,bet365,19.0,bet365,15.0,bet365,12.0,bet365,7.5,bet365,19.0,bet365,13.0,bet365,11.0,bet365,9.0,bet365,11.0,bet365,34.0,bet365,21.0,bet365,21.0,bet365,15.0,bet365,23.0,bet365,19.0,1xBet,13.0,1.01,1xBet,14.5,1.02,bet365,6.0,1.13,bet365,5.25,1.16,bet365,3.0,1.38,bet365,1.73,2.08,bet365,1.38,3.0,bet365,1.27,3.55,bet365,1.11,6.6,1xBet,1.09,7.6,Betano.br,25.0,13.0,1.04,Betano.br,13.5,8.25,1.13,Betano.br,6.2,5.0,1.39,bet365,1.67,4.33,3.75,Betano.br,1.27,6.0,7.9,Betano.br,1.09,9.75,16.5,0.73,2.96,,,,,,,,,0.66,0.34,0.0,0.0,,,,,,,,,8.0,15.0,3.0,10.0,5.0,5.0,,,,,,,,,,,,,6.0,7.0,18.0,9.0,33.0,25.0,8.0,16.0,2.0,1.0,,,0.0,2.0,6.0,3.0,,,,,,,,,,,,,0.61,1.3,,,,,0.7,0.3,5.0,10.0,2.0,6.0,3.0,4.0,,,5.0,4.0,1.0,0.0,5.0,6.0,0.0,1.0,5.0,2.0,0.12,1.66,,,,,0.62,0.38,3.0,5.0,1.0,4.0,2.0,1.0,,,1.0,3.0,1.0,1.0,,,3.0,10.0,0.0,1.0,1.0,1.0
AkAsv7r4,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,27/05/2023,13:15,Conference League Group,Westerlo,Gent,1,3,[23],"[27, 75, 81]",bet365,3.6,2.6,2.38,bet365,3.5,4.0,1.85,bet365,1.22,4.0,bet365,2.05,1.75,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.1,7.0,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.4,2.75,bet365,1.91,1.22,1.29,bet365,23.0,bet365,19.0,bet365,13.0,bet365,9.0,bet365,23.0,bet365,13.0,bet365,13.0,bet365,9.0,bet365,11.0,bet365,41.0,bet365,19.0,bet365,23.0,bet365,13.0,bet365,23.0,bet365,17.0,1xBet,12.5,1.01,1xBet,11.5,1.02,bet365,6.8,1.1,bet365,5.9,1.13,bet365,3.45,1.3,bet365,1.95,1.9,bet365,1.52,2.42,bet365,1.35,3.1,bet365,1.16,5.25,bet365,1.13,5.9,Betano.br,26.0,13.5,1.03,Betano.br,14.5,9.0,1.11,Betano.br,6.9,5.5,1.33,bet365,1.91,4.33,3.1,Betano.br,1.35,5.6,6.2,Betano.br,1.13,8.75,12.5,0.87,0.75,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,7.0,10.0,6.0,6.0,1.0,4.0,,,,,,,,,,,,,4.0,3.0,7.0,15.0,13.0,18.0,15.0,6.0,0.0,1.0,,,0.0,1.0,3.0,5.0,,,,,,,,,,,,,0.75,0.23,,,,,0.43,0.57,5.0,4.0,4.0,2.0,1.0,2.0,,,2.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,1.0,3.0,0.12,0.52,,,,,0.47,0.53,2.0,6.0,2.0,4.0,0.0,2.0,,,2.0,3.0,,,,,7.0,1.0,0.0,1.0,2.0,2.0
6TBkpNmt,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,21/05/2023,13:30,Championship Group,Genk,Royale Union SG,1,1,[13],[39],bet365,3.1,2.3,3.1,bet365,2.55,3.4,2.63,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.53,2.38,bet365,1.44,1.3,1.5,bet365,15.0,bet365,12.0,bet365,12.0,bet365,7.0,bet365,15.0,bet365,15.0,bet365,10.0,bet365,10.0,bet365,11.0,bet365,26.0,bet365,26.0,bet365,19.0,bet365,19.0,bet365,23.0,bet365,23.0,1xBet,12.0,1.03,1xBet,10.8,1.04,bet365,4.8,1.18,bet365,4.0,1.23,bet365,2.5,1.5,bet365,1.48,2.6,bet365,1.23,4.1,bet365,1.17,5.0,1xBet,1.05,9.85,1xBet,1.04,11.1,Betano.br,22.0,11.75,1.05,Betano.br,11.25,7.1,1.18,bet365,4.75,4.75,1.5,bet365,1.5,4.5,4.75,Betano.br,1.19,6.9,10.75,Betano.br,1.06,11.5,21.0,1.06,1.41,,,,,,,,,0.49,0.51,0.0,0.0,,,,,,,,,5.0,5.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,2.0,4.0,13.0,9.0,33.0,26.0,8.0,14.0,0.0,2.0,,,2.0,0.0,3.0,1.0,,,,,,,,,,,,,0.59,1.0,,,,,0.46,0.54,2.0,5.0,2.0,4.0,0.0,1.0,,,1.0,4.0,0.0,1.0,5.0,4.0,1.0,0.0,3.0,1.0,0.47,0.41,,,,,0.52,0.48,3.0,0.0,0.0,0.0,3.0,0.0,,,1.0,0.0,0.0,1.0,,,3.0,10.0,1.0,0.0,0.0,0.0
U7zpPwIU,BELGIUM,2022-2023,Jupiler Pro League 2022 2023,BELGIUM Jupiler Pro League 2022 2023,21/05/2023,08:30,Championship Group,Club Brugge KV,Antwerp,2,0,"[51, 62]",[],bet365,3.25,2.25,3.0,bet365,2.88,3.3,2.45,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.63,1.44,bet365,5.5,1.14,bet365,1.57,2.25,bet365,1.53,1.33,1.4,bet365,13.0,bet365,11.0,bet365,10.0,bet365,6.5,bet365,15.0,bet365,13.0,bet365,11.0,bet365,9.5,bet365,11.0,bet365,29.0,bet365,23.0,bet365,21.0,bet365,19.0,bet365,26.0,bet365,23.0,,0.0,0.0,1xBet,12.6,1.03,bet365,5.75,1.14,bet365,4.8,1.18,bet365,2.85,1.4,bet365,1.57,2.35,bet365,1.26,3.7,bet365,1.19,4.5,1xBet,1.06,9.21,1xBet,1.05,10.5,Betano.br,27.0,13.0,1.04,Betano.br,14.0,7.8,1.14,Betano.br,6.2,4.6,1.42,bet365,1.53,4.33,4.75,Betano.br,1.21,6.6,10.0,Betano.br,1.06,11.0,20.0,0.52,0.57,,,,,,,,,0.48,0.52,0.0,0.0,,,,,,,,,6.0,8.0,4.0,0.0,2.0,8.0,,,,,,,,,,,,,3.0,5.0,10.0,8.0,17.0,18.0,8.0,5.0,3.0,3.0,,,0.0,6.0,0.0,2.0,,,,,,,,,,,,,0.35,0.25,,,,,0.5,0.5,3.0,4.0,2.0,0.0,1.0,4.0,,,3.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0,0.17,0.32,,,,,0.46,0.54,3.0,4.0,2.0,0.0,1.0,4.0,,,0.0,4.0,2.0,2.0,,,4.0,3.0,0.0,4.0,0.0,0.0
