Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
thPCUuEb,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,29/05/2025,13:30,Conference League,Antwerp,Charleroi,1,2,[86],"[61, 95]",bet365,2.88,2.25,3.5,bet365,2.25,3.6,2.9,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.4,1.29,1.62,1.88,2.4,0.56,0.44,15.0,16.0,5.0,3.0,2.0,7.0,14.0,11.0,1.0,2.0,2.0,1.0,1.0,4.0,0.55,0.45,8.0,7.0,2.0,1.0,1.0,4.0,0.57,0.43,7.0,9.0,3.0,2.0,1.0,3.0
EVACnTRb,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,25/05/2025,13:30,Championship Group,Club Brugge KV,Antwerp,1,1,[43],[35],bet365,1.44,3.25,11.0,bet365,1.17,9.0,11.0,bet365,1.17,5.0,bet365,1.85,1.95,bet365,3.75,1.25,bet365,1.01,29.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.73,2.0,bet365,2.63,1.44,bet365,1.91,1.91,bet365,1.05,1.07,5.0,1.05,2.31,0.65,0.35,18.0,14.0,5.0,7.0,8.0,2.0,11.0,16.0,1.0,1.0,0.0,3.0,6.0,4.0,0.67,0.33,5.0,5.0,2.0,4.0,2.0,0.0,0.63,0.37,13.0,9.0,3.0,3.0,6.0,2.0
I3H3lkcn,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,25/05/2025,13:30,Championship Group,Genk,Anderlecht,2,1,"[21, 51]",[19],bet365,2.5,2.4,3.75,bet365,1.95,3.6,3.6,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.53,2.38,bet365,1.29,1.29,1.8,1.47,1.15,0.55,0.45,14.0,17.0,7.0,3.0,3.0,4.0,13.0,15.0,0.0,2.0,2.0,0.0,2.0,5.0,0.65,0.35,10.0,6.0,4.0,2.0,2.0,1.0,0.45,0.55,4.0,11.0,3.0,1.0,1.0,3.0
Sz6hsYkJ,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,25/05/2025,13:30,Championship Group,Royale Union SG,Gent,3,1,"[11, 68, 75]",[45],bet365,1.36,3.5,17.0,bet365,1.09,10.0,19.0,bet365,1.18,4.5,bet365,1.9,1.9,bet365,3.75,1.25,bet365,1.01,26.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,2.75,1.4,bet365,2.38,1.53,bet365,1.02,1.06,8.0,1.52,0.5,0.46,0.54,16.0,4.0,6.0,1.0,7.0,4.0,16.0,10.0,2.0,0.0,1.0,0.0,0.0,3.0,0.39,0.61,5.0,3.0,2.0,1.0,5.0,4.0,0.53,0.47,11.0,1.0,4.0,0.0,2.0,0.0
AHSXTxYh,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,24/05/2025,15:00,Conference League Group,Charleroi,Leuven,2,1,"[29, 88]",[43],bet365,2.05,2.5,5.0,bet365,1.55,4.2,5.25,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.62,2.2,bet365,1.17,1.22,2.38,2.04,1.71,0.5,0.5,16.0,14.0,3.0,5.0,4.0,6.0,13.0,10.0,1.0,1.0,2.0,1.0,4.0,1.0,0.51,0.49,8.0,12.0,2.0,5.0,1.0,4.0,0.49,0.51,8.0,2.0,1.0,0.0,3.0,2.0
vcKlQfXH,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,24/05/2025,15:00,Conference League Group,Dender,KV Mechelen,2,2,"[22, 43]","[2, 31]",bet365,3.2,2.63,2.6,bet365,2.9,3.9,2.15,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.02,21.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.83,1.83,bet365,3.25,1.33,bet365,1.36,3.0,bet365,1.67,1.25,1.4,2.03,0.79,0.67,0.33,17.0,5.0,6.0,3.0,7.0,0.0,9.0,7.0,3.0,0.0,0.0,2.0,1.0,4.0,0.66,0.34,6.0,4.0,4.0,3.0,3.0,0.0,0.68,0.32,11.0,1.0,2.0,0.0,4.0,0.0
IsWuSG25,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,24/05/2025,15:00,Conference League Group,Westerlo,St. Liege,0,0,[],[],bet365,2.25,2.5,4.33,bet365,1.75,4.0,4.0,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.53,2.38,bet365,1.22,1.22,2.0,0.98,0.36,0.65,0.35,16.0,8.0,4.0,1.0,8.0,6.0,7.0,12.0,2.0,2.0,1.0,3.0,1.0,4.0,0.7,0.3,8.0,4.0,2.0,1.0,8.0,1.0,0.6,0.4,8.0,4.0,2.0,0.0,0.0,5.0
SCHczQx9,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,23/05/2025,15:45,Relegation,Cercle Brugge KSV,Patro Eisden,3,1,"[5, 24, 78]",[67],bet365,1.91,2.6,6.0,bet365,1.42,4.33,5.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.73,2.0,bet365,1.13,1.18,2.63,2.15,1.19,0.54,0.46,16.0,5.0,4.0,2.0,3.0,3.0,13.0,14.0,1.0,3.0,3.0,1.0,1.0,1.0,0.48,0.52,8.0,3.0,2.0,1.0,0.0,2.0,0.6,0.4,8.0,2.0,2.0,1.0,3.0,1.0
06PBCMp2,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,18/05/2025,14:15,Relegation,Patro Eisden,Cercle Brugge KSV,1,5,[93],"[8, 25, 51, 58, 84]",bet365,3.6,2.2,3.0,bet365,2.8,3.3,2.2,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.57,1.3,1.36,0.9,3.39,0.48,0.52,13.0,20.0,4.0,7.0,4.0,4.0,12.0,16.0,3.0,0.0,3.0,4.0,2.0,3.0,0.45,0.55,3.0,13.0,2.0,4.0,0.0,4.0,0.51,0.49,10.0,7.0,2.0,3.0,4.0,0.0
nRcpqfL6,BELGIUM,2024-2025,Jupiler Pro League 2024 2025,18/05/2025,13:30,Championship Group,Gent,Genk,1,4,[9],"[32, 45, 70, 88]",bet365,3.6,2.6,2.4,bet365,3.3,4.1,1.95,bet365,1.22,4.0,bet365,2.05,1.75,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.4,2.75,bet365,1.8,1.22,1.33,1.12,1.09,0.45,0.55,11.0,14.0,3.0,5.0,7.0,2.0,5.0,10.0,1.0,0.0,2.0,3.0,1.0,2.0,0.43,0.57,5.0,8.0,2.0,2.0,4.0,2.0,0.47,0.53,6.0,6.0,1.0,3.0,3.0,0.0
