Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
Cn0MfDbC,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,08/12/2025,14:00,Round 18,Sloga Doboj,Prijedor,1,1,[95],[75],Betfair,2.4,2.0,5.0,Betfair,1.73,3.1,4.5,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,9.5,1.04,Betfair,1.05,8.0,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.8,1.14,Betnacional,7.0,1.05,Betfair,2.15,1.6,Betfair,1.14,1.29,1.91,,,0.47,0.53,12.0,7.0,2.0,4.0,4.0,1.0,,,3.0,6.0,,,,,0.48,0.52,6.0,3.0,1.0,1.0,0.0,0.0,0.46,0.54,6.0,4.0,1.0,3.0,4.0,1.0
8f35beam,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,08/12/2025,12:00,Round 18,Siroki Brijeg,Radnik Bijeljina,1,3,[87],"[4, 49, 93]",Betfair,2.63,2.0,4.33,Betfair,1.85,3.0,4.0,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betnacional,6.5,1.05,Betfair,2.0,1.7,Betfair,1.17,1.3,1.8,,,0.68,0.32,11.0,5.0,5.0,3.0,11.0,2.0,,,2.0,2.0,,,,,0.64,0.36,3.0,4.0,1.0,2.0,4.0,1.0,0.73,0.27,8.0,1.0,4.0,1.0,7.0,1.0
4MdEdZTa,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,07/12/2025,13:30,Round 18,Borac Banja Luka,Posusje,3,1,"[5, 33, 59]",[15],Betfair,1.3,3.3,20.0,Betfair,1.04,9.5,36.0,Betfair,1.22,3.75,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betano.br,3.4,1.23,Betfair,4.33,1.17,Betano.br,1.02,1.07,3.75,,,0.66,0.34,12.0,9.0,4.0,4.0,5.0,3.0,,,2.0,3.0,,,,,0.68,0.32,6.0,6.0,3.0,3.0,4.0,1.0,0.64,0.36,6.0,3.0,1.0,1.0,1.0,2.0
Y1lVhiTO,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,07/12/2025,11:15,Round 18,Zrinjski,Velez Mostar,1,1,[11],[85],Betfair,2.2,2.0,5.5,Betfair,1.53,3.4,5.5,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,LuvaBet,7.68,1.02,Betfair,2.15,1.6,Betfair,1.1,1.25,2.25,,,0.45,0.55,9.0,8.0,3.0,2.0,3.0,6.0,,,3.0,6.0,,,,,0.52,0.48,4.0,2.0,3.0,0.0,2.0,2.0,0.39,0.61,5.0,6.0,0.0,2.0,1.0,4.0
COHZ3HyQ,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,07/12/2025,09:00,Round 18,FK Sarajevo,Zeljeznicar,4,0,"[14, 42, 55, 87]",[],Betfair,2.1,2.1,6.0,Betfair,1.44,3.6,6.0,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Esportes da Sorte,6.73,1.06,Betfair,2.2,1.57,Betfair,1.07,1.22,2.4,,,0.54,0.46,9.0,8.0,7.0,4.0,3.0,8.0,,,6.0,2.0,,,,,0.58,0.42,7.0,3.0,6.0,2.0,2.0,3.0,0.49,0.51,2.0,5.0,1.0,2.0,1.0,5.0
U3rWqdpf,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,04/12/2025,12:00,Round 17,Posusje,Sloga Doboj,2,2,"[11, 45]","[4, 57]",Betfair,2.7,1.91,4.33,Betfair,1.95,2.9,3.7,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.05,1.67,Betfair,1.2,1.3,1.67,,,0.54,0.46,4.0,3.0,2.0,2.0,4.0,3.0,,,3.0,1.0,,,,,0.62,0.38,4.0,1.0,2.0,1.0,3.0,0.0,0.45,0.55,0.0,2.0,0.0,1.0,1.0,3.0
bqzmtEqJ,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,04/12/2025,10:00,Round 17,Zeljeznicar,Siroki Brijeg,3,3,"[7, 42, 83]","[1, 10, 17]",Betnacional,1.86,2.31,6.7,Betnacional,1.34,4.28,7.25,Betnacional,1.31,2.78,Betnacional,2.48,1.4,Casadeapostas,5.6,1.08,Esportes da Sorte,1.04,7.58,Casadeapostas,1.28,3.15,Betnacional,1.79,1.78,Casadeapostas,3.1,1.29,Esportes da Sorte,5.6,1.1,Betfair,2.15,1.6,Betnacional,1.09,1.17,2.23,,,0.59,0.41,18.0,3.0,7.0,3.0,10.0,2.0,,,4.0,5.0,,,,,0.56,0.44,7.0,3.0,4.0,3.0,4.0,1.0,0.63,0.37,11.0,0.0,3.0,0.0,6.0,1.0
jJWvrzF6,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,03/12/2025,12:00,Round 17,Radnik Bijeljina,Borac Banja Luka,0,1,[],[8],Betfair,8.5,2.3,1.8,Betfair,8.5,4.2,1.3,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,2.38,1.5,Betano.br,3.5,1.15,1.06,,,0.4,0.6,2.0,12.0,1.0,2.0,2.0,5.0,,,4.0,0.0,,,,,0.36,0.64,1.0,7.0,0.0,1.0,1.0,4.0,0.44,0.56,1.0,5.0,1.0,1.0,1.0,1.0
MwuOoIFs,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,03/12/2025,09:00,Round 17,Prijedor,Zrinjski,0,2,[],"[70, 85]",Betfair,6.0,2.2,2.0,Betfair,5.5,3.7,1.47,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.0,1.07,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,2.0,1.7,Betano.br,2.37,1.23,1.13,,,0.51,0.49,5.0,12.0,1.0,4.0,3.0,7.0,,,1.0,2.0,,,,,0.44,0.56,3.0,3.0,0.0,1.0,1.0,2.0,0.58,0.42,2.0,9.0,1.0,3.0,2.0,5.0
h8MaivhK,BOSNIA-AND-HERZEGOVINA,2025-2026,Wwin Liga Bih 2025 2026,02/12/2025,14:30,Round 17,Velez Mostar,FK Sarajevo,0,0,[],[],Betfair,3.4,1.91,3.3,Betfair,2.6,2.8,2.6,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.8,1.14,Betfair,9.0,1.03,Betfair,1.95,1.73,Betano.br,1.38,1.33,1.47,,,0.43,0.57,4.0,10.0,2.0,3.0,2.0,5.0,,,1.0,1.0,,,,,0.47,0.53,1.0,4.0,1.0,1.0,2.0,2.0,0.39,0.61,3.0,6.0,1.0,2.0,0.0,3.0
