Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
lQQTzpqQ,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Atletico-MG,Vasco,5,0,"[19, 32, 49, 69, 75]",[],bet365,2.0,2.38,6.0,bet365,1.46,4.2,6.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.91,1.91,bet365,1.11,1.22,2.5,1.95,0.01,0.59,0.41,19.0,1.0,6.0,0.0,6.0,1.0,13.0,4.0,,,3.0,0.0,0.0,2.0,0.46,0.54,10.0,1.0,3.0,0.0,2.0,1.0,0.72,0.28,9.0,0.0,3.0,0.0,4.0,0.0
YyRPIpNs,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Botafogo RJ,Fortaleza,4,2,"[48, 50, 84, 95]","[17, 56]",bet365,2.3,2.38,4.5,bet365,1.71,3.9,4.2,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.5,bet365,1.67,2.15,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.67,2.1,bet365,1.22,1.25,2.0,1.72,1.03,0.72,0.28,15.0,8.0,6.0,4.0,2.0,2.0,11.0,10.0,1.0,4.0,0.0,3.0,2.0,2.0,0.76,0.24,7.0,2.0,2.0,2.0,1.0,1.0,0.66,0.34,8.0,6.0,4.0,2.0,1.0,1.0
ll9GRu6C,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Ceara,Palmeiras,1,3,[12],"[17, 60, 65]",bet365,2.63,2.1,4.33,bet365,1.96,3.4,3.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.25,1.3,1.8,1.89,2.12,0.43,0.57,18.0,14.0,5.0,7.0,7.0,7.0,14.0,15.0,4.0,2.0,3.0,1.0,4.0,4.0,0.4,0.6,7.0,5.0,3.0,2.0,4.0,1.0,0.47,0.53,11.0,9.0,2.0,5.0,3.0,6.0
t2UXGOif,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Corinthians,Juventude,1,1,[23],[87],bet365,2.4,2.1,5.0,bet365,1.76,3.4,5.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.1,1.7,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.17,1.3,1.95,2.61,1.55,0.57,0.43,14.0,16.0,4.0,4.0,4.0,7.0,18.0,17.0,0.0,1.0,2.0,3.0,3.0,2.0,0.62,0.38,4.0,4.0,2.0,1.0,1.0,3.0,0.51,0.49,10.0,12.0,2.0,3.0,3.0,4.0
l4kgO6aK,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Fluminense,Bahia,2,0,"[75, 83]",[],bet365,2.38,2.2,4.75,bet365,1.76,3.5,4.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.75,bet365,1.98,1.88,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.8,1.95,bet365,1.18,1.29,1.95,1.12,0.6,0.53,0.47,12.0,14.0,5.0,5.0,5.0,4.0,12.0,22.0,2.0,3.0,0.0,2.0,5.0,3.0,0.53,0.47,6.0,7.0,2.0,2.0,3.0,2.0,0.52,0.48,6.0,7.0,3.0,3.0,2.0,2.0
K8HaVN6m,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Internacional,Bragantino,3,1,"[50, 78, 81]",[87],bet365,2.1,2.38,5.5,bet365,1.57,3.8,5.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.8,1.95,bet365,1.14,1.25,2.25,2.18,0.19,0.43,0.57,15.0,6.0,4.0,3.0,2.0,4.0,18.0,15.0,2.0,4.0,3.0,4.0,2.0,1.0,0.56,0.44,7.0,2.0,1.0,1.0,1.0,1.0,0.25,0.75,8.0,4.0,3.0,2.0,1.0,3.0
xUNtF2M6,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Santos,Cruzeiro,3,0,"[26, 28, 60]",[],bet365,1.83,2.4,8.0,bet365,1.33,4.75,9.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.88,1.98,bet365,3.2,1.36,bet365,6.0,1.13,bet365,2.2,1.62,bet365,1.07,1.18,3.0,1.92,0.32,0.54,0.46,19.0,8.0,7.0,4.0,9.0,3.0,8.0,12.0,2.0,2.0,1.0,5.0,4.0,4.0,0.6,0.4,11.0,4.0,4.0,2.0,6.0,2.0,0.47,0.53,8.0,4.0,3.0,2.0,3.0,1.0
rm2PPJzP,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Sport Recife,Gremio,0,4,[],"[29, 31, 42, 48]",bet365,4.0,2.3,2.5,bet365,3.8,3.6,1.91,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.7,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.8,1.29,1.25,0.63,1.6,0.43,0.57,11.0,13.0,3.0,8.0,1.0,5.0,6.0,15.0,1.0,4.0,1.0,2.0,4.0,3.0,0.55,0.45,9.0,9.0,2.0,5.0,1.0,4.0,0.35,0.65,2.0,4.0,1.0,3.0,0.0,1.0
tO58T1y0,BRAZIL,2025,Serie A Betano 2025,07/12/2025,16:00,Round 38,Vitoria,Sao Paulo,1,0,[68],[],bet365,3.2,2.1,3.5,bet365,2.5,3.2,2.82,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.4,bet365,2.05,1.75,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.4,1.36,1.5,2.27,0.55,0.38,0.62,21.0,8.0,8.0,2.0,10.0,1.0,16.0,18.0,5.0,1.0,1.0,2.0,2.0,7.0,0.48,0.52,13.0,3.0,6.0,1.0,8.0,0.0,0.27,0.73,8.0,5.0,2.0,1.0,2.0,1.0
AsMlDtiJ,BRAZIL,2025,Serie A Betano 2025,06/12/2025,18:30,Round 38,Mirassol,Flamengo RJ,3,3,"[13, 41, 65]","[8, 31, 59]",bet365,1.8,2.6,8.0,bet365,1.3,5.0,8.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.65,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.95,1.8,bet365,1.08,1.17,3.25,2.67,2.39,0.63,0.37,17.0,15.0,8.0,6.0,2.0,3.0,11.0,10.0,1.0,1.0,4.0,1.0,3.0,5.0,0.67,0.33,6.0,8.0,4.0,3.0,2.0,1.0,0.59,0.41,11.0,7.0,4.0,3.0,0.0,2.0
