Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
4lqMBQZa,BULGARIA,2025-2026,Efbet League 2025 2026,09/12/2025,12:30,Round 19,Botev Vratsa,Montana,0,0,[],[],bet365,2.6,2.0,5.0,bet365,1.86,3.05,4.5,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.18,1.36,1.91,,,0.56,0.44,12.0,8.0,3.0,3.0,8.0,5.0,11.0,8.0,2.0,3.0,2.0,0.0,,,0.55,0.45,5.0,5.0,1.0,1.0,4.0,4.0,0.57,0.43,7.0,3.0,2.0,2.0,4.0,1.0
8ttw8rZO,BULGARIA,2025-2026,Efbet League 2025 2026,08/12/2025,12:30,Round 19,Ludogorets,Slavia Sofia,1,1,[64],[1],bet365,1.83,2.6,7.0,bet365,1.35,4.5,8.0,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.83,1.83,bet365,1.08,1.18,3.0,,,0.75,0.25,24.0,6.0,7.0,2.0,10.0,3.0,2.0,4.0,2.0,4.0,0.0,1.0,,,0.7,0.3,9.0,4.0,1.0,2.0,5.0,2.0,0.8,0.2,15.0,2.0,6.0,0.0,5.0,1.0
WzoEDn5m,BULGARIA,2025-2026,Efbet League 2025 2026,08/12/2025,10:00,Round 19,CSKA 1948 Sofia,Dobrudzha,0,0,[],[],bet365,1.62,2.75,10.0,bet365,1.19,5.75,12.0,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,2.25,1.57,bet365,1.05,1.14,4.0,,,0.52,0.48,7.0,3.0,1.0,1.0,4.0,3.0,10.0,10.0,2.0,3.0,2.0,1.0,,,0.47,0.53,4.0,2.0,1.0,1.0,3.0,1.0,0.57,0.43,3.0,1.0,0.0,0.0,1.0,2.0
Cf6mSoKt,BULGARIA,2025-2026,Efbet League 2025 2026,07/12/2025,12:00,Round 19,Spartak Varna,Levski Sofia,1,3,[86],"[21, 45, 51]",bet365,11.0,2.75,1.57,bet365,15.0,6.0,1.17,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.0,1.17,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,2.25,1.57,bet365,4.33,1.13,1.03,,,0.31,0.69,4.0,10.0,1.0,4.0,2.0,10.0,12.0,16.0,1.0,3.0,0.0,0.0,,,0.24,0.76,1.0,6.0,0.0,3.0,1.0,4.0,0.38,0.62,3.0,4.0,1.0,1.0,1.0,6.0
0GxV944C,BULGARIA,2025-2026,Efbet League 2025 2026,07/12/2025,09:30,Round 19,Beroe,Septemvri Sofia,0,0,[],[],bet365,2.88,2.1,3.75,bet365,2.15,3.2,3.4,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.3,1.36,1.67,,,0.5,0.5,12.0,10.0,3.0,5.0,7.0,4.0,11.0,14.0,1.0,4.0,0.0,2.0,,,0.5,0.5,3.0,8.0,0.0,5.0,4.0,2.0,0.5,0.5,9.0,2.0,3.0,0.0,3.0,2.0
hhEtWfLE,BULGARIA,2025-2026,Efbet League 2025 2026,06/12/2025,12:30,Round 19,Cherno More,CSKA Sofia,2,0,"[40, 65]",[],bet365,5.0,2.05,2.6,bet365,4.5,3.25,1.86,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.91,1.33,1.18,,,0.44,0.56,9.0,16.0,3.0,5.0,6.0,8.0,17.0,12.0,2.0,3.0,3.0,0.0,,,0.45,0.55,5.0,10.0,1.0,3.0,1.0,1.0,0.43,0.57,4.0,6.0,2.0,2.0,5.0,7.0
4WXoADbe,BULGARIA,2025-2026,Efbet League 2025 2026,06/12/2025,10:00,Round 19,Lok. Plovdiv,Arda,0,2,[],"[9, 50]",bet365,3.6,1.91,3.6,bet365,2.7,2.85,2.7,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.4,1.4,1.4,,,0.61,0.39,8.0,2.0,2.0,2.0,6.0,2.0,9.0,14.0,2.0,3.0,0.0,0.0,,,0.54,0.46,3.0,2.0,2.0,2.0,3.0,1.0,0.68,0.32,5.0,0.0,0.0,0.0,3.0,1.0
QoMf8iT7,BULGARIA,2025-2026,Efbet League 2025 2026,06/12/2025,07:30,Round 19,Lok. Sofia,Botev Plovdiv,3,2,"[16, 18, 90]","[30, 87]",bet365,3.2,2.0,3.75,bet365,2.35,3.05,2.95,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,10.0,1.06,bet365,1.91,1.8,bet365,1.36,1.36,1.53,,,0.53,0.47,6.0,16.0,4.0,8.0,6.0,10.0,7.0,11.0,3.0,1.0,0.0,3.0,,,0.58,0.42,3.0,2.0,2.0,1.0,2.0,5.0,0.48,0.52,3.0,14.0,2.0,7.0,4.0,5.0
xfFh9ICU,BULGARIA,2025-2026,Efbet League 2025 2026,04/12/2025,13:00,Round 18,Slavia Sofia,Levski Sofia,2,0,"[21, 27]",[],bet365,6.5,2.3,2.05,bet365,6.5,4.0,1.46,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.91,1.8,bet365,2.5,1.22,1.11,,,0.29,0.71,6.0,14.0,4.0,8.0,0.0,7.0,16.0,8.0,1.0,2.0,1.0,0.0,,,0.29,0.71,3.0,6.0,2.0,3.0,0.0,6.0,0.29,0.71,3.0,8.0,2.0,5.0,0.0,1.0
UTBpBvrI,BULGARIA,2025-2026,Efbet League 2025 2026,04/12/2025,10:30,Round 18,Botev Vratsa,Spartak Varna,2,0,"[76, 101]",[],bet365,2.6,1.95,5.5,bet365,1.81,3.2,4.75,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.25,1.57,bet365,1.18,1.36,1.91,,,0.52,0.48,18.0,2.0,8.0,1.0,6.0,0.0,9.0,10.0,1.0,2.0,0.0,0.0,,,0.59,0.41,11.0,0.0,3.0,0.0,4.0,0.0,0.46,0.54,7.0,2.0,5.0,1.0,2.0,0.0
