Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
Kn4xu1O5,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Beijing Guoan,Henan Songshan Longmen,1,1,[41],[46],bet365,2.1,2.5,4.75,bet365,1.6,4.2,5.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,1.17,1.22,2.3,,,0.59,0.41,18.0,20.0,8.0,4.0,10.0,4.0,13.0,18.0,2.0,4.0,1.0,4.0,3.0,7.0,0.54,0.46,9.0,9.0,3.0,3.0,6.0,2.0,0.66,0.34,9.0,11.0,5.0,1.0,4.0,2.0
GEcowugI,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Changchun Yatai,Zhejiang Professional,2,2,"[3, 55]","[85, 88]",bet365,2.75,2.63,3.0,bet365,2.25,4.0,2.7,bet365,1.2,4.33,bet365,1.98,1.83,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.08,8.0,bet365,1.33,3.4,bet365,1.8,1.91,bet365,2.75,1.4,bet365,1.33,3.25,bet365,1.44,1.22,1.62,,,0.3,0.7,12.0,22.0,6.0,8.0,2.0,10.0,12.0,14.0,0.0,1.0,3.0,1.0,6.0,4.0,0.32,0.68,5.0,9.0,2.0,3.0,1.0,3.0,0.28,0.72,7.0,13.0,4.0,5.0,1.0,7.0
QP4Yus9a,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Chengdu Rongcheng,Shanghai Shenhua,1,2,[42],"[51, 81]",bet365,3.25,2.25,3.0,bet365,2.8,3.4,2.45,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.57,2.25,bet365,1.53,1.3,1.4,,,0.46,0.54,7.0,13.0,3.0,5.0,9.0,7.0,16.0,14.0,5.0,4.0,3.0,1.0,3.0,2.0,0.51,0.49,5.0,3.0,3.0,1.0,5.0,1.0,0.41,0.59,2.0,10.0,0.0,4.0,4.0,6.0
hvLELCNp,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Qingdao Hainiu,Cangzhou,1,0,[37],[],bet365,2.1,2.25,6.0,bet365,1.55,3.9,6.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.05,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,2.0,1.75,bet365,1.13,1.25,2.38,,,0.43,0.57,13.0,2.0,3.0,1.0,5.0,2.0,9.0,7.0,,,0.0,0.0,1.0,2.0,0.52,0.48,13.0,1.0,3.0,1.0,5.0,1.0,0.34,0.66,0.0,1.0,0.0,0.0,0.0,1.0
SvnVtNgg,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Shandong Taishan,Meizhou Hakka,2,1,"[16, 60]",[43],bet365,2.6,2.5,3.5,bet365,2.05,3.7,3.3,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.33,1.29,1.73,,,0.54,0.46,20.0,13.0,7.0,4.0,4.0,2.0,24.0,11.0,2.0,4.0,3.0,1.0,3.0,5.0,0.55,0.45,9.0,7.0,5.0,1.0,3.0,0.0,0.53,0.47,11.0,6.0,2.0,3.0,1.0,2.0
pGdQs3vm,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Shanghai Port,Tianjin Jinmen Tiger,5,0,"[4, 34, 55, 56, 81]",[],bet365,1.44,3.5,10.0,bet365,1.14,9.0,13.0,bet365,1.14,5.5,bet365,1.67,2.1,bet365,3.25,1.33,bet365,1.01,34.0,bet365,1.05,11.0,bet365,1.2,4.33,bet365,1.53,2.38,bet365,2.2,1.62,bet365,1.7,2.05,bet365,1.04,1.07,5.5,,,0.54,0.46,27.0,4.0,12.0,2.0,7.0,1.0,13.0,16.0,1.0,0.0,1.0,4.0,2.0,7.0,0.55,0.45,15.0,0.0,7.0,0.0,3.0,0.0,0.53,0.47,12.0,4.0,5.0,2.0,4.0,1.0
6s9dpd0o,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Shenzhen Xinpengcheng,Nantong Zhiyun,2,1,"[32, 49]",[22],bet365,1.83,2.5,7.5,bet365,1.36,4.75,8.0,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,2.0,1.75,bet365,1.08,1.18,3.0,,,0.36,0.64,12.0,14.0,6.0,4.0,4.0,10.0,10.0,11.0,5.0,4.0,1.0,2.0,3.0,4.0,0.47,0.53,9.0,7.0,4.0,2.0,3.0,2.0,0.25,0.75,3.0,7.0,2.0,2.0,1.0,8.0
bw3tvLwC,CHINA,2024,Super League 2024,02/11/2024,04:30,Round 30,Wuhan Three Towns,Qingdao West Coast,1,3,[89],"[32, 44, 51]",bet365,3.5,2.38,2.75,bet365,3.1,3.7,2.1,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.7,1.29,1.36,,,0.57,0.43,21.0,12.0,6.0,3.0,12.0,2.0,7.0,11.0,0.0,1.0,2.0,3.0,0.0,5.0,0.58,0.42,6.0,5.0,3.0,2.0,8.0,1.0,0.56,0.44,15.0,7.0,3.0,1.0,4.0,1.0
zs7jl51J,CHINA,2024,Super League 2024,27/10/2024,04:30,Round 29,Cangzhou,Shanghai Port,0,1,[],[14],bet365,12.0,4.0,1.33,bet365,21.0,10.0,1.08,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.75,1.4,bet365,1.01,34.0,bet365,1.04,13.0,bet365,1.18,4.5,bet365,1.44,2.63,bet365,2.0,1.73,bet365,1.8,1.95,bet365,8.0,1.06,1.02,,,0.35,0.65,4.0,28.0,1.0,9.0,3.0,12.0,6.0,7.0,1.0,0.0,3.0,0.0,8.0,1.0,0.36,0.64,3.0,19.0,1.0,7.0,2.0,8.0,0.34,0.66,1.0,9.0,0.0,2.0,1.0,4.0
I5x6tgrD,CHINA,2024,Super League 2024,27/10/2024,04:30,Round 29,Henan Songshan Longmen,Changchun Yatai,0,0,[],[],bet365,2.75,2.25,3.6,bet365,2.2,3.4,3.1,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.36,1.3,1.67,,,0.49,0.51,14.0,6.0,6.0,2.0,8.0,5.0,16.0,14.0,1.0,3.0,6.0,0.0,2.0,6.0,0.41,0.59,9.0,2.0,6.0,0.0,2.0,1.0,0.57,0.43,5.0,4.0,0.0,2.0,6.0,4.0
