Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
0bczTIuR,COLOMBIA,2024,Primera A 2024,22/12/2024,20:00,Clausura,Atl. Nacional,Deportes Tolima,2,0,"[6, 31]",[],bet365,2.5,2.0,5.5,bet365,1.8,3.2,5.25,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.3,1.6,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.17,1.36,1.95,1.62,1.18,0.3,0.7,15.0,7.0,5.0,2.0,2.0,3.0,14.0,13.0,3.0,2.0,1.0,1.0,2.0,3.0,0.35,0.65,10.0,2.0,5.0,1.0,1.0,1.0,0.25,0.75,5.0,5.0,0.0,1.0,1.0,2.0
SpaSUvBE,COLOMBIA,2024,Primera A 2024,18/12/2024,21:30,Clausura,Deportes Tolima,Atl. Nacional,1,1,[75],[35],bet365,3.1,1.91,4.33,bet365,2.3,2.9,3.4,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.3,1.4,1.57,0.64,0.52,0.65,0.35,13.0,8.0,4.0,3.0,8.0,3.0,6.0,12.0,4.0,6.0,4.0,2.0,2.0,3.0,0.55,0.45,4.0,6.0,0.0,3.0,0.0,2.0,0.75,0.25,9.0,2.0,4.0,0.0,8.0,1.0
zeS8MwPk,COLOMBIA,2024,Primera A 2024,08/12/2024,21:00,Clausura,Dep. Pasto,Millonarios,0,0,[],[],bet365,5.5,2.0,2.5,bet365,5.5,3.2,1.75,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.2,1.62,bet365,2.0,1.36,1.14,0.36,1.22,0.45,0.55,5.0,16.0,2.0,2.0,3.0,4.0,8.0,8.0,3.0,1.0,0.0,2.0,2.0,2.0,0.49,0.51,4.0,7.0,2.0,0.0,2.0,0.0,0.41,0.59,1.0,9.0,0.0,2.0,1.0,4.0
WMLHKHg2,COLOMBIA,2024,Primera A 2024,08/12/2024,21:00,Clausura,Santa Fe,Atl. Nacional,0,3,[],"[16, 31, 50]",bet365,3.75,2.0,3.2,bet365,3.3,2.9,2.4,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.3,1.6,bet365,4.33,1.2,bet365,10.0,1.06,bet365,1.91,1.8,bet365,1.53,1.4,1.33,0.72,0.44,0.47,0.53,9.0,8.0,1.0,3.0,8.0,2.0,11.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,0.52,0.48,7.0,5.0,0.0,2.0,6.0,2.0,0.42,0.58,2.0,3.0,1.0,1.0,2.0,0.0
QLtwSa1S,COLOMBIA,2024,Primera A 2024,08/12/2024,18:30,Clausura,America De Cali,Junior,1,0,[11],[],bet365,3.4,1.95,3.6,bet365,2.45,3.4,2.8,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.05,8.0,bet365,1.41,2.62,bet365,2.35,1.57,bet365,4.5,1.15,bet365,10.0,1.04,bet365,2.0,1.73,bet365,1.4,1.3,1.53,0.94,0.59,0.44,0.56,17.0,10.0,5.0,2.0,9.0,5.0,11.0,12.0,6.0,5.0,2.0,2.0,2.0,4.0,0.47,0.53,12.0,4.0,3.0,0.0,5.0,2.0,0.41,0.59,5.0,6.0,2.0,2.0,4.0,3.0
46hUTLWF,COLOMBIA,2024,Primera A 2024,08/12/2024,18:30,Clausura,Deportes Tolima,Once Caldas,1,0,[32],[],bet365,2.25,2.2,6.0,bet365,1.62,3.9,5.25,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.04,10.0,bet365,1.3,3.25,bet365,2.1,1.7,bet365,3.75,1.22,bet365,8.0,1.05,bet365,2.0,1.73,bet365,1.17,1.25,2.25,1.22,1.02,0.56,0.44,14.0,14.0,4.0,3.0,4.0,6.0,7.0,10.0,5.0,3.0,2.0,1.0,3.0,3.0,0.65,0.35,9.0,2.0,3.0,0.0,3.0,0.0,0.47,0.53,5.0,12.0,1.0,3.0,1.0,6.0
82PdsMGl,COLOMBIA,2024,Primera A 2024,05/12/2024,22:30,Clausura,Millonarios,Santa Fe,1,1,[17],[49],bet365,3.0,1.83,5.0,bet365,2.15,2.8,4.2,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.14,5.5,bet365,1.62,2.2,bet365,3.1,1.36,bet365,6.5,1.11,bet365,15.0,1.03,bet365,2.38,1.53,bet365,1.22,1.4,1.67,2.04,0.81,0.54,0.46,11.0,14.0,5.0,4.0,6.0,4.0,13.0,14.0,4.0,7.0,1.0,3.0,3.0,4.0,0.49,0.51,8.0,8.0,4.0,1.0,4.0,2.0,0.59,0.41,3.0,6.0,1.0,3.0,2.0,2.0
CfMDwvGD,COLOMBIA,2024,Primera A 2024,05/12/2024,20:30,Clausura,Atl. Nacional,Dep. Pasto,2,1,"[49, 55]",[86],bet365,2.2,2.2,6.0,bet365,1.57,3.8,6.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.13,1.25,2.3,2.94,1.26,0.67,0.33,25.0,8.0,8.0,1.0,9.0,3.0,9.0,12.0,2.0,3.0,0.0,3.0,0.0,6.0,0.73,0.27,11.0,4.0,2.0,0.0,5.0,1.0,0.61,0.39,14.0,4.0,6.0,1.0,4.0,2.0
OUmQnrgR,COLOMBIA,2024,Primera A 2024,04/12/2024,22:30,Clausura,Junior,Deportes Tolima,3,2,"[8, 31, 95]","[79, 86]",bet365,3.4,1.95,3.75,bet365,2.55,3.1,2.9,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.4,1.36,1.5,1.23,1.47,0.34,0.66,10.0,15.0,7.0,6.0,3.0,9.0,8.0,15.0,1.0,2.0,2.0,1.0,4.0,4.0,0.31,0.69,5.0,5.0,4.0,2.0,2.0,6.0,0.38,0.62,5.0,10.0,3.0,4.0,1.0,3.0
GSS4u0o1,COLOMBIA,2024,Primera A 2024,04/12/2024,20:30,Clausura,Once Caldas,America De Cali,3,0,"[18, 47, 86]",[],bet365,3.5,1.91,3.75,bet365,2.63,2.8,3.0,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.36,1.4,1.44,1.35,1.63,0.34,0.66,9.0,18.0,6.0,5.0,0.0,7.0,10.0,8.0,2.0,2.0,0.0,2.0,5.0,3.0,0.42,0.58,7.0,6.0,4.0,2.0,0.0,2.0,0.26,0.74,2.0,12.0,2.0,3.0,0.0,5.0
