Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
dMQg3RfE,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,07/12/2025,13:30,Round 16,Osijek,Istra 1961,1,5,[59],"[17, 27, 44, 49, 73]",bet365,3.1,2.1,3.6,bet365,2.35,3.2,2.88,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.4,1.36,1.57,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.91,3.48,0.95,1.05,3.48,1.91,-1.52,0.91,,,0.83,0.84,0.44,0.47,0.63,0.73,0.0,2.0,0.13,0.09,13.0,12.0,4.0,6.0,5.0,1.0,,,,,,,,,,,24.0,19.0,,,,,,,16.0,14.0,,,,,2.0,0.0,,,0.56,0.92,57.0,51.0,27.0,24.0,10.0,13.0,0.0,1.0,0.0,0.0,,,0.42,1.83,0.36,0.73,,,6.0,6.0,2.0,3.0,2.0,0.0,,,,,,,5.0,6.0,0.0,0.0,,,,,1.49,1.65,0.59,0.32,,,7.0,6.0,2.0,3.0,3.0,1.0,,,,,,,,,11.0,8.0,2.0,0.0,,
6Jr2cy7e,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,07/12/2025,11:00,Round 16,Varazdin,Lok. Zagreb,4,2,"[48, 54, 79, 89]","[4, 20]",bet365,3.1,2.05,3.6,bet365,2.35,3.1,2.88,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.36,1.33,1.53,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,3.3,1.59,0.87,0.31,1.59,3.3,-0.41,-0.7,,,0.67,0.8,0.31,0.59,0.56,0.61,0.0,0.0,0.08,0.23,10.0,8.0,5.0,4.0,2.0,1.0,,,,,,,,,,,11.0,14.0,,,,,,,16.0,14.0,,,,,1.0,3.0,,,0.67,0.38,46.0,40.0,23.0,14.0,3.0,2.0,0.0,1.0,1.0,0.0,,,0.0,1.59,0.08,0.1,,,2.0,6.0,0.0,4.0,2.0,1.0,,,,,,,9.0,6.0,0.0,1.0,,,,,3.3,0.0,0.79,0.21,,,8.0,2.0,5.0,0.0,0.0,0.0,,,,,,,,,7.0,8.0,1.0,2.0,,
vod9eFy8,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,06/12/2025,14:00,Round 16,Rijeka,Vukovar 1991,3,1,"[11, 30, 80]",[66],bet365,1.73,2.63,8.5,bet365,1.29,5.0,8.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,2.0,1.73,bet365,1.07,1.14,3.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.51,0.45,0.78,0.24,0.45,2.51,-0.55,-0.49,,,0.87,0.67,0.49,0.2,0.78,0.54,0.0,0.0,0.24,0.3,20.0,5.0,7.0,1.0,9.0,3.0,,,,,,,,,,,28.0,9.0,,,,,,,8.0,16.0,,,,,1.0,2.0,,,0.54,0.64,48.0,36.0,21.0,29.0,16.0,9.0,0.0,0.0,0.0,0.0,,,1.08,0.0,0.4,0.07,,,9.0,1.0,3.0,0.0,4.0,1.0,,,,,,,3.0,7.0,0.0,1.0,,,,,1.43,0.45,0.38,0.17,,,11.0,4.0,4.0,1.0,5.0,2.0,,,,,,,,,5.0,9.0,1.0,1.0,,
p4fgacxq,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,06/12/2025,11:00,Round 16,Din. Zagreb,Hajduk Split,1,1,[102],[68],bet365,2.4,2.2,5.0,bet365,1.75,3.3,4.5,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.17,1.3,1.91,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.96,0.99,0.81,0.39,0.99,1.96,-0.01,0.96,,,0.83,0.77,0.56,0.29,0.66,0.56,0.0,0.0,0.13,0.33,13.0,4.0,5.0,1.0,6.0,1.0,,,,,,,,,,,26.0,8.0,,,,,,,12.0,27.0,,,,,1.0,2.0,,,0.77,0.71,59.0,42.0,11.0,28.0,5.0,13.0,0.0,1.0,0.0,0.0,,,0.2,0.0,0.38,0.22,,,3.0,1.0,2.0,0.0,1.0,0.0,,,,,,,5.0,11.0,0.0,1.0,,,,,1.76,0.99,0.43,0.17,,,10.0,3.0,3.0,1.0,5.0,1.0,,,,,,,,,7.0,16.0,1.0,1.0,,
UZO115PQ,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,05/12/2025,14:00,Round 16,Slaven Belupo,Gorica,2,1,"[6, 74]",[21],bet365,2.75,2.1,4.0,bet365,2.05,3.2,3.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.29,1.36,1.73,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.22,0.81,1.12,1.49,0.81,1.22,-0.19,-0.78,,,0.77,0.75,0.44,0.34,0.6,0.63,2.0,1.0,0.19,0.32,13.0,13.0,7.0,4.0,4.0,6.0,,,,,,,,,,,12.0,21.0,,,,,,,17.0,16.0,,,,,1.0,0.0,,,0.75,0.77,53.0,69.0,14.0,40.0,6.0,6.0,1.0,0.0,0.0,0.0,,,0.09,0.56,0.43,0.35,,,5.0,6.0,3.0,2.0,2.0,2.0,,,,,,,9.0,8.0,0.0,0.0,,,,,1.13,0.25,0.69,1.14,,,8.0,7.0,4.0,2.0,2.0,4.0,,,,,,,,,8.0,8.0,1.0,0.0,,
0IwljKaS,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,01/12/2025,14:00,Round 15,Gorica,Din. Zagreb,0,2,[],"[34, 92]",bet365,6.0,2.5,1.95,bet365,5.5,3.9,1.45,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.73,2.0,bet365,2.5,1.22,1.13,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.93,1.33,0.35,1.45,1.33,0.93,-0.67,0.93,,,0.82,0.84,0.54,0.5,0.67,0.76,0.0,0.0,0.21,0.19,7.0,12.0,2.0,2.0,3.0,5.0,,,,,,,,,,,9.0,29.0,,,,,,,11.0,15.0,,,,,2.0,1.0,,,0.48,0.76,50.0,46.0,31.0,30.0,10.0,8.0,0.0,0.0,0.0,0.0,,,0.0,0.75,0.01,1.23,,,2.0,7.0,0.0,1.0,1.0,3.0,,,,,,,9.0,8.0,1.0,0.0,,,,,0.93,0.58,0.34,0.22,,,5.0,5.0,2.0,1.0,2.0,2.0,,,,,,,,,2.0,7.0,1.0,1.0,,
IgAE6up9,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,30/11/2025,11:00,Round 15,Lok. Zagreb,Rijeka,1,1,[76],[3],bet365,3.75,2.1,3.0,bet365,3.0,3.0,2.15,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.62,1.33,1.33,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.25,0.18,1.13,0.22,0.18,1.25,-0.82,0.25,,,0.85,0.68,0.54,0.29,0.7,0.35,0.0,0.0,0.27,0.3,13.0,10.0,4.0,4.0,7.0,5.0,,,,,,,,,,,18.0,16.0,,,,,,,15.0,16.0,,,,,2.0,2.0,,,0.71,0.44,65.0,34.0,23.0,27.0,8.0,11.0,0.0,0.0,0.0,0.0,,,0.42,0.09,0.24,0.07,,,6.0,6.0,2.0,2.0,3.0,3.0,,,,,,,9.0,6.0,1.0,0.0,,,,,0.83,0.09,0.89,0.15,,,7.0,4.0,2.0,2.0,4.0,2.0,,,,,,,,,6.0,10.0,1.0,2.0,,
W0UJpbNk,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,29/11/2025,14:15,Round 15,Istra 1961,Slaven Belupo,1,1,[93],[45],bet365,3.4,2.05,3.4,bet365,2.6,3.0,2.6,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.44,1.33,1.44,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.3,0.88,0.98,0.51,0.88,1.3,-0.12,0.3,,,0.83,0.8,0.48,0.54,0.64,0.62,0.0,0.0,0.14,0.45,10.0,17.0,3.0,2.0,4.0,10.0,,,,,,,,,,,14.0,19.0,,,,,,,9.0,11.0,,,,,1.0,1.0,,,0.68,0.59,57.0,47.0,18.0,36.0,10.0,7.0,0.0,0.0,0.0,0.0,,,0.04,0.87,0.25,0.16,,,3.0,8.0,1.0,1.0,0.0,5.0,,,,,,,4.0,4.0,1.0,1.0,,,,,1.26,0.01,0.73,0.35,,,7.0,9.0,2.0,1.0,4.0,5.0,,,,,,,,,5.0,7.0,0.0,0.0,,
EL3N4JEL,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,29/11/2025,11:30,Round 15,Hajduk Split,Varazdin,1,1,[54],[44],bet365,2.1,2.25,6.0,bet365,1.53,3.5,5.75,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,2.0,1.73,bet365,1.13,1.25,2.25,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.35,0.51,1.04,1.07,0.51,1.35,-0.49,0.35,,,0.85,0.73,0.4,0.37,0.66,0.65,0.0,3.0,0.33,0.33,13.0,10.0,4.0,2.0,8.0,2.0,,,,,,,,,,,24.0,19.0,,,,,,,15.0,15.0,,,,,0.0,1.0,,,0.54,0.47,37.0,47.0,16.0,34.0,6.0,9.0,1.0,0.0,0.0,1.0,,,0.0,0.49,0.3,0.51,,,3.0,6.0,0.0,1.0,3.0,1.0,,,,,,,6.0,6.0,0.0,1.0,,,,,1.35,0.02,0.74,0.56,,,10.0,4.0,4.0,1.0,5.0,1.0,,,,,,,,,9.0,9.0,0.0,0.0,,
QaNSrxh2,CROATIA,2025-2026,Hnl 2025 2026,CROATIA Hnl 2025 2026,28/11/2025,14:00,Round 15,Vukovar 1991,Osijek,2,2,"[53, 82]","[34, 55]",bet365,3.5,2.2,3.0,bet365,2.88,3.1,2.2,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.57,1.33,1.36,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.07,2.74,1.17,1.82,2.74,1.07,0.74,-0.93,,,0.7,0.69,0.28,0.29,0.6,0.59,1.0,1.0,0.19,0.09,12.0,18.0,3.0,9.0,7.0,2.0,,,,,,,,,,,19.0,29.0,,,,,,,9.0,21.0,,,,,2.0,3.0,,,0.45,0.5,59.0,65.0,36.0,43.0,5.0,7.0,4.0,1.0,0.0,0.0,,,0.02,1.09,0.8,0.68,,,6.0,9.0,1.0,3.0,4.0,2.0,,,,,,,6.0,11.0,0.0,1.0,,,,,1.05,1.65,0.37,1.14,,,6.0,9.0,2.0,6.0,3.0,0.0,,,,,,,,,3.0,10.0,2.0,2.0,,
