Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
WITJ8YC6,CYPRUS,2024-2025,Cyprus League 2024 2025,18/05/2025,13:00,Championship Group,Apollon,Aris,2,3,"[33, 52]","[68, 81, 94]",Betfair,4.0,2.2,2.4,Betfair,3.6,3.75,1.8,Betano.br,1.37,2.95,Betano.br,2.62,1.45,Betano.br,5.8,1.11,Betfair,1.01,11.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.6,1.44,Betfair,5.2,1.13,Betfair,1.57,2.25,Betano.br,1.98,1.25,1.29,,,0.44,0.56,5.0,14.0,4.0,9.0,3.0,12.0,13.0,7.0,0.0,1.0,0.0,0.0,6.0,2.0,0.51,0.49,2.0,3.0,2.0,2.0,3.0,3.0,0.37,0.63,3.0,11.0,2.0,7.0,0.0,9.0
KvAEUFZP,CYPRUS,2024-2025,Cyprus League 2024 2025,18/05/2025,13:00,Championship Group,Omonia,APOEL,2,1,"[22, 91]",[40],Betfair,1.83,2.4,6.5,Betfair,1.3,4.75,7.0,Betano.br,1.32,3.2,Betano.br,2.35,1.55,Betano.br,5.0,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.75,1.95,Betano.br,1.12,1.19,2.92,,,0.58,0.42,8.0,10.0,8.0,4.0,11.0,5.0,25.0,16.0,2.0,2.0,2.0,1.0,3.0,6.0,0.65,0.35,3.0,6.0,3.0,3.0,8.0,3.0,0.51,0.49,5.0,4.0,5.0,1.0,3.0,2.0
SpNS6CsJ,CYPRUS,2024-2025,Cyprus League 2024 2025,18/05/2025,12:00,Championship Group,Pafos,AEK Larnaca,2,0,"[10, 69]",[],Betfair,2.2,2.1,5.0,Betfair,1.62,3.6,4.75,Betano.br,1.44,2.67,Betano.br,2.9,1.38,Betano.br,6.6,1.09,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.8,1.91,Betano.br,1.22,1.26,2.15,,,0.44,0.56,11.0,9.0,2.0,4.0,3.0,5.0,27.0,15.0,3.0,1.0,1.0,1.0,4.0,0.0,0.45,0.55,4.0,5.0,1.0,2.0,2.0,4.0,0.43,0.57,7.0,4.0,1.0,2.0,1.0,1.0
2wx3CGDs,CYPRUS,2024-2025,Cyprus League 2024 2025,12/05/2025,13:00,Championship Group,AEK Larnaca,Apollon,3,0,"[9, 28, 58]",[],Betfair,2.2,2.1,5.0,Betfair,1.62,3.3,5.0,Betano.br,1.45,2.62,Betano.br,2.92,1.38,Betano.br,6.6,1.09,Betfair,1.03,9.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.83,1.83,Betano.br,1.18,1.26,2.27,,,0.59,0.41,15.0,8.0,11.0,4.0,3.0,1.0,7.0,18.0,0.0,3.0,0.0,3.0,4.0,8.0,0.58,0.42,7.0,3.0,4.0,1.0,1.0,1.0,0.6,0.4,8.0,5.0,7.0,3.0,2.0,0.0
OhQBAfrf,CYPRUS,2024-2025,Cyprus League 2024 2025,12/05/2025,13:00,Championship Group,APOEL,Pafos,1,1,[61],[64],Betfair,4.0,2.0,2.63,Betfair,3.4,3.25,1.91,Betano.br,1.42,2.72,Betano.br,2.82,1.4,Betano.br,6.3,1.1,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,1.95,Betano.br,1.9,1.28,1.29,,,0.52,0.48,9.0,12.0,7.0,7.0,3.0,6.0,8.0,22.0,0.0,2.0,0.0,4.0,6.0,6.0,0.49,0.51,5.0,4.0,3.0,3.0,1.0,2.0,0.55,0.45,4.0,8.0,4.0,4.0,2.0,4.0
nDWXHxjK,CYPRUS,2024-2025,Cyprus League 2024 2025,12/05/2025,13:00,Championship Group,Aris,Omonia,3,3,"[45, 56, 66]","[11, 26, 28]",Betfair,2.63,2.2,3.6,Betfair,2.05,3.3,3.0,Betano.br,1.34,3.1,Betano.br,2.45,1.52,Betano.br,5.3,1.14,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.6,2.2,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.38,Betano.br,1.38,1.28,1.72,,,0.6,0.4,11.0,8.0,6.0,5.0,6.0,2.0,12.0,10.0,0.0,2.0,2.0,3.0,2.0,3.0,0.6,0.4,5.0,5.0,3.0,4.0,3.0,2.0,0.6,0.4,6.0,3.0,3.0,1.0,3.0,0.0
jJEEQ6Yi,CYPRUS,2024-2025,Cyprus League 2024 2025,11/05/2025,13:00,Relegation Group,AEL Limassol,Karmiotissa,1,0,[5],[],Betfair,4.5,2.0,2.4,Betfair,4.2,3.2,1.75,Betano.br,1.44,2.4,BetEsporte,2.6,1.33,BetEsporte,6.0,1.06,Betfair,1.05,8.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.83,1.83,Betano.br,1.85,1.3,1.24,,,0.49,0.51,4.0,8.0,4.0,3.0,7.0,4.0,11.0,18.0,3.0,3.0,0.0,0.0,3.0,3.0,0.53,0.47,2.0,5.0,2.0,2.0,4.0,2.0,0.46,0.54,2.0,3.0,2.0,1.0,3.0,2.0
xvXR23to,CYPRUS,2024-2025,Cyprus League 2024 2025,11/05/2025,13:00,Relegation Group,Omonia Aradippou,Omonia 29th May,4,1,"[38, 47, 77, 88]",[67],Betfair,1.25,3.75,21.0,Betfair,1.03,12.0,51.0,Superbet.br,1.16,4.55,Superbet.br,1.83,1.87,Superbet.br,3.55,1.25,,0.0,0.0,Betfair,1.05,7.5,Betfair,1.29,3.3,Betfair,1.8,1.91,Betfair,2.88,1.36,Betfair,2.88,1.36,Betano.br,1.02,1.06,3.85,,,0.53,0.47,14.0,4.0,6.0,2.0,10.0,1.0,17.0,8.0,2.0,1.0,0.0,3.0,1.0,2.0,0.53,0.47,6.0,1.0,4.0,1.0,3.0,0.0,0.53,0.47,8.0,3.0,2.0,1.0,7.0,1.0
OWCMOp34,CYPRUS,2024-2025,Cyprus League 2024 2025,11/05/2025,13:00,Relegation Group,Paralimni,Achnas,4,2,"[27, 44, 62, 73]","[13, 35]",Betfair,1.83,2.3,7.5,Betfair,1.29,4.5,7.5,Superbet.br,1.33,3.05,Betano.br,2.52,1.4,Superbet.br,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,2.05,1.67,Betano.br,1.1,1.18,2.85,,,0.47,0.53,11.0,6.0,7.0,6.0,4.0,5.0,11.0,16.0,2.0,1.0,2.0,2.0,4.0,3.0,0.53,0.47,6.0,3.0,3.0,3.0,2.0,1.0,0.41,0.59,5.0,3.0,4.0,3.0,2.0,4.0
Wv5fLBdC,CYPRUS,2024-2025,Cyprus League 2024 2025,09/05/2025,13:00,Relegation Group,Nea Salamis,Anorthosis,2,4,"[78, 81]","[33, 42, 83, 91]",Betfair,2.88,2.3,3.1,Betfair,2.3,3.3,2.5,BetEsporte,1.23,3.2,Betano.br,2.2,1.53,BetEsporte,4.3,1.12,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.44,2.5,Betano.br,1.42,1.26,1.62,,,0.54,0.46,16.0,13.0,10.0,6.0,8.0,2.0,8.0,12.0,2.0,2.0,0.0,0.0,2.0,8.0,0.45,0.55,5.0,5.0,3.0,4.0,1.0,0.0,0.63,0.37,11.0,8.0,7.0,2.0,7.0,2.0
