Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
AqHF2guA,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,01/06/2025,10:00,Relegation,Chrudim,FK Pardubice,1,0,[60],[],bet365,4.33,2.25,2.5,bet365,3.6,3.5,1.9,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.91,1.29,1.29,1.65,0.65,0.59,0.41,15.0,8.0,5.0,2.0,4.0,8.0,14.0,11.0,2.0,4.0,3.0,2.0,2.0,4.0,0.44,0.56,0.0,5.0,0.0,0.0,0.0,7.0,0.74,0.26,15.0,3.0,5.0,2.0,4.0,1.0
lf8t8HP6,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,01/06/2025,10:00,Relegation,Dukla Prague,Vyskov,2,1,[64],[48],bet365,1.91,2.5,7.0,bet365,1.42,3.9,7.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.91,1.8,bet365,1.1,1.25,2.75,2.64,1.15,0.59,0.41,33.0,9.0,7.0,3.0,12.0,1.0,13.0,25.0,3.0,4.0,2.0,0.0,2.0,6.0,0.57,0.43,11.0,5.0,3.0,2.0,3.0,1.0,0.59,0.41,15.0,2.0,4.0,1.0,7.0,0.0
lUS64FAc,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,28/05/2025,13:00,Relegation,FK Pardubice,Chrudim,2,0,"[51, 76]",[],bet365,1.91,2.5,7.0,bet365,1.4,5.0,5.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.0,1.73,bet365,1.13,1.14,2.63,2.48,0.25,0.58,0.42,22.0,10.0,7.0,4.0,14.0,2.0,13.0,10.0,0.0,3.0,0.0,1.0,4.0,5.0,0.59,0.41,9.0,4.0,2.0,0.0,7.0,1.0,0.57,0.43,13.0,6.0,5.0,4.0,7.0,1.0
2wAY9wef,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,28/05/2025,13:00,Relegation,Vyskov,Dukla Prague,0,0,[],[],bet365,4.5,2.2,2.5,bet365,3.9,3.4,1.85,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.91,1.3,1.25,0.53,1.21,0.48,0.53,8.0,16.0,1.0,5.0,4.0,7.0,16.0,11.0,2.0,1.0,0.0,4.0,5.0,1.0,0.46,0.54,4.0,9.0,1.0,2.0,3.0,5.0,0.49,0.51,4.0,7.0,0.0,3.0,1.0,2.0
APtAGUw3,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,25/05/2025,11:00,Relegation Group,Dukla Prague,Ceske Budejovice,2,1,"[31, 39]",[17],bet365,2.05,2.4,5.5,bet365,1.53,4.2,5.25,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.8,1.95,bet365,1.17,1.22,2.38,1.42,0.78,0.44,0.56,15.0,13.0,5.0,3.0,2.0,6.0,8.0,18.0,1.0,2.0,0.0,3.0,2.0,3.0,0.51,0.49,8.0,5.0,3.0,2.0,1.0,2.0,0.37,0.63,7.0,8.0,2.0,1.0,1.0,4.0
nieFfmHq,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,25/05/2025,11:00,Relegation Group,Mlada Boleslav,Slovacko,2,2,"[52, 95]","[59, 85]",bet365,2.4,2.38,4.0,bet365,1.85,3.7,3.7,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.63,1.44,bet365,4.5,1.18,bet365,1.62,2.2,bet365,1.29,1.29,1.91,1.63,1.4,0.6,0.4,12.0,8.0,4.0,4.0,4.0,7.0,11.0,12.0,2.0,1.0,0.0,1.0,2.0,2.0,0.61,0.39,5.0,4.0,1.0,1.0,1.0,3.0,0.59,0.41,7.0,4.0,3.0,3.0,3.0,4.0
rJlOhRod,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,25/05/2025,11:00,Relegation Group,Teplice,FK Pardubice,3,0,"[32, 54, 57]",[],bet365,1.8,2.5,8.0,bet365,1.33,5.25,7.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,2.05,1.7,bet365,1.1,1.17,3.25,2.0,1.56,0.49,0.51,20.0,11.0,5.0,3.0,2.0,6.0,7.0,13.0,0.0,2.0,4.0,2.0,3.0,2.0,0.58,0.42,8.0,6.0,2.0,2.0,2.0,2.0,0.4,0.6,12.0,5.0,3.0,1.0,0.0,4.0
OAXjfuI6,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,25/05/2025,08:30,7th-10th places,Hradec Kralove,Bohemians,2,0,"[24, 60]",[],bet365,2.38,2.2,5.0,bet365,1.73,3.4,5.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.17,1.3,2.05,1.78,0.58,0.45,0.55,14.0,15.0,7.0,1.0,2.0,7.0,14.0,9.0,0.0,3.0,1.0,0.0,1.0,5.0,0.49,0.51,6.0,6.0,4.0,0.0,0.0,1.0,0.41,0.59,8.0,9.0,3.0,1.0,2.0,6.0
hEwCxfv1,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,24/05/2025,11:00,Championship Group,Plzen,Jablonec,4,1,"[3, 19, 46, 67]",[91],bet365,1.73,2.63,7.5,bet365,1.33,5.0,8.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.91,1.91,bet365,1.08,1.17,3.25,1.71,1.91,0.39,0.61,14.0,14.0,8.0,4.0,3.0,1.0,13.0,10.0,2.0,3.0,1.0,2.0,3.0,4.0,0.46,0.54,9.0,1.0,6.0,0.0,3.0,0.0,0.32,0.68,5.0,13.0,2.0,4.0,0.0,1.0
plz4vG9l,CZECH-REPUBLIC,2024-2025,Chance Liga 2024 2025,24/05/2025,11:00,Championship Group,Slavia Prague,Ostrava,3,0,"[31, 45, 74]",[],bet365,1.91,2.6,6.0,bet365,1.45,5.0,5.5,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.75,2.0,bet365,1.14,1.17,2.63,2.2,0.17,0.6,0.4,21.0,7.0,9.0,1.0,4.0,2.0,12.0,10.0,1.0,1.0,5.0,1.0,1.0,6.0,0.66,0.34,13.0,2.0,6.0,1.0,2.0,0.0,0.54,0.46,8.0,5.0,3.0,0.0,2.0,2.0
