Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
vTWoR9xA,DENMARK,2024-2025,Superliga 2024 2025,01/06/2025,13:30,Conference League,Randers FC,Silkeborg,1,3,[39],"[8, 26, 71]",bet365,3.0,2.2,3.4,bet365,2.45,3.25,2.88,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.7,2.05,bet365,1.4,1.33,1.53,1.87,2.84,0.5,0.5,17.0,18.0,4.0,9.0,4.0,5.0,13.0,14.0,2.0,3.0,3.0,1.0,6.0,3.0,0.46,0.54,5.0,11.0,2.0,6.0,1.0,4.0,0.54,0.46,12.0,7.0,2.0,3.0,3.0,1.0
0UHTWLgT,DENMARK,2024-2025,Superliga 2024 2025,25/05/2025,12:00,Championship Group,Aarhus,Brondby,2,3,"[13, 31]","[9, 44, 52]",bet365,4.0,2.4,2.4,bet365,3.4,3.7,1.83,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.53,2.38,bet365,1.8,1.25,1.29,1.78,2.44,0.46,0.54,19.0,13.0,9.0,8.0,6.0,3.0,8.0,8.0,0.0,4.0,0.0,0.0,5.0,7.0,0.32,0.68,10.0,7.0,5.0,5.0,2.0,0.0,0.6,0.4,9.0,6.0,4.0,3.0,4.0,3.0
h4ELYsPG,DENMARK,2024-2025,Superliga 2024 2025,25/05/2025,12:00,Championship Group,FC Copenhagen,Nordsjaelland,3,0,"[2, 47, 60]",[],bet365,1.83,2.88,5.5,bet365,1.42,5.25,5.75,bet365,1.18,4.5,bet365,1.9,1.9,bet365,3.75,1.25,bet365,1.01,29.0,bet365,1.08,8.0,bet365,1.3,3.5,bet365,1.8,1.91,bet365,2.75,1.4,bet365,1.44,2.63,bet365,1.14,1.17,2.75,1.89,0.34,0.56,0.44,15.0,11.0,7.0,3.0,6.0,1.0,7.0,15.0,1.0,1.0,0.0,2.0,3.0,4.0,0.44,0.56,8.0,7.0,4.0,1.0,4.0,1.0,0.68,0.32,7.0,4.0,3.0,2.0,2.0,0.0
Y1bKz4f4,DENMARK,2024-2025,Superliga 2024 2025,25/05/2025,12:00,Championship Group,Midtjylland,Randers FC,3,2,"[13, 84, 90]","[37, 72]",bet365,2.0,2.75,4.75,bet365,1.6,4.33,4.75,bet365,1.2,4.33,bet365,2.0,1.8,bet365,4.0,1.22,bet365,1.02,21.0,bet365,1.1,7.0,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.44,2.63,bet365,1.17,1.2,2.3,1.47,1.82,0.58,0.42,17.0,13.0,6.0,4.0,6.0,3.0,4.0,17.0,0.0,3.0,2.0,2.0,2.0,3.0,0.59,0.41,5.0,4.0,1.0,2.0,1.0,1.0,0.57,0.43,12.0,9.0,5.0,2.0,5.0,2.0
INReEVaN,DENMARK,2024-2025,Superliga 2024 2025,24/05/2025,10:00,Relegation Group,Lyngby,Aalborg,3,1,"[27, 62, 76]",[72],bet365,2.38,2.5,4.0,bet365,1.85,4.0,3.6,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.29,1.22,1.91,1.35,1.04,0.48,0.52,9.0,13.0,4.0,3.0,0.0,2.0,9.0,10.0,2.0,2.0,1.0,1.0,2.0,1.0,0.48,0.52,5.0,6.0,1.0,1.0,0.0,0.0,0.48,0.52,4.0,7.0,3.0,2.0,0.0,2.0
QF9lGiVA,DENMARK,2024-2025,Superliga 2024 2025,24/05/2025,10:00,Relegation Group,Silkeborg,Viborg,1,2,[19],"[23, 30]",bet365,3.0,2.6,2.88,bet365,2.55,3.9,2.4,bet365,1.22,4.0,bet365,2.05,1.75,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.36,3.0,bet365,1.53,1.25,1.5,1.06,1.94,0.55,0.45,16.0,12.0,7.0,6.0,5.0,3.0,12.0,13.0,1.0,3.0,1.0,0.0,4.0,6.0,0.5,0.5,5.0,5.0,2.0,3.0,3.0,2.0,0.6,0.4,11.0,7.0,5.0,3.0,2.0,1.0
2e3S89Np,DENMARK,2024-2025,Superliga 2024 2025,24/05/2025,10:00,Relegation Group,Vejle,Sonderjyske,2,3,"[55, 90]","[62, 66, 83]",bet365,2.75,2.4,3.4,bet365,2.15,3.75,3.0,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.36,1.25,1.67,1.15,1.28,0.44,0.56,10.0,8.0,2.0,5.0,4.0,7.0,6.0,14.0,,,2.0,1.0,2.0,0.0,0.46,0.54,3.0,1.0,0.0,0.0,2.0,1.0,0.42,0.58,7.0,7.0,2.0,5.0,2.0,6.0
0l0CxQPi,DENMARK,2024-2025,Superliga 2024 2025,19/05/2025,14:00,Championship Group,Brondby,Midtjylland,1,2,[63],"[47, 70]",bet365,2.6,2.5,3.4,bet365,2.1,3.75,3.0,bet365,1.22,4.0,bet365,2.05,1.75,bet365,4.5,1.18,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.4,2.75,bet365,1.36,1.25,1.7,2.82,1.49,0.62,0.38,24.0,10.0,8.0,2.0,10.0,3.0,11.0,5.0,4.0,3.0,1.0,0.0,0.0,7.0,0.54,0.46,12.0,5.0,4.0,0.0,4.0,3.0,0.7,0.3,12.0,5.0,4.0,2.0,6.0,0.0
ptIPEMXp,DENMARK,2024-2025,Superliga 2024 2025,18/05/2025,13:00,Championship Group,Randers FC,FC Copenhagen,0,4,[],"[11, 43, 63, 74]",bet365,4.0,2.2,2.6,bet365,3.6,3.5,2.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.88,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.75,2.0,bet365,1.8,1.29,1.29,0.3,2.66,0.51,0.49,6.0,15.0,1.0,10.0,3.0,4.0,12.0,11.0,1.0,2.0,1.0,3.0,6.0,1.0,0.5,0.5,4.0,5.0,1.0,3.0,1.0,2.0,0.52,0.48,2.0,10.0,0.0,7.0,2.0,2.0
UmGuID0b,DENMARK,2024-2025,Superliga 2024 2025,18/05/2025,11:00,Relegation Group,Sonderjyske,Lyngby,5,1,"[7, 24, 42, 66, 84]",[79],bet365,3.25,2.2,3.1,bet365,2.7,3.5,2.45,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.53,1.29,1.44,2.71,1.32,0.52,0.48,10.0,22.0,7.0,5.0,3.0,9.0,15.0,7.0,2.0,1.0,0.0,5.0,4.0,2.0,0.52,0.48,6.0,11.0,5.0,1.0,2.0,4.0,0.52,0.48,4.0,11.0,2.0,4.0,1.0,5.0
