Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
6LTndcTP,EUROPE,2024-2025,Champions League 2024 2025,31/05/2025,16:00,Play Offs,PSG,Inter,5,0,"[12, 20, 63, 73, 86]",[],bet365,2.6,2.3,3.75,bet365,2.1,3.5,3.5,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.33,bet365,1.73,2.1,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.29,1.29,1.7,3.12,0.49,0.59,0.41,23.0,8.0,8.0,2.0,4.0,6.0,13.0,7.0,2.0,4.0,0.0,5.0,2.0,3.0,0.62,0.38,13.0,2.0,5.0,0.0,3.0,2.0,0.56,0.44,10.0,6.0,3.0,2.0,1.0,4.0
QZXKxRyo,EUROPE,2024-2025,Champions League 2024 2025,07/05/2025,16:00,Play Offs,PSG,Arsenal,2,1,"[27, 72]",[76],bet365,2.75,2.25,3.6,bet365,2.25,3.4,3.1,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.9,2.0,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.63,2.1,bet365,1.36,1.3,1.62,1.74,2.9,0.46,0.54,11.0,19.0,6.0,4.0,2.0,6.0,11.0,11.0,2.0,4.0,1.0,1.0,3.0,4.0,0.47,0.53,5.0,10.0,3.0,2.0,1.0,3.0,0.45,0.55,6.0,9.0,3.0,2.0,1.0,3.0
0hltp9qB,EUROPE,2024-2025,Champions League 2024 2025,06/05/2025,16:00,Play Offs,Inter,Barcelona,4,3,"[21, 46, 93, 99]","[54, 60, 87]",bet365,3.0,2.5,3.0,bet365,2.55,3.75,2.55,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.2,1.67,bet365,4.0,1.25,bet365,1.44,2.63,bet365,1.5,1.25,1.5,2.28,2.81,0.29,0.71,13.0,22.0,7.0,10.0,5.0,7.0,14.0,10.0,5.0,3.0,9.0,2.0,7.0,3.0,0.34,0.66,8.0,6.0,3.0,1.0,3.0,2.0,0.27,0.73,3.0,10.0,2.0,7.0,1.0,2.0
vw0XoVEb,EUROPE,2024-2025,Champions League 2024 2025,30/04/2025,16:00,Play Offs,Barcelona,Inter,3,3,"[24, 38, 65]","[1, 21, 64]",bet365,2.2,2.5,4.5,bet365,1.7,4.0,4.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.57,2.25,bet365,1.18,1.22,2.1,1.36,0.9,0.72,0.28,19.0,7.0,9.0,3.0,7.0,2.0,10.0,11.0,1.0,1.0,0.0,5.0,0.0,6.0,0.72,0.28,10.0,3.0,4.0,2.0,5.0,1.0,0.72,0.28,9.0,4.0,5.0,1.0,2.0,1.0
8IilrmEN,EUROPE,2024-2025,Champions League 2024 2025,29/04/2025,16:00,Play Offs,Arsenal,PSG,0,1,[],[4],bet365,2.75,2.25,3.75,bet365,2.15,3.4,3.4,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.29,3.75,bet365,1.95,1.95,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.3,1.3,1.67,1.63,1.16,0.48,0.53,10.0,11.0,5.0,4.0,3.0,1.0,15.0,15.0,2.0,2.0,4.0,1.0,3.0,5.0,0.4,0.6,5.0,6.0,4.0,4.0,1.0,1.0,0.55,0.45,5.0,5.0,1.0,0.0,2.0,0.0
foKPnXT7,EUROPE,2024-2025,Champions League 2024 2025,16/04/2025,16:00,Play Offs,Inter,Bayern Munich,2,2,"[58, 61]","[52, 76]",bet365,3.1,2.38,3.0,bet365,2.63,3.75,2.45,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.38,1.57,bet365,4.0,1.25,bet365,1.44,2.63,bet365,1.53,1.25,1.44,1.49,1.4,0.38,0.63,15.0,20.0,6.0,6.0,5.0,6.0,10.0,16.0,2.0,2.0,0.0,1.0,4.0,4.0,0.39,0.61,7.0,9.0,1.0,3.0,1.0,4.0,0.36,0.64,8.0,11.0,5.0,3.0,4.0,2.0
x0xK7Af5,EUROPE,2024-2025,Champions League 2024 2025,16/04/2025,16:00,Play Offs,Real Madrid,Arsenal,1,2,[67],"[65, 93]",bet365,2.38,2.4,4.33,bet365,1.75,4.0,4.2,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.5,1.53,bet365,4.33,1.22,bet365,1.57,2.25,bet365,1.22,1.22,2.0,1.41,2.05,0.66,0.34,18.0,12.0,3.0,6.0,10.0,4.0,18.0,15.0,3.0,2.0,2.0,1.0,4.0,2.0,0.68,0.32,6.0,5.0,0.0,3.0,4.0,3.0,0.64,0.36,12.0,7.0,3.0,3.0,6.0,1.0
K6Sd07Vs,EUROPE,2024-2025,Champions League 2024 2025,15/04/2025,16:00,Play Offs,Aston Villa,PSG,3,2,"[34, 55, 57]","[11, 27]",bet365,3.5,2.4,2.6,bet365,3.2,3.75,2.1,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.5,2.5,bet365,1.7,1.25,1.36,2.05,1.69,0.34,0.66,17.0,14.0,9.0,7.0,5.0,5.0,15.0,3.0,1.0,0.0,2.0,5.0,5.0,6.0,0.33,0.67,5.0,3.0,2.0,3.0,3.0,0.0,0.35,0.65,12.0,11.0,7.0,4.0,2.0,5.0
Qg2T3XIj,EUROPE,2024-2025,Champions League 2024 2025,15/04/2025,16:00,Play Offs,Dortmund,Barcelona,3,1,"[11, 49, 76]",[54],bet365,3.5,2.6,2.4,bet365,3.4,4.1,1.95,bet365,1.2,4.33,bet365,2.05,1.8,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.1,7.0,bet365,1.36,3.2,bet365,1.91,1.91,bet365,3.0,1.4,bet365,1.36,3.0,bet365,1.8,1.22,1.3,3.81,0.49,0.47,0.54,18.0,7.0,11.0,2.0,8.0,4.0,14.0,11.0,1.0,1.0,4.0,2.0,1.0,8.0,0.43,0.57,10.0,1.0,7.0,0.0,4.0,1.0,0.5,0.5,8.0,6.0,4.0,2.0,4.0,3.0
tMQd9geT,EUROPE,2024-2025,Champions League 2024 2025,09/04/2025,16:00,Play Offs,Barcelona,Dortmund,4,0,"[25, 48, 66, 77]",[],bet365,1.73,2.88,6.5,bet365,1.33,5.5,7.5,bet365,1.2,4.33,bet365,2.0,1.85,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.91,1.91,bet365,3.0,1.4,bet365,1.57,2.25,bet365,1.1,1.14,3.25,3.69,1.45,0.6,0.4,18.0,13.0,10.0,3.0,4.0,6.0,5.0,12.0,0.0,2.0,1.0,4.0,3.0,6.0,0.67,0.33,11.0,5.0,6.0,2.0,4.0,1.0,0.53,0.47,7.0,8.0,4.0,1.0,0.0,5.0
