Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
v7ZHKh9t,FINLAND,2024,Veikkausliiga 2024,02/11/2024,09:30,Conference League,SJK,Haka,2,2,"[35, 88]","[91, 93]",bet365,2.1,2.5,5.0,bet365,1.57,4.0,4.33,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.62,2.2,bet365,1.18,1.2,2.2,,,0.45,0.55,18.0,13.0,9.0,3.0,3.0,7.0,22.0,12.0,3.0,2.0,0.0,3.0,1.0,7.0,0.51,0.49,9.0,3.0,4.0,0.0,3.0,1.0,0.39,0.61,9.0,10.0,5.0,3.0,0.0,6.0
lrf80kOO,FINLAND,2024,Veikkausliiga 2024,30/10/2024,13:00,Conference League,Haka,SJK,1,2,[66],"[45, 80]",bet365,3.75,2.3,2.63,bet365,3.3,3.5,2.05,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.53,2.38,bet365,1.73,1.29,1.33,,,0.57,0.43,5.0,2.0,3.0,2.0,6.0,1.0,14.0,23.0,3.0,1.0,1.0,0.0,0.0,2.0,0.41,0.59,2.0,1.0,0.0,1.0,2.0,1.0,0.73,0.27,3.0,1.0,3.0,1.0,4.0,0.0
EZnDN7Z8,FINLAND,2024,Veikkausliiga 2024,27/10/2024,11:00,Relegation,Lahti,Jaro,1,0,[56],[],bet365,2.63,2.2,4.0,bet365,1.95,3.75,3.4,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.77,1.92,bet365,1.3,1.25,1.8,,,0.75,0.25,12.0,0.0,6.0,0.0,9.0,0.0,11.0,12.0,4.0,3.0,3.0,1.0,0.0,5.0,0.66,0.34,10.0,0.0,5.0,0.0,5.0,0.0,0.84,0.16,2.0,0.0,1.0,0.0,4.0,0.0
fHnXGZTP,FINLAND,2024,Veikkausliiga 2024,26/10/2024,11:00,Conference League,Haka,Gnistan,4,3,"[32, 89, 115]","[68, 83, 109]",bet365,3.0,2.25,3.4,bet365,2.25,3.25,2.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.36,1.3,1.53,,,0.55,0.45,9.0,8.0,6.0,6.0,3.0,5.0,15.0,15.0,0.0,1.0,1.0,0.0,3.0,3.0,0.55,0.45,4.0,3.0,2.0,2.0,1.0,3.0,0.53,0.47,3.0,3.0,3.0,3.0,2.0,2.0
0f5Qa4s2,FINLAND,2024,Veikkausliiga 2024,23/10/2024,12:30,Relegation,Jaro,Lahti,2,0,"[36, 52]",[],bet365,3.1,1.91,4.33,bet365,2.3,2.8,3.6,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.29,1.4,1.57,,,0.45,0.55,9.0,6.0,5.0,1.0,0.0,7.0,18.0,12.0,2.0,2.0,0.0,2.0,1.0,3.0,0.53,0.47,4.0,2.0,2.0,0.0,0.0,2.0,0.37,0.63,5.0,4.0,3.0,1.0,0.0,5.0
0Cb1WyIt,FINLAND,2024,Veikkausliiga 2024,23/10/2024,12:00,Conference League,Haka,Inter Turku,2,1,"[73, 114]",[40],bet365,3.75,2.25,2.75,bet365,3.25,3.5,2.1,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.7,1.29,1.33,,,0.49,0.51,6.0,3.0,3.0,1.0,4.0,6.0,19.0,16.0,2.0,4.0,4.0,1.0,0.0,1.0,0.41,0.59,2.0,2.0,1.0,1.0,2.0,2.0,0.53,0.47,2.0,1.0,1.0,0.0,2.0,4.0
dbYjCYWO,FINLAND,2024,Veikkausliiga 2024,23/10/2024,12:00,Conference League,VPS,Gnistan,0,1,[],[78],bet365,2.6,2.25,4.0,bet365,1.95,3.5,3.7,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.83,2.03,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.29,1.29,1.8,,,0.46,0.54,4.0,6.0,2.0,2.0,1.0,5.0,11.0,14.0,1.0,4.0,3.0,1.0,1.0,2.0,0.5,0.5,4.0,3.0,2.0,1.0,0.0,1.0,0.42,0.58,0.0,3.0,0.0,1.0,1.0,4.0
b5JBLvch,FINLAND,2024,Veikkausliiga 2024,19/10/2024,12:00,Championship Group,Haka,VPS,2,3,"[14, 48]","[11, 62, 90]",bet365,2.88,2.5,3.1,bet365,2.3,3.75,2.7,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.44,2.63,bet365,1.44,1.25,1.57,,,0.55,0.45,7.0,5.0,4.0,4.0,8.0,5.0,7.0,14.0,2.0,3.0,1.0,0.0,1.0,2.0,0.58,0.42,4.0,3.0,3.0,2.0,8.0,2.0,0.52,0.48,3.0,2.0,1.0,2.0,0.0,3.0
v33AN0Su,FINLAND,2024,Veikkausliiga 2024,19/10/2024,12:00,Championship Group,Ilves,SJK,4,0,"[14, 66, 72, 88]",[],bet365,2.05,2.63,4.75,bet365,1.57,4.2,5.25,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.5,2.5,bet365,1.17,1.22,2.3,,,0.52,0.48,10.0,9.0,7.0,4.0,0.0,10.0,8.0,7.0,2.0,1.0,1.0,1.0,4.0,3.0,0.57,0.43,3.0,2.0,2.0,1.0,0.0,3.0,0.47,0.53,7.0,7.0,5.0,3.0,0.0,7.0
lvO03csO,FINLAND,2024,Veikkausliiga 2024,19/10/2024,12:00,Championship Group,KuPS,HJK,1,0,[17],[],bet365,2.1,2.5,5.0,bet365,1.57,4.33,5.0,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.67,2.1,bet365,1.17,1.2,2.3,,,0.45,0.55,9.0,12.0,6.0,5.0,4.0,5.0,6.0,10.0,1.0,3.0,1.0,1.0,5.0,5.0,0.52,0.48,4.0,5.0,3.0,2.0,3.0,2.0,0.38,0.62,5.0,7.0,3.0,3.0,1.0,3.0
