Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
lMOHvSYI,GERMANY,2025-2026,2 Bundesliga 2025 2026,12/12/2025,14:30,Round 16,Greuther Furth,Hertha Berlin,3,3,"[42, 58, 81]","[33, 36, 62]",bet365,4.0,2.38,2.4,bet365,3.8,3.75,1.85,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.91,1.25,1.25,3.1,2.06,0.5,0.5,14.0,17.0,6.0,7.0,2.0,4.0,13.0,12.0,2.0,3.0,1.0,3.0,3.0,3.0,0.44,0.56,4.0,9.0,2.0,3.0,1.0,1.0,0.54,0.46,10.0,8.0,4.0,4.0,1.0,3.0
6ceremJa,GERMANY,2025-2026,2 Bundesliga 2025 2026,12/12/2025,14:30,Round 16,SG Dynamo Dresden,Braunschweig,2,3,"[54, 56]","[7, 21, 78]",bet365,2.88,2.2,3.75,bet365,2.2,3.3,3.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.8,1.91,bet365,1.36,1.33,1.67,1.74,2.52,0.51,0.49,10.0,17.0,8.0,5.0,7.0,8.0,8.0,13.0,3.0,4.0,1.0,0.0,2.0,6.0,0.5,0.5,2.0,14.0,1.0,4.0,2.0,6.0,0.51,0.49,8.0,3.0,7.0,1.0,5.0,2.0
QJBRTAK0,GERMANY,2025-2026,2 Bundesliga 2025 2026,07/12/2025,09:30,Round 15,Braunschweig,Holstein Kiel,1,1,[25],[50],bet365,3.2,2.2,3.25,bet365,2.55,3.5,2.6,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.73,2.0,bet365,1.5,1.29,1.5,2.25,0.72,0.37,0.63,20.0,11.0,3.0,2.0,2.0,4.0,13.0,17.0,1.0,5.0,2.0,3.0,1.0,2.0,0.32,0.68,8.0,7.0,1.0,2.0,1.0,1.0,0.43,0.57,12.0,4.0,2.0,0.0,1.0,3.0
hCOvwFcE,GERMANY,2025-2026,2 Bundesliga 2025 2026,07/12/2025,09:30,Round 15,Hertha Berlin,Magdeburg,0,2,[],"[74, 100]",bet365,2.2,2.6,4.33,bet365,1.73,3.9,4.5,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,1.18,1.25,2.05,2.05,1.98,0.49,0.51,19.0,18.0,5.0,5.0,7.0,5.0,16.0,7.0,0.0,3.0,1.0,0.0,3.0,5.0,0.4,0.6,3.0,6.0,1.0,0.0,1.0,4.0,0.58,0.42,16.0,12.0,4.0,5.0,6.0,1.0
Q5WhFB57,GERMANY,2025-2026,2 Bundesliga 2025 2026,07/12/2025,09:30,Round 15,Nurnberg,Greuther Furth,2,2,"[48, 57]","[53, 61]",bet365,2.25,2.4,4.5,bet365,1.73,4.1,4.33,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.62,2.2,bet365,1.18,1.22,2.05,1.33,1.39,0.62,0.38,13.0,10.0,3.0,6.0,5.0,3.0,12.0,17.0,2.0,3.0,2.0,1.0,5.0,1.0,0.63,0.37,2.0,4.0,0.0,1.0,0.0,3.0,0.61,0.39,11.0,6.0,3.0,5.0,5.0,0.0
YLWnygSQ,GERMANY,2025-2026,2 Bundesliga 2025 2026,06/12/2025,16:30,Round 15,Darmstadt,Karlsruher SC,3,2,"[45, 48, 63]","[38, 60]",bet365,2.2,2.5,4.5,bet365,1.67,4.0,4.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.57,2.25,bet365,1.18,1.22,2.15,2.78,0.81,0.58,0.42,24.0,10.0,10.0,3.0,8.0,9.0,6.0,10.0,1.0,2.0,1.0,0.0,2.0,7.0,0.67,0.33,11.0,3.0,3.0,1.0,5.0,1.0,0.49,0.51,13.0,7.0,7.0,2.0,3.0,8.0
6y23wOic,GERMANY,2025-2026,2 Bundesliga 2025 2026,06/12/2025,09:00,Round 15,Bochum,Arminia Bielefeld,1,0,[70],[],bet365,3.1,2.3,3.1,bet365,2.6,3.4,2.63,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.44,1.3,1.5,1.95,1.35,0.41,0.59,13.0,15.0,6.0,6.0,4.0,5.0,22.0,12.0,5.0,2.0,1.0,3.0,6.0,4.0,0.45,0.55,4.0,9.0,2.0,4.0,1.0,3.0,0.36,0.64,9.0,6.0,4.0,2.0,3.0,2.0
4jrpHXze,GERMANY,2025-2026,2 Bundesliga 2025 2026,06/12/2025,09:00,Round 15,Kaiserslautern,SG Dynamo Dresden,3,1,"[17, 52, 70]",[76],bet365,2.6,2.38,3.75,bet365,2.05,3.9,3.25,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.33,1.25,1.73,1.26,0.79,0.41,0.59,12.0,9.0,3.0,2.0,7.0,3.0,11.0,9.0,3.0,4.0,1.0,4.0,1.0,0.0,0.47,0.53,7.0,0.0,1.0,0.0,6.0,1.0,0.35,0.65,5.0,9.0,2.0,2.0,1.0,2.0
vk0By2M9,GERMANY,2025-2026,2 Bundesliga 2025 2026,06/12/2025,09:00,Round 15,Paderborn,Elversberg,1,2,[52],"[32, 76]",bet365,3.1,2.3,3.1,bet365,2.6,3.5,2.55,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.5,1.29,1.5,0.47,1.02,0.49,0.51,9.0,16.0,3.0,5.0,3.0,10.0,19.0,5.0,4.0,1.0,1.0,4.0,3.0,2.0,0.47,0.53,4.0,7.0,1.0,2.0,3.0,6.0,0.5,0.5,5.0,9.0,2.0,3.0,0.0,4.0
dQvxJg6r,GERMANY,2025-2026,2 Bundesliga 2025 2026,05/12/2025,14:30,Round 15,Dusseldorf,Schalke,0,2,[],"[47, 81]",bet365,3.75,2.2,2.75,bet365,3.25,3.4,2.2,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.67,1.3,1.33,0.94,2.45,0.55,0.45,14.0,14.0,1.0,7.0,1.0,4.0,15.0,8.0,7.0,1.0,6.0,1.0,5.0,1.0,0.58,0.42,9.0,7.0,1.0,5.0,0.0,2.0,0.53,0.47,5.0,7.0,0.0,2.0,1.0,2.0
