Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
hYej3k4C,GREECE,2024-2025,Super League 2024 2025,GREECE 1,22/05/2025,14:00,Relegation Group,Athens Kallithea,Lamia,3,0,"[12, 54, 59]",[],bet365,1.83,2.6,6.5,bet365,1.42,4.75,6.5,Betano.br,1.3,3.3,Betano.br,2.35,1.55,Betano.br,5.0,1.15,Betfair,1.01,13.0,Betfair,1.13,5.2,bet365,1.57,2.35,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.7,2.0,bet365,1.11,1.18,2.75,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2.52,0.28,0.63,0.79,0.28,2.52,0.28,-0.48,,,0.9,0.9,0.68,0.71,0.72,0.75,0.0,0.0,0.24,0.12,7.0,10.0,5.0,2.0,1.0,7.0,,,,,,,,,,,18.0,13.0,,,,,,,18.0,15.0,,,,,1.0,1.0,,,0.77,0.92,39.0,43.0,18.0,16.0,6.0,4.0,0.0,1.0,0.0,0.0,,,0.93,0.11,0.41,0.09,,,2.0,6.0,1.0,2.0,1.0,3.0,,,,,,,6.0,9.0,0.0,0.0,,,,,1.59,0.17,0.22,0.7,,,5.0,4.0,4.0,0.0,0.0,4.0,,,,,,,,,12.0,6.0,1.0,1.0,,
bXNNpslo,GREECE,2024-2025,Super League 2024 2025,GREECE 1,22/05/2025,12:00,Relegation Group,Levadiakos,Volos,3,2,"[27, 47, 54]","[20, 62]",bet365,2.05,2.4,5.5,bet365,1.53,4.5,5.25,Betano.br,1.28,3.45,Betano.br,2.25,1.6,Betano.br,4.7,1.17,Betfair,1.01,11.0,Betfair,1.17,4.5,bet365,1.67,2.15,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.73,2.0,bet365,1.17,1.18,2.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,3.18,1.09,1.3,0.5,1.09,3.18,-0.91,-0.07,,,0.86,0.81,0.48,0.44,0.74,0.63,3.0,0.0,0.3,0.5,14.0,10.0,5.0,2.0,7.0,5.0,,,,,,,,,,,22.0,14.0,,,,,,,11.0,14.0,,,,,0.0,0.0,,,0.65,0.64,53.0,37.0,18.0,12.0,2.0,11.0,0.0,0.0,1.0,2.0,,,0.94,0.25,0.65,0.43,,,5.0,8.0,1.0,1.0,3.0,5.0,,,,,,,6.0,7.0,0.0,0.0,,,,,2.24,0.84,0.65,0.07,,,9.0,2.0,4.0,1.0,4.0,0.0,,,,,,,,,5.0,7.0,0.0,0.0,,
CC5A8pth,GREECE,2024-2025,Super League 2024 2025,GREECE 1,22/05/2025,12:00,Relegation Group,Panetolikos,Panserraikos,1,0,[37],[],bet365,1.95,2.4,6.5,bet365,1.44,4.33,7.0,Betano.br,1.42,2.77,Betano.br,2.8,1.4,Betano.br,6.3,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,bet365,1.73,2.08,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.85,1.85,bet365,1.1,1.2,2.63,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.91,0.39,1.05,0.17,0.39,0.91,0.39,-0.18,,,0.87,0.81,0.74,0.42,0.72,0.7,0.0,0.0,0.31,0.25,16.0,8.0,4.0,3.0,10.0,4.0,,,,,,,,,,,41.0,8.0,,,,,,,18.0,12.0,,,,,3.0,1.0,,,0.44,0.62,53.0,39.0,5.0,24.0,7.0,3.0,0.0,0.0,0.0,0.0,,,0.5,0.29,0.72,0.07,,,9.0,3.0,2.0,1.0,6.0,2.0,,,,,,,9.0,6.0,1.0,0.0,,,,,0.41,0.1,0.33,0.1,,,7.0,5.0,2.0,2.0,4.0,2.0,,,,,,,,,9.0,6.0,2.0,1.0,,
tY0ACgsQ,GREECE,2024-2025,Super League 2024 2025,GREECE 1,18/05/2025,14:00,Relegation Group,Volos,Athens Kallithea,0,2,[],"[27, 72]",bet365,2.4,2.25,4.5,bet365,1.8,3.6,4.2,Betano.br,1.4,2.82,Betano.br,2.72,1.42,Betano.br,6.1,1.1,Betfair,1.02,10.0,Betfair,1.22,3.8,bet365,1.83,1.98,Betfair,3.0,1.33,Betfair,6.5,1.08,bet365,1.8,1.95,bet365,1.22,1.29,1.95,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.31,1.94,0.82,0.78,1.94,0.31,-0.06,0.31,,,0.85,0.75,0.55,0.41,0.77,0.54,1.0,1.0,0.15,0.36,14.0,9.0,2.0,5.0,10.0,2.0,,,,,,,,,,,16.0,22.0,,,,,,,13.0,14.0,,,,,2.0,2.0,,,0.53,0.63,45.0,51.0,14.0,23.0,3.0,6.0,0.0,0.0,1.0,0.0,,,0.31,0.42,0.45,0.28,,,6.0,2.0,2.0,2.0,3.0,0.0,,,,,,,5.0,7.0,1.0,2.0,,,,,0.0,1.52,0.37,0.5,,,8.0,7.0,0.0,3.0,7.0,2.0,,,,,,,,,8.0,7.0,1.0,0.0,,
WI7s5BZa,GREECE,2024-2025,Super League 2024 2025,GREECE 1,18/05/2025,12:00,Relegation Group,Lamia,Panetolikos,1,3,[35],"[16, 68, 76]",bet365,3.1,2.0,3.75,bet365,2.38,2.88,3.3,Betano.br,1.5,2.5,Betano.br,3.1,1.34,Betano.br,7.0,1.08,Betfair,1.06,7.5,Betfair,1.36,2.88,bet365,2.35,1.57,Betfair,4.0,1.2,Betfair,8.0,1.05,bet365,2.0,1.75,bet365,1.33,1.4,1.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.09,0.65,0.72,0.51,0.65,1.09,-2.29,0.09,,,0.82,0.85,0.55,0.6,0.76,0.6,0.0,0.0,0.14,0.38,9.0,11.0,2.0,3.0,3.0,6.0,,,,,,,,,,,15.0,18.0,,,,,,,9.0,13.0,,,,,1.0,6.0,,,0.6,0.6,53.0,44.0,18.0,26.0,6.0,8.0,1.0,0.0,1.0,0.0,,,0.31,0.07,0.67,0.3,,,5.0,4.0,1.0,1.0,2.0,2.0,,,,,,,5.0,10.0,1.0,4.0,,,,,0.78,0.58,0.05,0.21,,,4.0,7.0,1.0,2.0,1.0,4.0,,,,,,,,,4.0,3.0,0.0,2.0,,
Oh4Z6X4m,GREECE,2024-2025,Super League 2024 2025,GREECE 1,18/05/2025,09:00,Relegation Group,Panserraikos,Levadiakos,0,1,[],[41],bet365,3.75,2.25,2.63,bet365,3.5,3.4,2.1,Betano.br,1.4,2.8,Betano.br,2.67,1.44,Betano.br,5.9,1.11,Betfair,1.02,10.0,Betfair,1.2,4.0,bet365,1.8,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,bet365,1.75,2.0,bet365,1.7,1.3,1.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.31,1.64,1.23,0.92,1.64,0.31,0.94,0.31,,,0.86,0.79,0.46,0.58,0.69,0.61,2.0,2.0,0.45,0.11,14.0,19.0,3.0,4.0,7.0,11.0,,,,,,,,,,,34.0,25.0,,,,,,,14.0,16.0,,,,,1.0,0.0,,,0.61,0.3,45.0,50.0,16.0,17.0,9.0,6.0,1.0,2.0,0.0,0.0,,,0.0,1.1,0.72,0.49,,,4.0,11.0,0.0,3.0,2.0,7.0,,,,,,,6.0,7.0,1.0,0.0,,,,,0.31,0.54,0.51,0.43,,,10.0,8.0,3.0,1.0,5.0,4.0,,,,,,,,,8.0,9.0,0.0,0.0,,
pnH7hYkf,GREECE,2024-2025,Super League 2024 2025,GREECE 1,14/05/2025,14:00,Relegation Group,Athens Kallithea,Panserraikos,1,1,[10],[46],bet365,2.63,2.3,3.75,bet365,2.05,3.7,3.3,Betano.br,1.34,3.0,Betano.br,2.42,1.5,Betano.br,5.2,1.13,Betfair,1.01,11.0,Betfair,1.14,4.8,bet365,1.73,2.08,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.4,bet365,1.33,1.29,1.73,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.01,1.02,0.19,0.36,1.02,1.01,-0.07,-0.09,,,0.82,0.86,0.49,0.44,0.69,0.68,0.0,0.0,0.1,0.25,6.0,13.0,3.0,3.0,3.0,8.0,,,,,,,,,,,20.0,14.0,,,,,,,17.0,12.0,,,,,1.0,1.0,,,0.58,0.72,34.0,57.0,13.0,33.0,10.0,4.0,0.0,1.0,0.0,0.0,,,0.93,0.02,0.1,0.26,,,3.0,9.0,2.0,1.0,1.0,6.0,,,,,,,9.0,7.0,1.0,0.0,,,,,0.08,1.0,0.09,0.1,,,3.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,,8.0,5.0,0.0,1.0,,
hCKFjCK6,GREECE,2024-2025,Super League 2024 2025,GREECE 1,14/05/2025,14:00,Relegation Group,Volos,Lamia,3,0,"[2, 38, 40]",[],bet365,1.5,3.0,15.0,bet365,1.14,8.0,17.0,Betano.br,1.33,3.05,Betano.br,2.42,1.5,Estrelabet,4.5,1.15,Betfair,1.01,13.0,Betfair,1.13,5.2,bet365,1.57,2.35,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,2.6,1.44,bet365,1.03,1.08,5.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2.36,0.51,2.11,0.35,0.51,2.36,0.51,-0.66,,,0.9,0.81,0.73,0.49,0.76,0.6,3.0,1.0,0.24,0.33,18.0,4.0,6.0,1.0,10.0,1.0,,,,,,,,,,,24.0,2.0,,,,,,,20.0,15.0,,,,,3.0,1.0,,,0.67,0.64,42.0,39.0,5.0,14.0,7.0,13.0,0.0,1.0,0.0,1.0,,,2.36,0.0,1.88,0.22,,,12.0,1.0,4.0,0.0,6.0,1.0,,,,,,,7.0,6.0,2.0,0.0,,,,,0.0,0.51,0.23,0.13,,,6.0,3.0,2.0,1.0,4.0,0.0,,,,,,,,,13.0,9.0,1.0,1.0,,
lvEOljkJ,GREECE,2024-2025,Super League 2024 2025,GREECE 1,14/05/2025,12:00,Relegation Group,Levadiakos,Panetolikos,1,2,[11],"[39, 47]",bet365,2.25,2.1,6.0,bet365,1.65,3.6,5.75,Betano.br,1.4,2.72,Betano.br,2.75,1.4,Betano.br,6.0,1.1,Betfair,1.05,8.0,Betfair,1.29,3.3,bet365,2.15,1.67,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,2.05,1.67,bet365,1.14,1.29,2.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.04,1.84,1.03,0.76,1.84,0.04,-0.16,0.04,,,0.84,0.76,0.55,0.51,0.8,0.66,0.0,0.0,0.2,0.23,15.0,10.0,1.0,2.0,8.0,6.0,,,,,,,,,,,31.0,23.0,,,,,,,12.0,15.0,,,,,1.0,1.0,,,0.8,0.83,60.0,49.0,24.0,30.0,10.0,7.0,2.0,0.0,1.0,0.0,,,0.0,1.66,0.15,0.65,,,3.0,6.0,1.0,2.0,1.0,3.0,,,,,,,6.0,6.0,0.0,0.0,,,,,0.04,0.18,0.88,0.11,,,12.0,4.0,0.0,0.0,7.0,3.0,,,,,,,,,6.0,9.0,1.0,1.0,,
WWzbaXle,GREECE,2024-2025,Super League 2024 2025,GREECE 1,11/05/2025,14:00,Championship Group,Panathinaikos,Olympiacos Piraeus,0,1,[],[60],bet365,3.4,2.25,2.88,bet365,2.9,3.4,2.35,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.57,1.3,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.23,1.87,0.61,0.43,1.87,1.23,0.75,1.23,,,0.76,0.74,0.41,0.37,0.63,0.59,0.0,0.0,0.19,0.11,14.0,9.0,5.0,6.0,4.0,0.0,,,,,,,,,,,30.0,13.0,,,,,,,6.0,16.0,,,,,3.0,0.0,,,0.77,0.67,55.0,60.0,32.0,22.0,1.0,12.0,1.0,1.0,0.0,0.0,,,0.4,0.25,0.38,0.07,,,9.0,4.0,3.0,2.0,2.0,0.0,,,,,,,4.0,10.0,1.0,0.0,,,,,0.83,1.62,0.23,0.36,,,5.0,5.0,2.0,4.0,2.0,0.0,,,,,,,,,2.0,6.0,2.0,0.0,,
