Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
80SlMzF8,GREECE,2025-2026,Super League 2025 2026,08/12/2025,13:00,Round 13,Panserraikos,Panetolikos,0,1,[],[11],bet365,3.5,1.95,3.5,bet365,2.7,2.95,2.7,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.75,bet365,1.4,1.36,1.4,0.79,0.36,0.53,0.47,14.0,6.0,0.0,2.0,2.0,0.0,20.0,14.0,2.0,3.0,4.0,2.0,1.0,0.0,0.46,0.54,4.0,4.0,0.0,2.0,0.0,0.0,0.61,0.39,10.0,2.0,0.0,0.0,2.0,0.0
p4C9Pl43,GREECE,2025-2026,Super League 2025 2026,07/12/2025,16:00,Round 13,AEK Athens,Atromitos,4,1,"[18, 65, 70, 86]",[73],bet365,1.57,2.75,13.0,bet365,1.15,6.5,15.0,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.63,1.44,bet365,1.03,1.11,4.5,2.44,0.87,0.59,0.41,17.0,5.0,9.0,2.0,5.0,0.0,14.0,14.0,1.0,3.0,0.0,1.0,1.0,6.0,0.62,0.38,5.0,3.0,1.0,1.0,2.0,0.0,0.56,0.44,12.0,2.0,8.0,1.0,3.0,0.0
hjkM3Sbs,GREECE,2025-2026,Super League 2025 2026,07/12/2025,14:30,Round 13,PAOK,Aris,3,1,"[28, 48, 51]",[45],bet365,1.91,2.25,8.5,bet365,1.37,4.1,9.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.38,1.53,bet365,1.07,1.22,2.75,3.32,0.55,0.64,0.36,19.0,9.0,6.0,3.0,7.0,2.0,11.0,11.0,2.0,0.0,1.0,1.0,2.0,3.0,0.71,0.29,11.0,4.0,3.0,2.0,2.0,0.0,0.58,0.42,8.0,5.0,3.0,1.0,5.0,2.0
bRIPL63S,GREECE,2025-2026,Super League 2025 2026,07/12/2025,12:30,Round 13,AEL Larissa,Panathinaikos,2,2,"[37, 99]","[43, 74]",bet365,9.0,2.38,1.83,bet365,10.0,4.5,1.3,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,2.25,1.57,bet365,3.25,1.18,1.06,2.2,1.71,0.31,0.69,10.0,14.0,4.0,8.0,4.0,5.0,11.0,10.0,4.0,4.0,2.0,2.0,6.0,2.0,0.27,0.73,5.0,5.0,2.0,3.0,2.0,2.0,0.36,0.64,5.0,9.0,2.0,5.0,2.0,3.0
QDKHNSYF,GREECE,2025-2026,Super League 2025 2026,07/12/2025,12:00,Round 13,Asteras Tripolis,Levadiakos,1,1,[7],[77],bet365,3.75,2.1,2.88,bet365,3.05,3.5,2.1,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.67,1.29,1.36,0.41,1.38,0.28,0.72,6.0,14.0,3.0,5.0,2.0,9.0,19.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,0.21,0.79,4.0,7.0,3.0,2.0,1.0,6.0,0.34,0.66,2.0,7.0,0.0,3.0,1.0,3.0
IBadGpRk,GREECE,2025-2026,Super League 2025 2026,06/12/2025,15:30,Round 13,Volos,Kifisia,1,1,[43],[36],bet365,2.88,2.2,3.6,bet365,2.25,3.4,3.05,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.75,2.0,bet365,1.36,1.3,1.57,1.49,1.43,0.53,0.47,16.0,21.0,5.0,8.0,8.0,8.0,13.0,15.0,4.0,4.0,0.0,1.0,8.0,4.0,0.59,0.41,11.0,10.0,3.0,2.0,5.0,2.0,0.47,0.53,5.0,11.0,2.0,6.0,3.0,6.0
Qy34EOe2,GREECE,2025-2026,Super League 2025 2026,06/12/2025,12:00,Round 13,Olympiacos Piraeus,OFI Crete,3,0,"[33, 40, 63]",[],bet365,1.33,3.6,17.0,bet365,1.05,10.0,26.0,bet365,1.18,4.5,bet365,1.83,1.83,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,2.5,1.5,bet365,1.01,1.06,8.0,2.65,0.43,0.63,0.37,32.0,2.0,12.0,1.0,7.0,0.0,16.0,8.0,0.0,2.0,1.0,3.0,1.0,8.0,0.64,0.36,18.0,0.0,9.0,0.0,6.0,0.0,0.63,0.37,14.0,2.0,3.0,1.0,1.0,0.0
drWE37sp,GREECE,2025-2026,Super League 2025 2026,30/11/2025,16:00,Round 12,Panathinaikos,AEK Athens,2,3,"[71, 90]","[16, 47, 93]",bet365,3.4,2.05,3.4,bet365,2.65,2.85,2.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.91,bet365,1.4,1.4,1.44,1.6,2.02,0.5,0.5,14.0,7.0,5.0,4.0,5.0,2.0,18.0,22.0,4.0,5.0,0.0,1.0,0.0,3.0,0.45,0.55,6.0,4.0,2.0,2.0,3.0,2.0,0.54,0.46,8.0,3.0,3.0,2.0,2.0,0.0
6cPsBkkA,GREECE,2025-2026,Super League 2025 2026,30/11/2025,14:00,Round 12,Levadiakos,PAOK,2,3,"[10, 50]","[45, 55, 90]",bet365,4.33,2.25,2.5,bet365,4.1,3.4,1.86,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.91,1.3,1.22,2.15,1.39,0.42,0.58,13.0,14.0,5.0,6.0,2.0,5.0,14.0,14.0,0.0,2.0,6.0,2.0,3.0,3.0,0.35,0.65,5.0,7.0,1.0,2.0,0.0,3.0,0.52,0.48,8.0,7.0,4.0,4.0,2.0,2.0
Iyqmk8Sj,GREECE,2025-2026,Super League 2025 2026,30/11/2025,12:00,Round 12,Atromitos,Asteras Tripolis,0,1,[],[17],bet365,3.2,2.05,3.75,bet365,2.35,3.05,2.95,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,10.0,1.06,bet365,1.95,1.8,bet365,1.36,1.36,1.53,1.36,1.81,0.65,0.35,11.0,9.0,4.0,6.0,7.0,6.0,15.0,18.0,2.0,1.0,2.0,4.0,5.0,4.0,0.67,0.33,9.0,3.0,3.0,3.0,5.0,2.0,0.63,0.37,2.0,6.0,1.0,3.0,2.0,4.0
