Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
xb9oee24,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,08/12/2025,15:00,Round 13,Beitar Jerusalem,Hapoel Jerusalem,1,1,[85],[39],bet365,1.91,2.6,6.0,bet365,1.42,4.33,5.75,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.73,2.0,bet365,1.13,1.18,2.63,2.97,1.07,0.73,0.27,24.0,12.0,10.0,5.0,14.0,3.0,11.0,12.0,2.0,5.0,2.0,3.0,4.0,9.0,0.72,0.28,12.0,6.0,5.0,2.0,7.0,0.0,0.74,0.26,12.0,6.0,5.0,3.0,7.0,3.0
4pBwcHXi,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,08/12/2025,14:45,Round 13,Maccabi Bnei Raina,Sakhnin,0,1,[],[95],bet365,3.25,2.05,3.4,bet365,2.45,3.2,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.44,1.33,1.5,1.55,2.75,0.39,0.61,15.0,16.0,4.0,3.0,3.0,1.0,14.0,18.0,2.0,2.0,1.0,1.0,2.0,3.0,0.42,0.58,9.0,4.0,1.0,0.0,1.0,1.0,0.37,0.63,6.0,12.0,3.0,3.0,2.0,0.0
YP2fgZWG,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,08/12/2025,14:45,Round 13,SC Ashdod,Ironi Tiberias,1,1,[44],[65],bet365,2.5,2.25,4.0,bet365,1.9,3.5,3.4,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.29,1.25,1.8,1.21,0.8,0.55,0.45,12.0,9.0,2.0,5.0,5.0,3.0,15.0,11.0,5.0,1.0,2.0,1.0,4.0,1.0,0.63,0.37,8.0,3.0,1.0,1.0,2.0,1.0,0.46,0.54,4.0,6.0,1.0,4.0,3.0,2.0
QNsZoiPj,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,07/12/2025,15:30,Round 13,H. Beer Sheva,Maccabi Tel Aviv,1,0,[23],[],bet365,2.63,2.4,3.5,bet365,2.05,3.7,2.88,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.36,1.25,1.67,2.1,0.79,0.45,0.55,16.0,18.0,7.0,4.0,2.0,12.0,17.0,20.0,3.0,3.0,0.0,0.0,4.0,6.0,0.51,0.49,7.0,5.0,2.0,0.0,1.0,7.0,0.39,0.61,9.0,13.0,5.0,4.0,1.0,5.0
tj62iD1T,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,07/12/2025,15:00,Round 13,Hapoel Haifa,Netanya,3,4,"[47, 51, 90]","[13, 45, 56, 95]",bet365,3.2,2.5,2.75,bet365,2.63,3.9,2.1,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.44,2.63,bet365,1.62,1.22,1.4,1.29,2.82,0.46,0.54,8.0,38.0,5.0,23.0,2.0,10.0,12.0,11.0,4.0,3.0,4.0,1.0,18.0,3.0,0.48,0.52,4.0,17.0,3.0,12.0,2.0,6.0,0.44,0.56,4.0,21.0,2.0,11.0,0.0,4.0
4fEiZDuo,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,06/12/2025,14:30,Round 13,Kiryat Shmona,Maccabi Haifa,0,1,[],[98],bet365,4.75,2.25,2.38,bet365,4.0,3.5,1.75,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.8,1.91,bet365,1.91,1.25,1.2,0.62,2.65,0.4,0.6,13.0,21.0,7.0,6.0,3.0,10.0,14.0,13.0,5.0,1.0,3.0,3.0,5.0,7.0,0.44,0.56,6.0,7.0,4.0,2.0,3.0,6.0,0.36,0.64,7.0,14.0,3.0,4.0,0.0,4.0
YBNLvzIN,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,06/12/2025,10:00,Round 13,Hapoel Tel Aviv,Hapoel Petah Tikva,4,0,"[12, 28, 68, 77]",[],bet365,2.6,2.25,4.0,bet365,1.95,3.2,3.5,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.25,1.33,1.73,1.64,1.23,0.41,0.59,12.0,15.0,4.0,3.0,3.0,10.0,17.0,18.0,4.0,3.0,1.0,3.0,3.0,2.0,0.41,0.59,7.0,8.0,1.0,2.0,0.0,4.0,0.4,0.6,5.0,7.0,3.0,1.0,3.0,6.0
QPrwUI35,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,03/12/2025,15:00,Round 12,Maccabi Tel Aviv,Hapoel Haifa,2,1,"[57, 60]",[84],bet365,1.73,2.75,7.0,bet365,1.3,4.5,7.5,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.73,2.0,bet365,1.08,1.17,3.25,1.37,1.14,0.5,0.5,14.0,9.0,7.0,3.0,6.0,3.0,17.0,18.0,5.0,4.0,0.0,2.0,2.0,4.0,0.56,0.44,7.0,4.0,1.0,1.0,4.0,1.0,0.43,0.57,7.0,5.0,6.0,2.0,2.0,2.0
UHufQz3U,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,03/12/2025,14:45,Round 12,Ironi Tiberias,Beitar Jerusalem,0,5,[],"[9, 13, 21, 76, 82]",bet365,5.5,2.5,1.95,bet365,5.5,3.9,1.45,bet365,1.25,3.75,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.67,2.1,bet365,2.5,1.22,1.13,0.52,5.82,0.36,0.64,8.0,20.0,3.0,8.0,4.0,5.0,16.0,12.0,2.0,2.0,1.0,2.0,3.0,3.0,0.41,0.59,7.0,10.0,3.0,6.0,2.0,2.0,0.3,0.7,1.0,10.0,0.0,2.0,2.0,3.0
YknoSdYH,ISRAEL,2025-2026,Ligat Ha Al 2025 2026,03/12/2025,14:30,Round 12,Netanya,SC Ashdod,2,2,"[4, 44]","[73, 96]",bet365,2.5,2.38,4.0,bet365,1.85,3.4,3.4,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.29,1.29,1.8,3.83,1.82,0.44,0.56,15.0,20.0,4.0,8.0,6.0,11.0,13.0,8.0,3.0,2.0,1.0,0.0,6.0,2.0,0.44,0.56,9.0,7.0,3.0,2.0,3.0,2.0,0.43,0.57,6.0,13.0,1.0,6.0,3.0,9.0
