Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
r9FABj4C,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Atalanta,Parma,2,3,"[32, 33]","[49, 71, 91]",bet365,2.38,2.4,4.0,bet365,1.83,3.5,4.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.04,13.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.5,1.53,bet365,4.5,1.2,bet365,1.53,2.38,bet365,1.2,1.29,1.91,1.13,2.81,0.53,0.47,11.0,18.0,5.0,10.0,5.0,6.0,7.0,7.0,1.0,1.0,2.0,1.0,7.0,3.0,0.47,0.53,7.0,7.0,4.0,4.0,3.0,3.0,0.59,0.41,4.0,11.0,1.0,6.0,2.0,3.0
2DnySBlg,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Empoli,Verona,1,2,[43],"[4, 69]",bet365,2.75,1.83,5.5,bet365,1.95,2.9,5.0,bet365,1.67,2.1,bet365,4.33,1.2,bet365,15.0,1.03,bet365,1.17,5.0,bet365,1.67,2.2,bet365,3.2,1.36,bet365,6.5,1.11,bet365,15.0,1.03,bet365,2.5,1.5,bet365,1.17,1.4,1.8,1.15,0.83,0.7,0.3,14.0,5.0,5.0,2.0,13.0,1.0,10.0,29.0,2.0,2.0,1.0,1.0,0.0,4.0,0.72,0.28,8.0,1.0,4.0,1.0,6.0,0.0,0.68,0.32,6.0,4.0,1.0,1.0,7.0,1.0
MF2xQkJ5,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Lazio,Lecce,0,1,[],[43],bet365,1.91,2.5,6.5,bet365,1.4,4.5,8.5,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.04,13.0,bet365,1.2,4.5,bet365,1.62,2.3,bet365,2.63,1.5,bet365,4.5,1.2,bet365,1.8,1.95,bet365,1.08,1.18,2.75,1.64,0.42,0.73,0.27,26.0,9.0,7.0,3.0,14.0,4.0,11.0,11.0,2.0,3.0,1.0,0.0,2.0,7.0,0.64,0.36,4.0,7.0,1.0,2.0,5.0,4.0,0.82,0.18,22.0,2.0,6.0,1.0,9.0,0.0
tKZ2tB3n,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Torino,AS Roma,0,2,[],"[18, 53]",bet365,5.5,2.4,2.1,bet365,5.0,4.33,1.57,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.22,4.33,bet365,1.67,2.2,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.75,2.0,bet365,2.3,1.2,1.17,0.43,1.93,0.46,0.54,11.0,15.0,4.0,5.0,2.0,1.0,15.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,0.43,0.57,5.0,9.0,1.0,1.0,2.0,1.0,0.49,0.51,6.0,6.0,3.0,4.0,0.0,0.0
MTsBvkYb,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Udinese,Fiorentina,2,3,"[26, 61]","[46, 57, 82]",bet365,3.4,2.25,2.88,bet365,2.9,3.5,2.35,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.57,1.29,1.4,1.52,2.97,0.35,0.65,12.0,25.0,3.0,11.0,2.0,8.0,15.0,6.0,3.0,2.0,0.0,3.0,8.0,1.0,0.44,0.56,8.0,3.0,2.0,2.0,1.0,1.0,0.26,0.74,4.0,22.0,1.0,9.0,1.0,7.0
fstJxT2B,ITALY,2024-2025,Serie A 2024 2025,25/05/2025,15:45,Round 38,Venezia,Juventus,2,3,"[2, 55]","[25, 31, 73]",bet365,6.0,2.6,1.91,bet365,6.0,4.75,1.48,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.7,2.05,bet365,2.63,1.18,1.13,0.83,2.04,0.43,0.57,12.0,15.0,5.0,5.0,6.0,6.0,10.0,18.0,1.0,2.0,0.0,3.0,2.0,3.0,0.41,0.59,6.0,5.0,1.0,3.0,3.0,2.0,0.45,0.55,6.0,10.0,4.0,2.0,3.0,4.0
Uu6pOTmI,ITALY,2024-2025,Serie A 2024 2025,24/05/2025,15:45,Round 38,AC Milan,Monza,2,0,"[64, 74]",[],bet365,1.62,3.0,8.0,bet365,1.22,7.0,11.0,bet365,1.2,4.33,bet365,1.98,1.83,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.11,6.5,bet365,1.36,3.2,bet365,1.91,1.91,bet365,3.2,1.36,bet365,1.75,2.0,bet365,1.05,1.1,4.0,1.42,0.33,0.55,0.45,21.0,6.0,6.0,2.0,4.0,6.0,8.0,9.0,0.0,1.0,0.0,6.0,2.0,4.0,0.62,0.38,8.0,5.0,2.0,1.0,3.0,3.0,0.48,0.52,13.0,1.0,4.0,1.0,1.0,3.0
jZII9UYO,ITALY,2024-2025,Serie A 2024 2025,24/05/2025,13:00,Round 38,Bologna,Genoa,1,3,[64],"[17, 26, 43]",bet365,2.0,2.3,7.0,bet365,1.48,4.33,6.5,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.5,bet365,2.0,1.85,bet365,3.5,1.3,bet365,6.5,1.11,bet365,2.1,1.67,bet365,1.11,1.2,2.63,0.63,1.17,0.6,0.4,16.0,5.0,5.0,3.0,13.0,1.0,13.0,23.0,5.0,2.0,4.0,1.0,0.0,4.0,0.6,0.4,6.0,3.0,1.0,3.0,2.0,1.0,0.6,0.4,10.0,2.0,4.0,0.0,11.0,0.0
UalTTXJt,ITALY,2024-2025,Serie A 2024 2025,23/05/2025,15:45,Round 38,Como,Inter,0,2,[],"[20, 51]",bet365,4.33,2.5,2.25,bet365,4.33,4.1,1.73,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.38,bet365,2.38,1.57,bet365,4.33,1.22,bet365,1.57,2.25,bet365,2.05,1.22,1.2,1.43,1.56,0.4,0.6,18.0,11.0,4.0,7.0,1.0,4.0,10.0,9.0,1.0,3.0,0.0,3.0,5.0,4.0,0.41,0.59,8.0,6.0,3.0,5.0,1.0,2.0,0.39,0.61,10.0,5.0,1.0,2.0,0.0,2.0
jefgM7IU,ITALY,2024-2025,Serie A 2024 2025,23/05/2025,15:45,Round 38,Napoli,Cagliari,2,0,"[42, 51]",[],bet365,1.57,2.88,11.0,bet365,1.18,7.0,15.0,bet365,1.25,3.75,bet365,2.1,1.67,bet365,5.0,1.17,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.5,2.63,bet365,2.3,1.62,bet365,4.0,1.25,bet365,2.1,1.67,bet365,1.03,1.1,4.5,2.27,0.08,0.67,0.33,18.0,4.0,6.0,1.0,8.0,3.0,14.0,14.0,2.0,1.0,1.0,1.0,1.0,4.0,0.72,0.28,15.0,0.0,4.0,0.0,6.0,2.0,0.62,0.38,3.0,4.0,2.0,1.0,2.0,1.0
