Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
GdlkfCM5,NETHERLANDS,2025-2026,Eredivisie 2025 2026,13/12/2025,17:00,Round 16,Zwolle,Sittard,1,0,[6],[],bet365,3.1,2.3,3.1,bet365,2.55,3.6,2.6,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.5,1.29,1.5,1.58,0.71,0.35,0.65,8.0,11.0,3.0,3.0,2.0,12.0,17.0,13.0,3.0,3.0,1.0,1.0,4.0,2.0,0.41,0.59,6.0,4.0,2.0,1.0,1.0,7.0,0.3,0.7,2.0,7.0,1.0,2.0,1.0,5.0
8WpsdYig,NETHERLANDS,2025-2026,Eredivisie 2025 2026,13/12/2025,16:00,Round 16,PSV,Heracles,4,3,"[20, 32, 70, 81]","[51, 60, 73]",bet365,1.4,3.75,11.0,bet365,1.1,12.0,15.0,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.75,1.4,BetEsporte,1.01,40.0,bet365,1.04,13.0,bet365,1.18,4.5,bet365,1.5,2.5,bet365,2.0,1.73,bet365,1.7,2.05,bet365,1.03,1.05,7.0,3.21,2.65,0.66,0.34,21.0,11.0,7.0,6.0,10.0,4.0,12.0,7.0,2.0,4.0,0.0,0.0,3.0,3.0,0.66,0.34,12.0,2.0,3.0,1.0,5.0,2.0,0.66,0.34,9.0,9.0,4.0,5.0,5.0,2.0
O2cEftYo,NETHERLANDS,2025-2026,Eredivisie 2025 2026,13/12/2025,14:45,Round 16,Groningen,FC Volendam,3,0,"[38, 74, 89]",[],bet365,1.8,2.63,7.0,bet365,1.33,4.5,7.0,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.8,1.95,bet365,1.08,1.17,3.0,2.66,0.22,0.68,0.32,26.0,5.0,7.0,1.0,18.0,1.0,7.0,11.0,0.0,1.0,2.0,2.0,0.0,3.0,0.63,0.37,14.0,2.0,3.0,0.0,11.0,1.0,0.73,0.27,12.0,3.0,4.0,1.0,7.0,0.0
YHfWwixP,NETHERLANDS,2025-2026,Eredivisie 2025 2026,13/12/2025,12:30,Round 16,Telstar,Nijmegen,2,2,"[21, 61]","[42, 77]",bet365,3.4,2.5,2.6,bet365,3.0,4.0,2.1,bet365,1.25,3.75,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.48,2.6,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.44,2.63,bet365,1.7,1.22,1.36,1.82,2.35,0.33,0.67,10.0,16.0,4.0,8.0,5.0,7.0,8.0,11.0,0.0,2.0,4.0,1.0,5.0,2.0,0.32,0.68,1.0,9.0,1.0,6.0,3.0,6.0,0.33,0.67,9.0,7.0,3.0,2.0,2.0,1.0
2iJikQv9,NETHERLANDS,2025-2026,Eredivisie 2025 2026,07/12/2025,12:45,Round 15,Sparta Rotterdam,NAC Breda,1,0,[26],[],bet365,3.0,2.25,3.25,bet365,2.45,3.4,2.8,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.4,1.3,1.53,2.42,2.26,0.41,0.59,12.0,22.0,6.0,9.0,1.0,14.0,11.0,10.0,1.0,1.0,4.0,2.0,8.0,4.0,0.52,0.48,9.0,7.0,4.0,3.0,0.0,4.0,0.32,0.68,3.0,15.0,2.0,6.0,1.0,10.0
xj1NuD7C,NETHERLANDS,2025-2026,Eredivisie 2025 2026,07/12/2025,10:30,Round 15,AZ Alkmaar,G.A. Eagles,2,2,"[31, 40]","[10, 80]",bet365,1.67,2.88,7.0,bet365,1.3,5.75,8.5,bet365,1.2,4.33,bet365,1.91,1.8,bet365,4.0,1.22,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.9,1.9,bet365,3.0,1.36,bet365,1.67,2.1,bet365,1.08,1.14,3.4,2.0,1.54,0.48,0.52,23.0,12.0,7.0,7.0,11.0,4.0,8.0,8.0,2.0,1.0,0.0,1.0,4.0,6.0,0.4,0.6,10.0,6.0,5.0,4.0,3.0,1.0,0.57,0.43,13.0,6.0,2.0,3.0,8.0,3.0
hp4ykHpQ,NETHERLANDS,2025-2026,Eredivisie 2025 2026,07/12/2025,10:30,Round 15,FC Volendam,Nijmegen,2,3,"[43, 90]","[46, 74, 95]",bet365,4.33,2.63,2.1,bet365,4.5,4.2,1.67,bet365,1.2,4.33,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.36,3.1,bet365,1.9,1.9,bet365,3.0,1.36,bet365,1.44,2.63,bet365,2.15,1.22,1.18,2.14,1.29,0.43,0.57,13.0,16.0,5.0,7.0,4.0,8.0,7.0,17.0,2.0,5.0,0.0,2.0,4.0,3.0,0.36,0.64,6.0,8.0,3.0,3.0,2.0,6.0,0.51,0.49,7.0,8.0,2.0,4.0,2.0,2.0
8A96qe8m,NETHERLANDS,2025-2026,Eredivisie 2025 2026,07/12/2025,08:15,Round 15,Utrecht,Twente,1,1,[52],[82],bet365,3.1,2.2,3.25,bet365,2.45,3.5,2.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.83,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.4,1.29,1.53,0.82,1.54,0.37,0.63,12.0,21.0,4.0,6.0,6.0,8.0,8.0,8.0,1.0,2.0,2.0,0.0,5.0,2.0,0.35,0.65,7.0,4.0,1.0,1.0,3.0,1.0,0.39,0.61,5.0,17.0,3.0,5.0,3.0,7.0
xxMlRDhJ,NETHERLANDS,2025-2026,Eredivisie 2025 2026,06/12/2025,17:00,Round 15,Feyenoord,Zwolle,6,1,"[11, 20, 37, 42, 55, 84]",[95],bet365,1.44,3.4,10.0,bet365,1.17,8.5,13.0,bet365,1.14,5.5,bet365,1.73,2.0,bet365,3.4,1.3,bet365,1.01,29.0,bet365,1.06,10.0,bet365,1.25,4.0,bet365,1.62,2.2,bet365,2.38,1.53,bet365,1.75,2.0,bet365,1.04,1.08,5.0,3.4,0.97,0.57,0.43,25.0,7.0,12.0,4.0,8.0,4.0,17.0,12.0,1.0,1.0,1.0,2.0,3.0,6.0,0.61,0.39,10.0,0.0,7.0,0.0,2.0,1.0,0.52,0.48,15.0,7.0,5.0,4.0,6.0,3.0
8dUXUegf,NETHERLANDS,2025-2026,Eredivisie 2025 2026,06/12/2025,16:00,Round 15,Heracles,Telstar,1,1,[93],[67],bet365,2.88,2.38,3.25,bet365,2.3,3.75,2.75,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.4,1.25,1.57,2.21,0.75,0.46,0.54,15.0,11.0,6.0,2.0,6.0,6.0,15.0,12.0,3.0,2.0,1.0,0.0,1.0,5.0,0.36,0.64,8.0,5.0,3.0,0.0,2.0,3.0,0.58,0.42,7.0,6.0,3.0,2.0,4.0,3.0
