Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
YqZJhdvP,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,13/12/2025,12:00,Round 20,Carrick Rangers,Dungannon,3,3,"[37, 75, 79]","[3, 58, 91]",Betfair,2.88,2.2,3.2,Betfair,2.3,3.25,2.63,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.6,2.15,Betfair,1.4,1.25,1.5,,,0.56,0.44,13.0,5.0,4.0,3.0,6.0,6.0,,,1.0,2.0,,,,,0.63,0.37,6.0,2.0,1.0,1.0,3.0,1.0,0.49,0.51,7.0,3.0,3.0,2.0,3.0,5.0
EwiSd8jt,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,13/12/2025,12:00,Round 20,Cliftonville,Glenavon,5,2,"[3, 43, 47, 83, 95]","[29, 41]",Betfair,1.73,2.5,6.5,Betfair,1.29,4.6,7.5,Betfair,1.25,3.5,Betfair,2.38,1.53,Betfair,5.5,1.13,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.83,1.83,Betfair,1.05,1.13,3.1,,,0.59,0.41,11.0,3.0,8.0,2.0,10.0,0.0,,,4.0,2.0,,,,,0.61,0.39,6.0,3.0,5.0,2.0,4.0,0.0,0.57,0.43,5.0,0.0,3.0,0.0,6.0,0.0
EJ8qi4KH,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,13/12/2025,12:00,Round 20,Linfield,Crusaders,4,0,"[5, 21, 50, 71]",[],Betfair,1.62,2.7,8.0,Betfair,1.2,5.0,9.5,Betfair,1.22,3.75,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.95,1.73,Betfair,1.04,1.11,3.75,,,0.57,0.43,12.0,5.0,8.0,2.0,11.0,8.0,,,1.0,3.0,,,,,0.64,0.36,6.0,2.0,4.0,1.0,6.0,3.0,0.5,0.5,6.0,3.0,4.0,1.0,5.0,5.0
zZdhkrkU,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,13/12/2025,12:00,Round 20,Portadown,Ballymena,1,0,[77],[],Betfair,2.88,2.2,3.3,Betfair,2.2,3.25,2.75,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,6.5,1.08,Betfair,1.67,2.05,Betfair,1.36,1.25,1.53,,,0.55,0.45,3.0,5.0,1.0,0.0,2.0,2.0,,,3.0,3.0,,,,,0.63,0.37,0.0,4.0,0.0,0.0,1.0,0.0,0.46,0.54,3.0,1.0,1.0,0.0,1.0,2.0
nikzenLh,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,12/12/2025,16:45,Round 20,Coleraine,Bangor FC,2,0,"[7, 15]",[],Betfair,1.53,2.88,9.0,Betfair,1.15,6.0,11.0,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,2.05,1.67,Betfair,1.03,1.08,4.33,,,0.6,0.4,14.0,7.0,7.0,2.0,7.0,2.0,,,1.0,1.0,,,,,0.6,0.4,8.0,2.0,4.0,0.0,1.0,2.0,0.6,0.4,6.0,5.0,3.0,2.0,6.0,0.0
6g5ygQk5,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,12/12/2025,16:45,Round 20,Larne,Glentoran,1,0,[82],[],Betfair,2.8,2.0,3.75,Betfair,2.05,3.0,3.3,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.95,1.73,Betfair,1.25,1.3,1.62,,,0.45,0.55,4.0,13.0,2.0,3.0,1.0,4.0,,,,,,,,,0.43,0.57,2.0,4.0,1.0,1.0,0.0,1.0,0.47,0.53,2.0,9.0,1.0,2.0,1.0,3.0
GptSfR3e,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,06/12/2025,12:00,Round 19,Ballymena,Dungannon,1,2,[29],"[8, 76]",Betfair,3.4,2.1,2.88,Betfair,2.7,3.1,2.3,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.0,1.07,Betfair,1.02,10.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.7,2.0,Betfair,1.5,1.3,1.36,,,0.46,0.54,9.0,10.0,3.0,5.0,3.0,9.0,,,1.0,2.0,,,,,0.41,0.59,5.0,2.0,2.0,1.0,1.0,6.0,0.51,0.49,4.0,8.0,1.0,4.0,2.0,3.0
CCZzg5Y7,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,06/12/2025,12:00,Round 19,Coleraine,Carrick Rangers,3,1,"[59, 83, 89]",[28],Betfair,1.67,2.63,8.0,Betfair,1.2,5.0,9.5,Betfair,1.25,3.5,Betfair,2.38,1.53,Betfair,5.5,1.13,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.6,1.44,Betfair,4.8,1.14,Betfair,2.05,1.67,Betfair,1.03,1.11,3.6,,,0.57,0.43,8.0,3.0,3.0,3.0,5.0,2.0,,,4.0,2.0,,,,,0.57,0.43,4.0,2.0,0.0,2.0,2.0,1.0,0.57,0.43,4.0,1.0,3.0,1.0,3.0,1.0
46MMG8QE,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,06/12/2025,12:00,Round 19,Crusaders,Portadown,0,4,[],"[43, 64, 81, 86]",Betfair,2.8,2.2,3.4,Betfair,2.1,3.25,2.9,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.6,2.15,Betfair,1.33,1.25,1.62,,,0.53,0.47,3.0,10.0,1.0,7.0,6.0,6.0,,,1.0,2.0,,,,,0.52,0.48,1.0,3.0,0.0,3.0,2.0,3.0,0.54,0.46,2.0,7.0,1.0,4.0,4.0,3.0
b7veb0Am,NORTHERN-IRELAND,2025-2026,Nifl Premiership 2025 2026,06/12/2025,12:00,Round 19,Glenavon,Bangor FC,1,2,[7],"[31, 42]",Betfair,3.1,2.2,2.88,Betfair,2.55,3.25,2.38,Betfair,1.3,3.2,Betfair,2.75,1.4,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.6,2.15,Betfair,1.44,1.25,1.4,,,0.54,0.46,8.0,8.0,4.0,3.0,2.0,2.0,,,0.0,4.0,,,,,0.54,0.46,4.0,4.0,3.0,3.0,1.0,0.0,0.54,0.46,4.0,4.0,1.0,0.0,1.0,2.0
