Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
EwHllUu3,PERU,2025,Liga 1 2025,06/12/2025,22:00,Play Offs,Alianza Lima,Sporting Cristal,3,4,"[16, 27, 46]","[7, 82, 91]",bet365,2.63,2.0,5.0,bet365,1.95,3.2,4.2,bet365,1.5,2.5,bet365,3.5,1.29,bet365,10.0,1.06,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.22,1.36,1.8,2.83,1.37,0.37,0.63,18.0,12.0,6.0,4.0,7.0,10.0,16.0,11.0,3.0,3.0,0.0,0.0,1.0,2.0,0.45,0.55,14.0,8.0,6.0,1.0,5.0,5.0,0.31,0.69,4.0,4.0,0.0,3.0,2.0,5.0
Ysv2QQmd,PERU,2025,Liga 1 2025,02/12/2025,22:00,Play Offs,Sporting Cristal,Alianza Lima,1,1,[68],[82],bet365,3.25,1.95,3.75,bet365,2.45,3.0,3.0,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.36,1.36,1.53,1.08,1.01,0.67,0.33,10.0,15.0,3.0,5.0,5.0,5.0,14.0,15.0,1.0,2.0,0.0,4.0,4.0,2.0,0.65,0.35,6.0,3.0,2.0,1.0,3.0,1.0,0.71,0.29,4.0,12.0,1.0,4.0,2.0,4.0
8ETKpaZI,PERU,2025,Liga 1 2025,23/11/2025,17:00,Clausura,Alianza Huanuco,Juan Pablo II,3,0,"[38, 47, 81]",[],bet365,2.3,2.38,4.33,bet365,1.8,3.7,4.33,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.2,1.29,1.95,0.8,0.42,0.58,0.42,16.0,8.0,4.0,1.0,5.0,2.0,13.0,14.0,1.0,2.0,1.0,2.0,0.0,1.0,0.66,0.34,9.0,2.0,2.0,0.0,3.0,0.0,0.5,0.5,7.0,6.0,2.0,1.0,2.0,2.0
QVy4lszf,PERU,2025,Liga 1 2025,23/11/2025,17:00,Clausura,Alianza Lima,Cajamarca,3,0,"[17, 31, 85]",[],bet365,1.44,3.2,13.0,bet365,1.13,7.5,17.0,bet365,1.2,4.33,bet365,2.03,1.78,bet365,4.0,1.22,bet365,1.02,21.0,bet365,1.11,6.5,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.25,1.33,bet365,2.25,1.57,bet365,1.03,1.1,6.0,1.68,1.06,0.47,0.53,12.0,8.0,4.0,6.0,6.0,3.0,10.0,12.0,3.0,3.0,3.0,2.0,6.0,1.0,0.56,0.44,6.0,4.0,2.0,3.0,2.0,3.0,0.4,0.6,6.0,4.0,2.0,3.0,4.0,0.0
Khcw3tkm,PERU,2025,Liga 1 2025,23/11/2025,17:00,Clausura,Cienciano,Ayacucho,2,1,"[65, 82]",[73],bet365,1.95,2.5,6.0,bet365,1.5,4.5,5.75,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.73,2.0,bet365,1.14,1.18,2.5,1.18,0.96,0.68,0.32,20.0,11.0,6.0,2.0,7.0,3.0,6.0,14.0,4.0,2.0,1.0,4.0,1.0,4.0,0.74,0.26,8.0,5.0,2.0,1.0,3.0,2.0,0.62,0.38,12.0,6.0,4.0,1.0,4.0,1.0
Qk0o1KJa,PERU,2025,Liga 1 2025,23/11/2025,17:00,Clausura,Comerciantes Unidos,AD Tarma,0,0,[],[],bet365,4.33,2.1,2.75,bet365,3.5,3.3,2.0,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.8,1.33,1.29,0.52,1.09,0.52,0.48,12.0,15.0,3.0,2.0,2.0,3.0,15.0,11.0,2.0,4.0,0.0,3.0,2.0,3.0,0.48,0.52,5.0,8.0,2.0,1.0,2.0,1.0,0.56,0.44,7.0,7.0,1.0,1.0,0.0,2.0
CnzCnL46,PERU,2025,Liga 1 2025,23/11/2025,17:00,Clausura,Sport Huancayo,Cusco,1,2,[74],"[48, 68]",bet365,2.75,2.3,3.6,bet365,2.2,3.4,3.2,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.36,1.3,1.67,2.33,0.24,0.48,0.52,23.0,2.0,5.0,2.0,8.0,0.0,10.0,9.0,1.0,2.0,2.0,1.0,0.0,4.0,0.46,0.54,7.0,1.0,1.0,1.0,3.0,0.0,0.51,0.49,16.0,1.0,4.0,1.0,5.0,0.0
08G682RP,PERU,2025,Liga 1 2025,22/11/2025,17:30,Clausura,Los Chankas,U. de Deportes,3,1,"[14, 38, 48]",[60],bet365,5.0,2.2,2.38,bet365,4.33,3.7,1.73,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.91,1.8,bet365,2.05,1.29,1.2,1.63,1.04,0.48,0.52,14.0,7.0,7.0,3.0,2.0,6.0,10.0,10.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.5,10.0,2.0,6.0,0.0,1.0,3.0,0.46,0.54,4.0,5.0,1.0,3.0,1.0,3.0
4Gmej35s,PERU,2025,Liga 1 2025,19/11/2025,17:00,Clausura,Grau,Sporting Cristal,1,2,[67],"[36, 53]",bet365,2.75,2.25,3.6,bet365,2.2,3.3,3.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.83,1.98,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.33,1.33,1.67,0.42,0.63,0.62,0.38,8.0,6.0,1.0,4.0,4.0,3.0,9.0,16.0,2.0,3.0,6.0,1.0,2.0,1.0,0.62,0.38,0.0,4.0,0.0,3.0,1.0,2.0,0.61,0.39,8.0,2.0,1.0,1.0,3.0,1.0
YXdPePsK,PERU,2025,Liga 1 2025,16/11/2025,17:00,Clausura,Sport Boys,Alianza Atl.,0,1,[],[19],bet365,2.63,2.05,4.75,bet365,1.95,3.2,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.73,bet365,1.22,1.36,1.8,1.61,2.23,0.6,0.4,14.0,17.0,2.0,6.0,1.0,2.0,11.0,17.0,3.0,3.0,2.0,2.0,5.0,2.0,0.67,0.33,8.0,11.0,1.0,6.0,0.0,1.0,0.54,0.46,6.0,6.0,1.0,0.0,1.0,1.0
