Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
MDyJWwaC,POLAND,2025-2026,Ekstraklasa 2025 2026,08/12/2025,15:00,Round 18,Korona Kielce,Wisla Plock,1,1,[84],[13],bet365,2.63,2.05,4.5,bet365,1.91,3.1,3.8,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.75,bet365,1.22,1.33,1.73,1.45,0.42,0.56,0.44,17.0,9.0,3.0,4.0,4.0,4.0,13.0,9.0,1.0,1.0,0.0,2.0,3.0,2.0,0.52,0.48,8.0,4.0,1.0,3.0,2.0,2.0,0.6,0.4,9.0,5.0,2.0,1.0,2.0,2.0
Yi5ykLEt,POLAND,2025-2026,Ekstraklasa 2025 2026,07/12/2025,13:30,Round 18,Rakow,GKS Katowice,1,0,[67],[],bet365,2.05,2.38,5.5,bet365,1.53,3.8,5.25,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.8,1.95,bet365,1.14,1.22,2.25,1.46,0.95,0.48,0.52,19.0,10.0,3.0,0.0,5.0,0.0,9.0,11.0,2.0,0.0,0.0,3.0,0.0,2.0,0.5,0.5,4.0,3.0,0.0,0.0,3.0,0.0,0.46,0.54,15.0,7.0,3.0,0.0,2.0,0.0
IuVRUHTO,POLAND,2025-2026,Ekstraklasa 2025 2026,07/12/2025,10:45,Round 18,Cracovia,Lech Poznan,2,2,"[44, 79]","[17, 81]",bet365,3.2,2.3,3.1,bet365,2.55,3.4,2.45,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.62,2.2,bet365,1.53,1.3,1.5,2.06,1.33,0.62,0.38,16.0,9.0,7.0,6.0,7.0,5.0,20.0,9.0,3.0,4.0,0.0,0.0,4.0,4.0,0.55,0.45,9.0,6.0,2.0,5.0,4.0,1.0,0.7,0.3,7.0,3.0,5.0,1.0,3.0,4.0
hzurVQN7,POLAND,2025-2026,Ekstraklasa 2025 2026,07/12/2025,08:15,Round 18,Termalica B-B.,Jagiellonia,2,1,"[25, 77]",[40],bet365,3.75,2.4,2.5,bet365,3.3,3.7,1.95,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.8,1.29,1.33,0.77,0.68,0.27,0.73,6.0,17.0,1.0,7.0,2.0,10.0,18.0,10.0,1.0,2.0,0.0,0.0,6.0,0.0,0.22,0.78,1.0,10.0,0.0,5.0,0.0,5.0,0.32,0.68,5.0,7.0,1.0,2.0,2.0,5.0
UJbpmaqg,POLAND,2025-2026,Ekstraklasa 2025 2026,06/12/2025,16:15,Round 18,Piast Gliwice,Legia,2,0,"[85, 93]",[],bet365,3.75,2.1,3.0,bet365,3.1,3.1,2.2,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.95,bet365,1.57,1.33,1.33,1.51,1.6,0.49,0.51,13.0,14.0,6.0,7.0,5.0,2.0,13.0,19.0,3.0,4.0,3.0,1.0,7.0,3.0,0.48,0.52,7.0,6.0,3.0,4.0,3.0,1.0,0.51,0.49,6.0,8.0,3.0,3.0,2.0,1.0
zH1howE5,POLAND,2025-2026,Ekstraklasa 2025 2026,06/12/2025,13:30,Round 18,Zaglebie,Widzew Lodz,2,1,"[86, 95]",[50],bet365,3.0,2.2,3.5,bet365,2.3,3.4,2.7,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,1.95,1.85,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.4,1.29,1.53,0.88,0.98,0.5,0.5,15.0,14.0,6.0,6.0,4.0,3.0,6.0,17.0,2.0,6.0,1.0,4.0,5.0,4.0,0.45,0.55,3.0,7.0,1.0,4.0,1.0,1.0,0.56,0.44,12.0,7.0,5.0,2.0,3.0,2.0
Esk2zMam,POLAND,2025-2026,Ekstraklasa 2025 2026,06/12/2025,10:45,Round 18,Pogon Szczecin,Radomiak Radom,2,2,"[37, 40]","[54, 76]",bet365,2.6,2.38,3.75,bet365,2.0,3.5,3.2,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.33,1.25,1.67,2.23,0.77,0.44,0.56,15.0,10.0,4.0,5.0,9.0,7.0,17.0,15.0,5.0,2.0,7.0,2.0,3.0,2.0,0.51,0.49,9.0,3.0,2.0,2.0,3.0,4.0,0.37,0.63,6.0,7.0,2.0,3.0,6.0,3.0
KMtzXnge,POLAND,2025-2026,Ekstraklasa 2025 2026,06/12/2025,08:15,Round 18,Arka Gdynia,Motor Lublin,1,0,[82],[],bet365,3.25,2.1,3.25,bet365,2.6,3.2,2.6,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.95,bet365,1.5,1.36,1.5,1.8,0.89,0.4,0.6,16.0,13.0,6.0,2.0,6.0,5.0,13.0,18.0,2.0,3.0,2.0,1.0,2.0,5.0,0.37,0.63,8.0,5.0,3.0,1.0,1.0,2.0,0.43,0.57,8.0,8.0,3.0,1.0,5.0,3.0
8rNUhUFE,POLAND,2025-2026,Ekstraklasa 2025 2026,05/12/2025,16:30,Round 18,Lechia Gdansk,Gornik Zabrze,5,2,"[7, 49, 53, 60, 71]","[35, 62]",bet365,2.5,2.3,4.33,bet365,1.85,3.6,3.6,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.7,2.05,bet365,1.25,1.25,1.8,1.35,1.72,0.4,0.6,10.0,15.0,5.0,3.0,3.0,6.0,14.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,0.49,0.51,4.0,4.0,3.0,2.0,2.0,1.0,0.3,0.7,6.0,11.0,2.0,1.0,1.0,5.0
jHJrVdmR,POLAND,2025-2026,Ekstraklasa 2025 2026,04/12/2025,13:00,Round 8,Wisla Plock,Cracovia,0,0,[],[],bet365,3.4,2.0,3.5,bet365,2.55,3.0,2.7,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,1.95,1.8,bet365,1.4,1.33,1.44,0.28,0.34,0.43,0.57,8.0,7.0,4.0,1.0,3.0,2.0,8.0,16.0,2.0,2.0,0.0,2.0,1.0,4.0,0.39,0.61,3.0,3.0,1.0,0.0,1.0,2.0,0.47,0.53,5.0,4.0,3.0,1.0,2.0,0.0
