Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
44FiS0sR,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,13/12/2025,11:00,Round 14,Academico Viseu,SC Farense,3,0,"[40, 73, 80]",[],bet365,2.88,2.05,4.0,bet365,2.1,3.0,3.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.33,1.33,1.62,,,0.44,0.56,12.0,5.0,6.0,2.0,4.0,6.0,20.0,13.0,3.0,3.0,2.0,4.0,,,0.45,0.55,7.0,3.0,2.0,1.0,2.0,1.0,0.43,0.57,5.0,2.0,4.0,1.0,2.0,5.0
8xMrUMCE,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,13/12/2025,08:00,Round 14,Leiria,Felgueiras,2,3,"[41, 48]","[32, 72, 98]",bet365,3.0,2.1,3.6,bet365,2.2,3.1,3.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.33,1.33,1.57,,,0.41,0.59,11.0,13.0,6.0,7.0,4.0,6.0,18.0,11.0,3.0,0.0,2.0,0.0,,,0.45,0.55,4.0,6.0,4.0,3.0,2.0,2.0,0.37,0.63,7.0,7.0,2.0,4.0,2.0,4.0
2uZd6JK7,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,12/12/2025,17:15,Round 14,Torreense,Feirense,2,3,"[22, 70]","[41, 52, 96]",bet365,3.2,1.91,4.33,bet365,2.25,2.7,3.3,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.3,1.4,1.53,,,0.45,0.55,8.0,16.0,5.0,10.0,4.0,10.0,5.0,12.0,1.0,3.0,2.0,1.0,,,0.51,0.49,4.0,6.0,2.0,4.0,3.0,3.0,0.4,0.6,4.0,10.0,3.0,6.0,1.0,7.0
YastA1Lr,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,12/12/2025,15:00,Round 14,FC Porto B,Penafiel,1,0,[40],[],bet365,3.0,2.05,3.75,bet365,2.2,3.0,3.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.33,1.33,1.57,,,0.52,0.48,7.0,10.0,5.0,1.0,6.0,6.0,13.0,16.0,4.0,2.0,2.0,1.0,,,0.5,0.5,3.0,7.0,1.0,1.0,2.0,4.0,0.54,0.46,4.0,3.0,4.0,0.0,4.0,2.0
vaP7S9yA,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,12/12/2025,15:00,Round 14,Oliveirense,Chaves,2,3,"[9, 47]","[49, 54, 73]",bet365,4.33,2.1,2.75,bet365,3.5,3.1,1.95,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.73,1.33,1.25,,,0.5,0.5,9.0,9.0,5.0,8.0,6.0,5.0,14.0,17.0,3.0,4.0,0.0,2.0,,,0.41,0.59,5.0,4.0,3.0,3.0,3.0,3.0,0.57,0.43,4.0,5.0,2.0,5.0,3.0,2.0
SQba1XxB,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,08/12/2025,12:30,Round 13,SC Farense,Vizela,2,0,"[11, 73]",[],bet365,3.2,2.05,3.6,bet365,2.4,3.0,2.8,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.36,1.33,1.5,,,0.37,0.63,5.0,9.0,3.0,4.0,1.0,3.0,20.0,10.0,4.0,5.0,1.0,0.0,,,0.35,0.65,2.0,4.0,1.0,3.0,1.0,1.0,0.39,0.61,3.0,5.0,2.0,1.0,0.0,2.0
fyqvfkVp,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,07/12/2025,12:30,Round 13,Chaves,Pacos Ferreira,2,0,"[29, 90]",[],bet365,2.2,2.2,6.0,bet365,1.57,3.3,5.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.13,1.3,2.2,,,0.53,0.47,12.0,6.0,5.0,2.0,5.0,6.0,7.0,12.0,4.0,3.0,1.0,1.0,,,0.5,0.5,3.0,4.0,2.0,2.0,1.0,2.0,0.56,0.44,9.0,2.0,3.0,0.0,4.0,4.0
0E7r5Fwn,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,07/12/2025,11:00,Round 13,Feirense,Academico Viseu,0,0,[],[],bet365,4.0,2.05,3.0,bet365,3.1,3.0,2.15,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,10.0,1.06,bet365,2.0,1.73,bet365,1.62,1.33,1.33,,,0.49,0.51,6.0,6.0,4.0,3.0,7.0,4.0,9.0,13.0,4.0,2.0,1.0,0.0,,,0.57,0.43,3.0,4.0,2.0,2.0,3.0,1.0,0.41,0.59,3.0,2.0,2.0,1.0,4.0,3.0
hr1QFWi4,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,07/12/2025,08:00,Round 13,Lusitania FC,Portimonense,3,2,"[39, 48, 103]","[66, 98]",bet365,2.63,2.1,4.0,bet365,1.95,3.2,3.4,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.29,1.33,1.73,,,0.48,0.52,10.0,8.0,7.0,4.0,5.0,2.0,23.0,10.0,3.0,1.0,1.0,3.0,,,0.51,0.49,6.0,2.0,3.0,1.0,4.0,0.0,0.45,0.55,4.0,6.0,4.0,3.0,1.0,2.0
MmxYpChU,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,06/12/2025,15:00,Round 13,Benfica B,Oliveirense,2,0,"[41, 55]",[],bet365,2.2,2.3,5.5,bet365,1.57,3.5,5.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.83,1.83,bet365,1.14,1.25,2.2,,,0.54,0.46,15.0,3.0,9.0,1.0,8.0,7.0,16.0,13.0,1.0,1.0,2.0,4.0,,,0.53,0.47,7.0,2.0,5.0,1.0,3.0,5.0,0.55,0.45,8.0,1.0,4.0,0.0,5.0,2.0
