Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
67ftpaWO,ROMANIA,2025-2026,Superliga 2025 2026,13/12/2025,15:30,Round 20,FC Rapid Bucuresti,Otelul,0,2,[],"[17, 80]",bet365,2.6,2.1,4.5,bet365,1.91,3.5,3.9,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.91,1.8,bet365,1.25,1.29,1.83,0.97,1.21,0.52,0.48,13.0,12.0,4.0,7.0,3.0,2.0,22.0,10.0,1.0,0.0,0.0,1.0,5.0,4.0,0.46,0.54,5.0,6.0,0.0,3.0,1.0,0.0,0.57,0.43,8.0,6.0,4.0,4.0,2.0,2.0
dWZk42Ht,ROMANIA,2025-2026,Superliga 2025 2026,13/12/2025,12:00,Round 20,FC Arges,FC Botosani,0,0,[],[],bet365,3.4,1.91,4.0,bet365,2.5,2.9,3.1,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.36,1.4,1.5,0.96,1.03,0.37,0.63,9.0,15.0,2.0,2.0,4.0,6.0,13.0,13.0,1.0,1.0,3.0,2.0,1.0,2.0,0.4,0.6,4.0,6.0,1.0,0.0,2.0,3.0,0.34,0.66,5.0,9.0,1.0,2.0,2.0,3.0
Agt60KG5,ROMANIA,2025-2026,Superliga 2025 2026,12/12/2025,15:30,Round 20,CFR Cluj,Csikszereda M. Ciuc,3,1,"[6, 46, 96]",[71],bet365,1.73,2.6,8.5,bet365,1.3,5.5,8.5,bet365,1.3,3.4,bet365,2.38,1.53,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,2.1,1.67,bet365,1.08,1.14,3.4,1.93,0.41,0.56,0.44,15.0,8.0,7.0,5.0,5.0,2.0,8.0,13.0,3.0,2.0,0.0,4.0,4.0,3.0,0.63,0.37,12.0,2.0,5.0,1.0,4.0,1.0,0.46,0.54,3.0,6.0,2.0,4.0,1.0,1.0
x6Rly4mf,ROMANIA,2025-2026,Superliga 2025 2026,08/12/2025,15:30,Round 19,FC Botosani,FC Rapid Bucuresti,0,0,[],[],bet365,3.4,2.1,3.25,bet365,2.63,2.9,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.44,1.36,1.4,0.59,1.3,0.53,0.47,15.0,8.0,6.0,1.0,7.0,1.0,22.0,16.0,3.0,2.0,2.0,0.0,1.0,6.0,0.48,0.52,7.0,4.0,3.0,1.0,4.0,0.0,0.59,0.41,8.0,4.0,3.0,0.0,3.0,1.0
O21FM4Y0,ROMANIA,2025-2026,Superliga 2025 2026,08/12/2025,12:30,Round 19,UTA Arad,Petrolul,1,0,[96],[],bet365,3.25,1.95,3.75,bet365,2.38,2.9,2.88,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.36,1.36,1.5,0.89,0.43,0.55,0.45,16.0,7.0,5.0,4.0,7.0,1.0,8.0,14.0,3.0,2.0,2.0,1.0,4.0,4.0,0.55,0.45,7.0,4.0,1.0,3.0,3.0,0.0,0.55,0.45,9.0,3.0,4.0,1.0,4.0,1.0
Mg1hePvQ,ROMANIA,2025-2026,Superliga 2025 2026,07/12/2025,15:30,Round 19,Univ. Craiova,CFR Cluj,1,1,[36],[51],bet365,2.5,2.1,4.5,bet365,1.83,3.25,3.75,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.22,1.3,1.8,2.5,0.21,0.62,0.38,20.0,5.0,11.0,2.0,8.0,3.0,6.0,8.0,1.0,2.0,6.0,5.0,1.0,10.0,0.61,0.39,8.0,1.0,4.0,0.0,3.0,0.0,0.64,0.36,12.0,4.0,7.0,2.0,5.0,3.0
KUfOKr3D,ROMANIA,2025-2026,Superliga 2025 2026,07/12/2025,12:30,Round 19,Metaloglobus Bucharest,Farul Constanta,2,1,"[22, 29]",[65],bet365,5.0,2.25,2.3,bet365,4.33,3.4,1.67,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.8,1.91,bet365,2.0,1.29,1.18,1.73,1.46,0.4,0.6,16.0,18.0,7.0,2.0,6.0,10.0,15.0,10.0,3.0,2.0,2.0,1.0,1.0,4.0,0.42,0.58,13.0,8.0,7.0,1.0,4.0,4.0,0.37,0.63,3.0,10.0,0.0,1.0,2.0,6.0
6oJ5XLnJ,ROMANIA,2025-2026,Superliga 2025 2026,07/12/2025,10:00,Round 19,U. Cluj,FC Hermannstadt,3,0,"[5, 68, 70]",[],bet365,2.4,2.05,5.5,bet365,1.7,3.1,4.75,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.1,7.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.2,1.62,bet365,1.17,1.33,2.0,1.24,0.26,0.51,0.49,11.0,7.0,5.0,1.0,2.0,2.0,12.0,4.0,3.0,0.0,2.0,0.0,1.0,2.0,0.5,0.5,4.0,3.0,1.0,1.0,0.0,1.0,0.52,0.48,7.0,4.0,4.0,0.0,2.0,1.0
COsArneK,ROMANIA,2025-2026,Superliga 2025 2026,06/12/2025,15:30,Round 19,FCSB,Din. Bucuresti,0,0,[],[],bet365,3.25,1.95,3.75,bet365,2.4,2.88,2.8,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.36,1.36,1.5,0.29,0.36,0.51,0.49,5.0,8.0,2.0,2.0,4.0,1.0,11.0,18.0,3.0,2.0,1.0,5.0,2.0,2.0,0.51,0.49,1.0,2.0,1.0,0.0,2.0,0.0,0.52,0.48,4.0,6.0,1.0,2.0,2.0,1.0
bLFcZsI6,ROMANIA,2025-2026,Superliga 2025 2026,06/12/2025,12:00,Round 19,Csikszereda M. Ciuc,FC Arges,0,2,[],"[37, 75]",bet365,4.5,1.95,2.88,bet365,3.5,2.88,2.05,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.67,1.36,1.25,0.25,1.36,0.51,0.49,7.0,13.0,0.0,3.0,2.0,4.0,13.0,17.0,1.0,3.0,0.0,2.0,2.0,0.0,0.39,0.61,4.0,4.0,0.0,0.0,0.0,2.0,0.62,0.38,3.0,9.0,0.0,3.0,2.0,2.0
