Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
SIjlZjhf,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,23/11/2025,14:30,Round 9,Al Nassr,Al Khaleej,4,1,"[39, 42, 77, 96]",[47],bet365,1.44,3.2,8.5,bet365,1.17,7.0,10.0,bet365,1.17,4.5,bet365,1.8,2.0,bet365,3.4,1.3,bet365,1.01,15.0,bet365,1.07,7.5,bet365,1.29,3.5,bet365,1.67,2.1,bet365,2.5,1.5,bet365,1.73,2.0,bet365,1.03,1.06,4.0,1.92,1.71,0.55,0.45,21.0,12.0,10.0,5.0,4.0,2.0,15.0,8.0,3.0,1.0,3.0,4.0,3.0,6.0,0.6,0.4,9.0,5.0,4.0,1.0,2.0,1.0,0.48,0.52,12.0,7.0,6.0,4.0,2.0,1.0
OppcXUM6,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,23/11/2025,14:30,Round 9,Al Taawon,Neom SC,1,1,[107],[95],bet365,2.63,2.2,3.5,bet365,2.1,3.5,2.9,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.0,1.11,bet365,1.05,8.5,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.0,1.11,bet365,1.67,2.1,bet365,1.3,1.22,1.6,0.48,1.49,0.49,0.51,8.0,15.0,2.0,2.0,8.0,1.0,11.0,16.0,4.0,3.0,1.0,0.0,1.0,1.0,0.54,0.46,4.0,4.0,0.0,0.0,4.0,0.0,0.41,0.59,4.0,11.0,2.0,2.0,4.0,1.0
f5htyDNs,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,23/11/2025,12:05,Round 9,Al Okhdood,Al Shabab,1,1,[47],[33],bet365,4.0,2.05,2.75,bet365,3.4,3.25,2.05,bet365,1.44,2.63,bet365,3.25,1.33,bet365,7.5,1.07,bet365,1.06,8.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,7.5,1.07,bet365,2.0,1.73,bet365,1.73,1.33,1.3,0.96,1.35,0.43,0.57,5.0,12.0,2.0,1.0,3.0,5.0,13.0,10.0,2.0,2.0,6.0,2.0,0.0,1.0,0.46,0.54,3.0,4.0,1.0,1.0,2.0,2.0,0.39,0.61,2.0,8.0,1.0,0.0,1.0,3.0
Gbgrw0gS,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,22/11/2025,11:40,Round 9,Al Hilal,Al Fateh,2,1,"[26, 88]",[9],bet365,1.44,3.4,8.0,bet365,1.17,7.0,12.0,bet365,1.13,5.5,bet365,1.62,2.2,bet365,2.75,1.4,bet365,1.01,34.0,bet365,1.05,8.5,bet365,1.2,4.33,bet365,1.5,2.5,bet365,2.1,1.67,bet365,1.57,2.25,bet365,1.02,1.08,4.5,2.89,0.96,0.68,0.32,17.0,5.0,8.0,1.0,8.0,5.0,9.0,15.0,2.0,2.0,2.0,1.0,0.0,6.0,0.74,0.26,11.0,3.0,5.0,1.0,4.0,2.0,0.62,0.38,6.0,2.0,3.0,0.0,4.0,3.0
nspEXwHk,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,22/11/2025,11:25,Round 9,Al Ettifaq,Al Fayha,3,2,"[10, 27, 57]","[65, 82]",bet365,3.4,2.05,3.1,bet365,2.8,3.3,2.38,bet365,1.44,2.63,bet365,3.25,1.33,bet365,7.5,1.07,bet365,1.07,7.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,7.0,1.08,bet365,1.91,1.8,bet365,1.53,1.33,1.4,1.77,2.49,0.39,0.61,7.0,22.0,5.0,7.0,0.0,8.0,13.0,7.0,,,1.0,4.0,6.0,2.0,0.49,0.51,4.0,10.0,3.0,3.0,0.0,4.0,0.29,0.71,3.0,12.0,2.0,4.0,0.0,4.0
04z8gLw9,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,22/11/2025,10:40,Round 9,Damac,Al Najma,0,0,[],[],bet365,2.38,2.2,4.5,bet365,1.8,3.6,4.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.03,10.0,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,6.5,1.1,bet365,1.83,1.83,bet365,1.22,1.29,1.91,1.38,0.54,0.68,0.32,15.0,10.0,3.0,1.0,13.0,6.0,17.0,9.0,5.0,1.0,1.0,4.0,1.0,2.0,0.68,0.32,7.0,3.0,2.0,1.0,10.0,3.0,0.68,0.32,8.0,7.0,1.0,0.0,3.0,3.0
nJ1Rtrf3,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,21/11/2025,14:30,Round 9,Al Ahli SC,Al Qadsiah,2,1,"[6, 66]",[64],bet365,2.5,2.1,4.0,bet365,1.95,3.4,3.6,bet365,1.4,2.75,bet365,3.0,1.36,bet365,7.0,1.08,bet365,1.06,8.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,6.5,1.1,bet365,1.83,1.83,bet365,1.29,1.3,1.8,0.55,1.08,0.28,0.72,7.0,14.0,4.0,3.0,0.0,10.0,14.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,0.35,0.65,2.0,7.0,2.0,1.0,0.0,4.0,0.21,0.79,5.0,7.0,2.0,2.0,0.0,6.0
KWaZvMOF,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,21/11/2025,12:15,Round 9,Al Ittihad,Al Riyadh,2,1,"[24, 42]",[77],bet365,1.62,2.88,7.5,bet365,1.25,5.25,9.5,bet365,1.22,4.0,bet365,2.03,1.78,bet365,4.0,1.22,Betano.br,1.03,13.5,bet365,1.11,6.0,bet365,1.4,2.75,bet365,1.91,1.8,bet365,3.25,1.33,bet365,1.8,1.91,bet365,1.04,1.11,3.4,1.59,0.8,0.65,0.35,15.0,7.0,6.0,5.0,5.0,4.0,15.0,12.0,,,3.0,1.0,4.0,6.0,0.64,0.36,8.0,0.0,3.0,0.0,3.0,2.0,0.66,0.34,7.0,7.0,3.0,5.0,2.0,2.0
8dYMVHo2,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,21/11/2025,11:50,Round 9,Al Kholood,Al Hazem,1,2,[3],"[30, 37]",bet365,3.2,2.05,3.2,bet365,2.55,3.1,2.55,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.5,1.07,bet365,1.07,7.5,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,7.0,1.08,bet365,1.83,1.83,bet365,1.44,1.29,1.44,2.57,2.04,0.6,0.4,13.0,18.0,8.0,9.0,4.0,5.0,15.0,19.0,1.0,3.0,0.0,1.0,8.0,6.0,0.5,0.5,4.0,12.0,2.0,7.0,1.0,4.0,0.68,0.32,9.0,6.0,6.0,2.0,3.0,1.0
ttu0QM9M,SAUDI-ARABIA,2025-2026,Saudi Professional League 2025 2026,08/11/2025,14:30,Round 8,Al Ittihad,Al Ahli SC,0,1,[],[55],bet365,3.0,2.3,3.0,bet365,2.55,3.4,2.55,bet365,1.3,3.4,bet365,2.38,1.53,bet365,5.5,1.13,bet365,1.01,15.0,bet365,1.2,4.33,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.5,1.3,1.5,0.43,1.33,0.69,0.31,9.0,9.0,3.0,5.0,7.0,2.0,15.0,15.0,0.0,4.0,0.0,4.0,4.0,3.0,0.62,0.38,3.0,5.0,1.0,2.0,2.0,0.0,0.75,0.25,6.0,4.0,2.0,3.0,5.0,2.0
