Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
rmWe1q1d,SCOTLAND,2025-2026,Championship 2025 2026,13/12/2025,12:00,Round 18,Arbroath,Partick Thistle,2,1,"[50, 63]",[77],bet365,3.6,2.1,2.88,bet365,3.1,3.1,2.15,bet365,1.4,2.75,bet365,3.0,1.36,bet365,7.0,1.08,bet365,1.04,9.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,7.0,1.08,bet365,1.83,1.83,bet365,1.57,1.29,1.29,,,0.44,0.56,9.0,8.0,3.0,2.0,3.0,7.0,,,2.0,2.0,,,,,0.51,0.49,2.0,5.0,1.0,1.0,1.0,4.0,0.37,0.63,7.0,3.0,2.0,1.0,2.0,3.0
W8CjNQNF,SCOTLAND,2025-2026,Championship 2025 2026,13/12/2025,12:00,Round 18,Morton,Airdrieonians,0,1,[],[62],bet365,2.5,2.05,4.33,bet365,1.9,3.1,3.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,7.5,1.07,bet365,1.07,7.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,7.5,1.07,bet365,2.0,1.73,bet365,1.2,1.29,1.8,,,0.53,0.47,12.0,10.0,4.0,3.0,7.0,4.0,,,3.0,2.0,,,,,0.54,0.46,7.0,4.0,2.0,1.0,3.0,2.0,0.52,0.48,5.0,6.0,2.0,2.0,4.0,2.0
Sz6aL4hS,SCOTLAND,2025-2026,Championship 2025 2026,13/12/2025,12:00,Round 18,Queen's Park,Dunfermline,1,1,[40],[81],bet365,4.33,2.1,2.4,bet365,3.75,3.3,1.83,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.05,8.5,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,5.5,1.13,bet365,1.83,1.83,bet365,1.8,1.25,1.2,,,0.46,0.54,6.0,8.0,4.0,3.0,1.0,8.0,,,2.0,4.0,,,,,0.5,0.5,2.0,1.0,2.0,1.0,0.0,2.0,0.42,0.58,4.0,7.0,2.0,2.0,1.0,6.0
djdVFrGk,SCOTLAND,2025-2026,Championship 2025 2026,13/12/2025,12:00,Round 18,Raith,Ross County,6,0,"[8, 14, 37, 49, 77, 83]",[],bet365,2.63,2.05,4.0,bet365,2.0,3.3,3.4,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.5,1.07,bet365,1.06,8.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,7.0,1.08,bet365,1.91,1.8,bet365,1.25,1.25,1.67,,,0.55,0.45,9.0,1.0,6.0,0.0,4.0,2.0,,,0.0,2.0,,,,,0.6,0.4,4.0,1.0,3.0,0.0,3.0,1.0,0.5,0.5,5.0,0.0,3.0,0.0,1.0,1.0
beErPng3,SCOTLAND,2025-2026,Championship 2025 2026,12/12/2025,16:45,Round 18,Ayr,St Johnstone,2,4,"[8, 14]","[47, 77, 88, 92]",bet365,4.33,2.1,2.5,bet365,3.6,3.3,1.9,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.5,1.07,bet365,1.04,9.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,7.0,1.08,bet365,1.91,1.8,bet365,1.8,1.25,1.22,,,0.51,0.49,5.0,11.0,3.0,6.0,2.0,7.0,,,1.0,4.0,,,,,0.49,0.51,4.0,4.0,3.0,2.0,2.0,4.0,0.53,0.47,1.0,7.0,0.0,4.0,0.0,3.0
Iwlk5h2U,SCOTLAND,2025-2026,Championship 2025 2026,06/12/2025,12:00,Round 17,Ayr,Partick Thistle,0,0,[],[],bet365,3.0,2.05,3.4,bet365,2.35,3.25,2.75,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.5,1.07,bet365,1.06,8.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,7.0,1.08,bet365,1.83,1.83,bet365,1.36,1.25,1.5,,,0.42,0.58,7.0,15.0,2.0,5.0,8.0,8.0,,,1.0,2.0,,,,,0.48,0.52,2.0,9.0,1.0,3.0,6.0,2.0,0.36,0.64,5.0,6.0,1.0,2.0,2.0,6.0
YkObPemn,SCOTLAND,2025-2026,Championship 2025 2026,06/12/2025,12:00,Round 17,Dunfermline,Arbroath,1,2,[61],"[75, 94]",bet365,2.5,2.05,4.5,bet365,1.85,3.2,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,7.5,1.07,bet365,1.06,8.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,7.5,1.07,bet365,2.0,1.73,bet365,1.22,1.36,1.83,,,0.48,0.52,5.0,12.0,3.0,7.0,4.0,4.0,,,3.0,2.0,,,,,0.48,0.52,1.0,7.0,1.0,3.0,2.0,1.0,0.48,0.52,4.0,5.0,2.0,4.0,2.0,3.0
xrLFLDnB,SCOTLAND,2025-2026,Championship 2025 2026,06/12/2025,12:00,Round 17,Ross County,Airdrieonians,1,2,[83],"[57, 67]",bet365,2.2,2.25,4.75,bet365,1.65,3.6,4.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.0,1.11,bet365,1.02,11.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.0,1.14,bet365,1.8,1.91,bet365,1.17,1.29,2.2,,,0.46,0.54,10.0,8.0,3.0,5.0,12.0,2.0,,,2.0,2.0,,,,,0.43,0.57,4.0,2.0,2.0,0.0,6.0,1.0,0.49,0.51,6.0,6.0,1.0,5.0,6.0,1.0
dWXm35Wq,SCOTLAND,2025-2026,Championship 2025 2026,06/12/2025,12:00,Round 17,St Johnstone,Raith,0,0,[],[],bet365,2.1,2.1,6.0,bet365,1.55,3.6,5.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.0,1.08,bet365,1.05,8.5,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,7.0,1.08,bet365,2.2,1.62,bet365,1.1,1.22,2.2,,,0.59,0.41,13.0,3.0,4.0,1.0,8.0,1.0,,,0.0,5.0,,,,,0.63,0.37,4.0,3.0,1.0,1.0,4.0,1.0,0.55,0.45,9.0,0.0,3.0,0.0,4.0,0.0
UHH7NZHb,SCOTLAND,2025-2026,Championship 2025 2026,05/12/2025,16:45,Round 17,Morton,Queen's Park,2,1,"[43, 92]",[45],bet365,2.3,2.1,5.0,bet365,1.7,3.4,4.5,bet365,1.44,2.63,bet365,3.0,1.36,bet365,7.5,1.07,bet365,1.05,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,7.0,1.08,bet365,2.0,1.73,bet365,1.13,1.25,1.95,,,0.45,0.55,17.0,3.0,6.0,2.0,6.0,4.0,,,1.0,1.0,,,,,0.45,0.55,5.0,2.0,2.0,1.0,2.0,4.0,0.45,0.55,12.0,1.0,4.0,1.0,4.0,0.0
