Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
Qwhq3Pfk,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,13/12/2025,14:30,Round 19,Partizan,Napredak,3,2,"[36, 40, 68]","[54, 57]",bet365,1.53,2.88,9.5,bet365,1.2,6.5,12.0,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.02,11.0,bet365,1.13,5.5,bet365,1.44,2.63,bet365,2.1,1.67,bet365,3.5,1.29,bet365,2.1,1.67,bet365,1.01,1.1,4.33,1.89,1.02,0.52,0.48,16.0,7.0,8.0,5.0,4.0,0.0,17.0,20.0,2.0,6.0,0.0,1.0,3.0,5.0,0.53,0.47,9.0,2.0,5.0,1.0,3.0,0.0,0.5,0.5,7.0,5.0,3.0,4.0,1.0,0.0
M5oh13P1,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,13/12/2025,14:00,Round 19,Zeleznicar Pancevo,IMT Novi Beograd,1,0,[43],[],bet365,2.1,2.25,5.0,bet365,1.6,3.7,5.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,6.5,1.1,bet365,1.05,8.5,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,5.5,1.13,bet365,1.83,1.83,bet365,1.14,1.29,2.25,0.37,1.33,0.64,0.36,7.0,8.0,2.0,3.0,3.0,3.0,17.0,24.0,1.0,2.0,3.0,1.0,2.0,1.0,0.73,0.27,3.0,3.0,1.0,1.0,3.0,0.0,0.5,0.5,4.0,5.0,1.0,2.0,0.0,3.0
8M9ZDt97,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,13/12/2025,12:30,Round 19,Vojvodina,OFK Beograd Mozzart Bet,0,0,[],[],bet365,2.05,2.4,4.75,bet365,1.6,4.1,4.5,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.0,1.14,bet365,1.03,10.0,bet365,1.2,4.33,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.67,2.1,bet365,1.17,1.22,2.25,1.26,0.62,0.54,0.46,18.0,13.0,4.0,4.0,8.0,6.0,20.0,16.0,1.0,2.0,1.0,0.0,4.0,4.0,0.55,0.45,8.0,5.0,4.0,2.0,5.0,3.0,0.52,0.48,10.0,8.0,0.0,2.0,3.0,3.0
U76D8oXR,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,13/12/2025,10:00,Round 19,Radnicki 1923,Javor,1,1,[30],[71],bet365,2.05,2.38,5.0,bet365,1.55,4.1,4.75,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.03,10.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.8,1.91,bet365,1.13,1.17,2.2,1.51,0.96,0.63,0.37,13.0,6.0,5.0,5.0,7.0,5.0,14.0,17.0,1.0,2.0,1.0,0.0,4.0,4.0,0.63,0.37,8.0,3.0,3.0,3.0,4.0,3.0,0.64,0.36,5.0,3.0,2.0,2.0,3.0,2.0
8bRnNpnL,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,13/12/2025,09:00,Round 19,Cukaricki,Radnik,1,1,[23],[80],bet365,2.3,2.2,4.75,bet365,1.75,3.5,4.75,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.06,8.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,6.5,1.1,bet365,1.83,1.83,bet365,1.17,1.29,2.0,0.47,1.73,0.38,0.62,8.0,18.0,4.0,5.0,1.0,7.0,20.0,15.0,5.0,1.0,1.0,4.0,4.0,3.0,0.38,0.62,7.0,8.0,4.0,2.0,1.0,3.0,0.38,0.62,1.0,10.0,0.0,3.0,0.0,4.0
AZeDLkeA,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,08/12/2025,15:00,Round 18,Sp. Subotica,TSC,1,2,[28],"[60, 79]",bet365,3.6,2.1,2.88,bet365,3.0,3.3,2.2,bet365,1.4,2.75,bet365,3.0,1.36,bet365,7.0,1.08,bet365,1.06,8.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.5,1.29,bet365,6.5,1.1,bet365,1.83,1.83,bet365,1.62,1.33,1.36,0.27,1.6,0.47,0.53,4.0,14.0,2.0,6.0,1.0,5.0,13.0,14.0,3.0,3.0,2.0,4.0,3.0,1.0,0.44,0.56,3.0,6.0,2.0,1.0,1.0,3.0,0.49,0.51,1.0,8.0,0.0,5.0,0.0,2.0
2XzhE7mp,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,08/12/2025,13:00,Round 18,Radnicki Nis,Cukaricki,1,2,[5],"[8, 72]",bet365,3.4,2.1,2.88,bet365,2.8,3.4,2.3,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.05,8.5,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,6.5,1.1,bet365,1.8,1.91,bet365,1.57,1.3,1.4,0.19,2.99,0.43,0.57,5.0,26.0,3.0,8.0,1.0,5.0,13.0,21.0,4.0,0.0,3.0,0.0,6.0,2.0,0.37,0.63,5.0,19.0,3.0,7.0,0.0,4.0,0.5,0.5,0.0,7.0,0.0,1.0,1.0,1.0
rmfLJTPM,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,08/12/2025,11:00,Round 18,Radnik,Mladost,0,0,[],[],bet365,2.25,2.05,5.5,bet365,1.65,3.4,5.25,bet365,1.44,2.63,bet365,3.25,1.33,bet365,8.0,1.06,bet365,1.07,7.5,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,7.5,1.07,bet365,2.2,1.62,bet365,1.14,1.3,2.2,0.61,0.53,0.57,0.43,11.0,7.0,1.0,2.0,1.0,1.0,14.0,15.0,2.0,2.0,1.0,4.0,2.0,1.0,0.59,0.41,6.0,5.0,0.0,2.0,0.0,0.0,0.56,0.44,5.0,2.0,1.0,0.0,1.0,1.0
UPm5NBQc,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,07/12/2025,13:00,Round 18,Crvena zvezda,Vojvodina,0,1,[],[54],bet365,1.62,2.88,6.5,bet365,1.27,5.5,8.0,bet365,1.2,4.33,bet365,1.98,1.83,bet365,4.0,1.22,bet365,1.01,13.0,bet365,1.1,6.5,bet365,1.36,3.0,bet365,1.9,1.9,bet365,3.0,1.36,bet365,1.67,2.1,bet365,1.06,1.13,3.75,1.16,1.13,0.65,0.35,20.0,10.0,3.0,4.0,6.0,1.0,11.0,15.0,1.0,0.0,2.0,0.0,3.0,3.0,0.58,0.42,8.0,5.0,1.0,2.0,1.0,1.0,0.72,0.28,12.0,5.0,2.0,2.0,5.0,0.0
Acv0CoId,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,07/12/2025,11:00,Round 18,IMT Novi Beograd,Novi Pazar,2,3,"[49, 62]","[24, 40, 51]",bet365,2.88,2.1,3.5,bet365,2.25,3.25,3.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,7.0,1.08,bet365,1.03,10.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.25,1.33,bet365,6.0,1.11,bet365,1.73,2.0,bet365,1.36,1.33,1.57,0.79,1.61,0.65,0.35,10.0,12.0,5.0,5.0,3.0,2.0,12.0,15.0,0.0,2.0,2.0,0.0,1.0,3.0,0.57,0.43,4.0,7.0,2.0,4.0,2.0,2.0,0.72,0.28,6.0,5.0,3.0,1.0,1.0,0.0
YuD4A72F,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,07/12/2025,11:00,Round 18,Radnicki 1923,Partizan,2,4,"[39, 81]","[20, 22, 61, 71]",bet365,4.33,2.3,2.25,bet365,4.2,3.4,1.75,bet365,1.3,3.4,bet365,2.5,1.5,bet365,5.5,1.13,bet365,1.01,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,4.5,1.17,bet365,1.67,2.1,bet365,1.91,1.25,1.17,1.64,2.65,0.46,0.54,15.0,15.0,6.0,7.0,3.0,6.0,14.0,10.0,5.0,1.0,1.0,2.0,3.0,4.0,0.42,0.58,7.0,10.0,3.0,5.0,2.0,5.0,0.49,0.51,8.0,5.0,3.0,2.0,1.0,1.0
nPEdCTX2,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,07/12/2025,09:00,Round 18,Napredak,Zeleznicar Pancevo,2,1,"[32, 66]",[72],bet365,4.33,2.2,2.4,bet365,3.9,3.4,1.83,bet365,1.4,2.75,bet365,2.75,1.4,bet365,6.5,1.1,bet365,1.05,8.5,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.0,1.11,bet365,1.83,1.83,bet365,1.8,1.25,1.18,0.93,2.72,0.39,0.61,7.0,12.0,3.0,2.0,1.0,9.0,25.0,18.0,7.0,4.0,1.0,1.0,1.0,1.0,0.47,0.53,4.0,3.0,1.0,0.0,1.0,1.0,0.31,0.69,3.0,9.0,2.0,2.0,0.0,8.0
2JeJa8Yj,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,06/12/2025,13:00,Round 18,Javor,OFK Beograd Mozzart Bet,0,1,[],[49],bet365,3.25,2.1,2.88,bet365,2.75,3.4,2.35,bet365,1.36,3.0,bet365,2.75,1.4,bet365,6.5,1.1,bet365,1.02,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.0,1.11,bet365,1.73,2.0,bet365,1.57,1.3,1.4,1.11,1.52,0.51,0.49,16.0,12.0,5.0,5.0,1.0,7.0,12.0,11.0,0.0,2.0,1.0,1.0,3.0,5.0,0.46,0.54,9.0,4.0,4.0,1.0,0.0,5.0,0.56,0.44,7.0,8.0,1.0,4.0,1.0,2.0
KK3NfDXA,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,04/12/2025,15:00,Round 6,Crvena zvezda,Cukaricki,3,0,"[13, 54, 60]",[],bet365,1.4,3.4,10.0,bet365,1.13,8.5,15.0,bet365,1.14,5.0,bet365,1.73,2.0,bet365,3.25,1.33,,0.0,0.0,bet365,1.06,8.0,bet365,1.22,4.0,bet365,1.57,2.25,bet365,2.25,1.57,bet365,1.83,1.83,bet365,1.01,1.05,5.5,2.92,1.38,0.53,0.47,16.0,17.0,5.0,6.0,7.0,6.0,11.0,6.0,1.0,0.0,3.0,1.0,6.0,1.0,0.52,0.48,7.0,11.0,1.0,4.0,2.0,4.0,0.54,0.46,9.0,6.0,4.0,2.0,5.0,2.0
z9Vlyyf4,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,03/12/2025,13:30,Round 14,Mladost,Radnicki 1923,0,2,[],"[2, 9]",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betboom.br,1.21,3.76,Betboom.br,2.07,1.65,Betboom.br,4.34,1.16,Betfair,1.67,2.05,,0.0,0.0,0.0,0.16,0.89,0.51,0.49,3.0,13.0,0.0,6.0,1.0,2.0,23.0,20.0,2.0,1.0,0.0,1.0,3.0,0.0,0.61,0.39,1.0,9.0,0.0,4.0,0.0,1.0,0.38,0.62,2.0,4.0,0.0,2.0,1.0,1.0
rVroIGlI,SERBIA,2025-2026,Mozzart Bet Super Liga 2025 2026,30/11/2025,14:30,Round 17,OFK Beograd Mozzart Bet,Crvena zvezda,3,4,"[11, 19, 79]","[18, 24, 65, 88]",bet365,13.0,4.0,1.3,bet365,21.0,11.0,1.08,bet365,1.13,5.5,bet365,1.62,2.2,bet365,2.75,1.4,BetEsporte,1.01,35.0,bet365,1.04,9.0,bet365,1.17,4.5,bet365,1.44,2.63,bet365,2.0,1.73,bet365,1.91,1.8,Betano.br,7.2,1.05,1.03,1.17,3.82,0.35,0.65,6.0,37.0,4.0,11.0,1.0,13.0,8.0,9.0,2.0,0.0,0.0,2.0,7.0,1.0,0.37,0.63,5.0,19.0,3.0,6.0,1.0,5.0,0.32,0.68,1.0,18.0,1.0,5.0,0.0,8.0
