Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
lt9R9RG7,SLOVAKIA,2025-2026,Nike Liga 2025 2026,13/12/2025,14:00,Round 18,Presov,Michalovce,0,1,[],[82],Betfair,2.63,2.2,3.6,Betfair,2.0,3.25,3.1,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.2,Betfair,1.3,1.25,1.67,1.78,1.21,0.43,0.57,10.0,14.0,3.0,5.0,3.0,8.0,8.0,10.0,2.0,3.0,3.0,1.0,4.0,3.0,0.33,0.67,3.0,9.0,0.0,2.0,0.0,4.0,0.56,0.44,7.0,5.0,3.0,3.0,3.0,4.0
88IWKiP8,SLOVAKIA,2025-2026,Nike Liga 2025 2026,13/12/2025,11:30,Round 18,Podbrezova,Dun. Streda,0,1,[],[30],Betfair,3.5,2.3,2.63,Betfair,2.88,3.3,2.1,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.53,2.3,Betfair,1.57,1.25,1.33,1.75,0.47,0.66,0.34,24.0,10.0,5.0,2.0,12.0,5.0,10.0,9.0,1.0,2.0,2.0,0.0,1.0,5.0,0.59,0.41,10.0,7.0,0.0,2.0,4.0,3.0,0.72,0.28,14.0,3.0,5.0,0.0,8.0,2.0
plCAD9Hr,SLOVAKIA,2025-2026,Nike Liga 2025 2026,13/12/2025,11:30,Round 18,Ruzomberok,Trencin,0,0,[],[],Betfair,2.38,2.25,4.2,Betfair,1.75,3.4,3.75,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.67,2.05,Betfair,1.2,1.22,1.83,0.89,0.36,0.4,0.6,13.0,8.0,1.0,1.0,11.0,4.0,11.0,11.0,1.0,2.0,1.0,3.0,1.0,1.0,0.41,0.59,7.0,4.0,1.0,0.0,3.0,2.0,0.39,0.61,6.0,4.0,0.0,1.0,8.0,2.0
lIQvJVgL,SLOVAKIA,2025-2026,Nike Liga 2025 2026,13/12/2025,11:30,Round 18,Trnava,Skalica,2,0,"[41, 46]",[],Betfair,1.83,2.4,6.5,Betfair,1.33,4.33,7.0,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.83,1.83,Betfair,1.06,1.14,2.88,2.18,0.31,0.62,0.38,16.0,5.0,3.0,1.0,2.0,3.0,10.0,18.0,0.0,3.0,0.0,2.0,1.0,1.0,0.69,0.31,8.0,2.0,2.0,0.0,2.0,1.0,0.55,0.45,8.0,3.0,1.0,1.0,0.0,2.0
ttkApBmd,SLOVAKIA,2025-2026,Nike Liga 2025 2026,07/12/2025,14:00,Round 17,Dun. Streda,Trnava,3,1,"[13, 20, 47]",[79],Betfair,2.5,2.1,4.0,Betfair,1.91,3.25,3.5,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.7,2.0,Betfair,1.22,1.25,1.73,2.23,2.28,0.41,0.59,17.0,19.0,11.0,5.0,3.0,9.0,18.0,23.0,4.0,6.0,1.0,0.0,4.0,9.0,0.51,0.49,10.0,7.0,6.0,0.0,2.0,3.0,0.3,0.7,7.0,12.0,5.0,5.0,1.0,6.0
U1V46hAF,SLOVAKIA,2025-2026,Nike Liga 2025 2026,07/12/2025,11:30,Round 17,Trencin,Presov,0,0,[],[],Betfair,3.2,2.1,3.1,Betfair,2.5,3.1,2.5,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.67,2.05,Betfair,1.44,1.3,1.44,0.58,0.91,0.64,0.36,12.0,12.0,2.0,4.0,2.0,5.0,13.0,8.0,1.0,3.0,0.0,5.0,4.0,2.0,0.7,0.3,5.0,3.0,1.0,1.0,0.0,4.0,0.57,0.43,7.0,9.0,1.0,3.0,2.0,1.0
l4o64WvS,SLOVAKIA,2025-2026,Nike Liga 2025 2026,06/12/2025,14:00,Round 17,Kosice,Slovan Bratislava,2,0,"[43, 62]",[],Betfair,4.5,2.5,2.0,Betfair,4.5,4.0,1.53,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.5,2.38,Betfair,2.2,1.17,1.14,1.68,0.7,0.32,0.68,17.0,13.0,6.0,1.0,4.0,2.0,13.0,10.0,2.0,1.0,3.0,2.0,1.0,4.0,0.35,0.65,7.0,2.0,3.0,0.0,2.0,1.0,0.3,0.7,10.0,11.0,3.0,1.0,2.0,1.0
YFo2nXIq,SLOVAKIA,2025-2026,Nike Liga 2025 2026,06/12/2025,11:30,Round 17,Michalovce,Podbrezova,0,4,[],"[38, 69, 80, 90]",Betfair,2.7,2.3,3.3,Betfair,2.1,3.3,2.8,Betfair,1.29,3.25,Betfair,2.38,1.53,Betfair,5.5,1.13,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.5,2.38,Betfair,1.33,1.25,1.57,0.42,1.5,0.42,0.58,9.0,8.0,1.0,5.0,4.0,6.0,8.0,17.0,2.0,4.0,1.0,6.0,1.0,1.0,0.32,0.68,2.0,4.0,1.0,1.0,0.0,5.0,0.54,0.46,7.0,4.0,0.0,4.0,4.0,1.0
KnxxaA2k,SLOVAKIA,2025-2026,Nike Liga 2025 2026,06/12/2025,11:30,Round 17,Skalica,Komarno,1,1,[28],[94],Betfair,2.88,2.1,3.5,Betfair,2.25,3.1,2.8,Betfair,1.36,2.88,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,2.0,1.73,Betfair,3.8,1.22,Betfair,7.5,1.06,Betfair,1.73,1.95,Betfair,1.33,1.3,1.53,0.59,1.58,0.38,0.62,7.0,16.0,2.0,4.0,2.0,6.0,16.0,16.0,2.0,4.0,2.0,0.0,3.0,1.0,0.47,0.53,5.0,6.0,2.0,1.0,2.0,3.0,0.31,0.69,2.0,10.0,0.0,3.0,0.0,3.0
dlXd8Eu3,SLOVAKIA,2025-2026,Nike Liga 2025 2026,06/12/2025,11:30,Round 17,Zilina,Ruzomberok,1,2,[39],"[5, 71]",Betfair,1.91,2.5,5.5,Betfair,1.4,4.33,5.5,Betfair,1.22,3.75,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.6,2.15,Betfair,1.08,1.14,2.63,1.24,0.92,0.65,0.35,14.0,10.0,4.0,5.0,4.0,6.0,11.0,16.0,3.0,5.0,2.0,1.0,2.0,3.0,0.65,0.35,6.0,4.0,2.0,3.0,1.0,2.0,0.64,0.36,8.0,6.0,2.0,2.0,3.0,4.0
