Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
SOsfinLN,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,07/12/2025,13:30,Round 18,Celje,Primorje,4,1,"[12, 26, 56, 78]",[30],Betfair,1.67,2.75,6.5,Betfair,1.25,5.0,7.5,Betfair,1.2,4.0,Betfair,2.1,1.67,Betfair,4.5,1.17,Betano.br,1.03,9.5,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,1.67,2.05,Betfair,1.06,1.13,3.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,7.0,3.0,8.0,4.0,,,,,,,,,,,,,,,,,,,18.0,12.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,1.0,,,,,,,7.0,7.0,1.0,0.0,,,,,,,,,,,10.0,4.0,4.0,1.0,6.0,3.0,,,,,,,,,11.0,5.0,2.0,1.0,,
SrQxcjin,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,07/12/2025,11:00,Round 18,Bravo,O. Ljubljana,2,1,"[6, 56]",[88],Betfair,3.75,2.1,2.7,Betfair,3.1,3.1,2.1,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.07,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.73,1.95,Betfair,1.62,1.3,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,18.0,13.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,1.0,2.0,,,,,,,9.0,3.0,1.0,0.0,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,9.0,10.0,2.0,2.0,,
0dOpeULb,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,06/12/2025,13:30,Round 18,Radomlje,Mura,3,1,"[13, 39, 62]",[82],Betfair,2.88,2.1,3.4,Betfair,2.2,3.2,2.8,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betano.br,5.3,1.12,Betfair,1.67,2.05,Betano.br,1.45,1.3,1.55,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,3.0,3.0,6.0,2.0,,,,,,,,,,,,,,,,,,,8.0,26.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,5.0,14.0,0.0,1.0,,,,,,,,,,,5.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,3.0,12.0,0.0,1.0,,
Kbvng8jB,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,06/12/2025,11:00,Round 18,Maribor,Aluminij,2,3,"[4, 40]","[79, 84, 91]",Betfair,1.67,2.75,7.0,Betfair,1.22,5.0,8.0,Betfair,1.2,4.0,Betfair,2.1,1.67,Betfair,4.5,1.17,Betano.br,1.03,9.75,Betfair,1.08,6.5,Betfair,1.4,2.75,Betfair,2.1,1.65,Betano.br,3.35,1.28,Betfair,1.7,2.0,Betano.br,1.09,1.15,3.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,8.0,4.0,5.0,9.0,,,,,,,,,,,,,,,,,,,21.0,20.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,7.0,1.0,2.0,3.0,,,,,,,11.0,10.0,1.0,1.0,,,,,,,,,,,4.0,9.0,1.0,3.0,3.0,6.0,,,,,,,,,10.0,10.0,2.0,0.0,,
CdJQoQro,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,05/12/2025,13:30,Round 18,Koper,Domzale,2,1,"[15, 77]",[26],Betfair,1.83,2.6,5.5,Betfair,1.33,4.5,6.0,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.6,2.15,Betfair,1.08,1.14,2.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,4.0,4.0,8.0,5.0,,,,,,,,,,,,,,,,,,,11.0,15.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,4.0,2.0,2.0,,,,,,,6.0,8.0,0.0,0.0,,,,,,,,,,,9.0,3.0,3.0,0.0,6.0,3.0,,,,,,,,,5.0,7.0,1.0,0.0,,
Eu03rixg,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,30/11/2025,13:30,Round 17,Celje,Koper,1,1,[21],[35],Betfair,1.91,2.5,5.0,Betfair,1.44,4.0,5.0,Betfair,1.22,3.75,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.6,2.15,Betano.br,1.17,1.21,2.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,25.0,10.0,8.0,3.0,17.0,7.0,,,,,,,,,,,,,,,,,,,16.0,8.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,4.0,2.0,8.0,4.0,,,,,,,6.0,5.0,1.0,0.0,,,,,,,,,,,13.0,4.0,4.0,1.0,9.0,3.0,,,,,,,,,10.0,3.0,0.0,0.0,,
ID6fpD7t,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,30/11/2025,11:00,Round 17,Domzale,Bravo,1,0,[36],[],Betfair,4.0,2.3,2.38,Betfair,3.5,3.4,1.85,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,13.0,Betfair,1.17,4.5,Betfair,1.6,2.2,Betfair,2.75,1.4,Betfair,5.2,1.13,Betfair,1.57,2.2,Betano.br,1.82,1.27,1.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,3.0,1.0,4.0,7.0,,,,,,,,,,,,,,,,,,,8.0,12.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,0.0,2.0,1.0,,,,,,,4.0,7.0,1.0,0.0,,,,,,,,,,,3.0,7.0,1.0,1.0,2.0,6.0,,,,,,,,,4.0,5.0,1.0,3.0,,
lIfSxm6U,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,29/11/2025,13:30,Round 17,O. Ljubljana,Radomlje,2,1,"[15, 59]",[77],Betfair,2.1,2.3,5.0,Betfair,1.53,3.7,5.0,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betano.br,4.8,1.15,Betfair,1.8,1.87,Betano.br,1.19,1.24,2.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,4.0,4.0,8.0,5.0,,,,,,,,,,,,,,,,,,,16.0,17.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,3.0,1.0,3.0,4.0,,,,,,,8.0,8.0,1.0,0.0,,,,,,,,,,,6.0,4.0,1.0,3.0,5.0,1.0,,,,,,,,,8.0,9.0,1.0,1.0,,
thiKv9yI,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,29/11/2025,11:00,Round 17,Mura,Maribor,0,1,[],[28],Betfair,3.75,2.25,2.5,Betfair,3.3,3.3,1.91,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betano.br,4.85,1.14,Betfair,1.6,2.15,Betano.br,1.82,1.28,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,2.0,2.0,4.0,7.0,,,,,,,,,,,,,,,,,,,11.0,22.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,2.0,2.0,,,,,,,5.0,9.0,0.0,1.0,,,,,,,,,,,3.0,6.0,1.0,1.0,2.0,5.0,,,,,,,,,6.0,13.0,1.0,2.0,,
Kx3BtV65,SLOVENIA,2025-2026,Prva Liga 2025 2026,SLOVENIA Prva Liga 2025 2026,28/11/2025,13:30,Round 17,Aluminij,Primorje,0,0,[],[],Betfair,3.2,2.2,2.88,Betfair,2.55,3.25,2.38,Betfair,1.3,3.2,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,1.53,2.3,Betano.br,1.6,1.27,1.45,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,4.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,14.0,19.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,1.0,3.0,3.0,,,,,,,9.0,10.0,0.0,0.0,,,,,,,,,,,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,5.0,9.0,0.0,0.0,,
