Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
4lqhlwng,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,07/12/2025,10:30,Round 7,TS Galaxy,Kaizer Chiefs,0,0,[],[],Betfair,4.33,1.91,2.8,Betfair,3.4,2.8,2.05,Betfair,1.5,2.5,Betfair,3.5,1.25,Betfair,9.5,1.04,Betfair,1.07,7.0,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.15,1.6,Betfair,1.62,1.33,1.22,0.16,1.53,0.44,0.56,3.0,26.0,1.0,8.0,2.0,13.0,18.0,7.0,3.0,2.0,1.0,3.0,8.0,0.0,0.48,0.52,1.0,13.0,0.0,6.0,1.0,3.0,0.4,0.6,2.0,13.0,1.0,2.0,1.0,10.0
fZyx3cVA,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,03/12/2025,14:30,Round 15,Chippa Utd.,Kaizer Chiefs,0,0,[],[],Betfair,4.5,2.0,2.5,Betfair,4.0,3.0,1.85,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,9.5,1.04,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.05,1.67,Betano.br,1.85,1.34,1.22,0.22,2.04,0.44,0.56,6.0,17.0,1.0,5.0,2.0,6.0,11.0,20.0,1.0,1.0,2.0,1.0,5.0,1.0,0.39,0.61,1.0,5.0,0.0,1.0,1.0,2.0,0.5,0.5,5.0,12.0,1.0,4.0,1.0,4.0
CjpL6uWo,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,03/12/2025,14:30,Round 15,Magesi,Sekhukhune,0,1,[],[6],Betfair,3.75,1.83,3.4,Betfair,2.75,2.63,2.63,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,10.0,1.03,Betfair,1.11,5.5,Betfair,1.6,2.25,Betfair,2.88,1.36,Betfair,6.5,1.08,Betfair,13.0,1.01,Betfair,2.3,1.53,Betano.br,1.47,1.39,1.42,1.19,0.53,0.61,0.39,21.0,8.0,4.0,2.0,7.0,2.0,12.0,17.0,3.0,3.0,1.0,1.0,1.0,3.0,0.59,0.41,11.0,5.0,2.0,2.0,3.0,1.0,0.64,0.36,10.0,3.0,2.0,0.0,4.0,1.0
69XC2TJU,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,03/12/2025,14:30,Round 15,Orbit College,Durban City,0,3,[],"[45, 55, 93]",Betfair,4.5,1.73,3.0,Betfair,3.6,2.63,2.1,Betfair,1.67,2.1,Betfair,4.5,1.17,Betfair,11.0,1.02,Betfair,1.11,5.5,Betfair,1.65,2.1,Betfair,3.2,1.3,Betfair,7.0,1.07,Betfair,17.0,1.01,Betfair,2.5,1.44,Betano.br,1.65,1.39,1.28,0.36,1.46,0.39,0.61,11.0,11.0,3.0,5.0,5.0,3.0,13.0,24.0,3.0,1.0,3.0,0.0,3.0,3.0,0.33,0.67,3.0,4.0,1.0,2.0,2.0,3.0,0.44,0.56,8.0,7.0,2.0,3.0,3.0,0.0
lfUuAgLt,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,03/12/2025,14:30,Round 15,Siwelele,Mamelodi Sundowns,1,1,[27],[74],Betfair,7.5,2.1,2.0,Betfair,7.0,3.6,1.4,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,9.5,1.04,Betfair,1.05,7.5,Betfair,1.4,2.75,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.5,1.44,Betano.br,2.62,1.24,1.1,0.71,1.89,0.23,0.77,3.0,13.0,1.0,2.0,0.0,9.0,14.0,13.0,6.0,5.0,6.0,1.0,1.0,0.0,0.25,0.75,1.0,5.0,1.0,1.0,0.0,6.0,0.21,0.79,2.0,8.0,0.0,1.0,0.0,3.0
bqU44kkI,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,03/12/2025,14:30,Round 15,Stellenbosch,Polokwane,1,2,[59],"[39, 46]",Betfair,3.2,1.8,4.33,Betfair,2.2,2.6,3.5,Betfair,1.67,2.1,Betfair,4.5,1.17,Betfair,11.0,1.02,Betfair,1.11,5.5,Betfair,1.65,2.1,Betfair,3.3,1.29,Betfair,7.5,1.06,Betfair,17.0,1.01,Betfair,2.5,1.44,Betano.br,1.28,1.4,1.62,1.74,2.22,0.59,0.41,15.0,11.0,6.0,2.0,7.0,3.0,12.0,7.0,3.0,3.0,0.0,1.0,0.0,3.0,0.42,0.58,6.0,5.0,1.0,2.0,3.0,0.0,0.7,0.3,9.0,6.0,5.0,0.0,4.0,3.0
b7rT4J0b,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,02/12/2025,14:30,Round 15,Golden Arrows,AmaZulu,0,1,[],[56],Betfair,3.25,2.0,3.4,Betfair,2.4,2.88,2.75,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.95,1.73,Betano.br,1.4,1.34,1.55,1.85,0.37,0.69,0.31,17.0,9.0,2.0,4.0,6.0,5.0,11.0,4.0,1.0,0.0,1.0,2.0,3.0,2.0,0.68,0.32,5.0,5.0,0.0,3.0,2.0,5.0,0.7,0.3,12.0,4.0,2.0,1.0,4.0,0.0
xG0NiC5C,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,30/11/2025,10:30,Round 14,Marumo Gallants,Magesi,1,1,[42],[27],Betfair,3.3,1.83,4.0,Betfair,2.3,2.63,3.1,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,10.0,1.03,Betfair,1.08,6.5,Betfair,1.57,2.25,Betfair,2.88,1.36,Betfair,6.5,1.08,Betfair,13.0,1.01,Betfair,2.3,1.53,Betano.br,1.38,1.37,1.52,1.65,0.59,0.52,0.48,14.0,10.0,6.0,1.0,7.0,6.0,11.0,10.0,1.0,1.0,2.0,1.0,1.0,5.0,0.58,0.42,9.0,4.0,5.0,1.0,7.0,3.0,0.47,0.53,5.0,6.0,1.0,0.0,0.0,3.0
jqAmuZL6,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,29/11/2025,13:00,Round 14,Polokwane,TS Galaxy,0,0,[],[],Betfair,3.4,1.8,4.0,Betfair,2.4,2.63,3.0,Betfair,1.62,2.2,Betfair,4.5,1.17,Betfair,10.5,1.02,Betfair,1.11,5.5,Betfair,1.6,2.2,Betfair,3.2,1.3,Betfair,7.0,1.07,Betano.br,9.25,1.03,Betfair,2.38,1.5,Betano.br,1.36,1.42,1.5,0.74,0.48,0.46,0.54,10.0,8.0,2.0,1.0,5.0,3.0,10.0,13.0,2.0,1.0,3.0,1.0,1.0,2.0,0.4,0.6,6.0,4.0,0.0,1.0,2.0,1.0,0.51,0.49,4.0,4.0,2.0,0.0,3.0,2.0
EHer1GrQ,SOUTH-AFRICA,2025-2026,Betway Premiership 2025 2026,29/11/2025,13:00,Round 14,Siwelele,Chippa Utd.,0,0,[],[],Betfair,2.75,1.8,5.0,Betfair,1.85,2.7,4.6,Betfair,1.67,2.1,Betfair,4.5,1.17,Betfair,11.0,1.02,Betfair,1.11,5.5,Betfair,1.73,2.0,Betfair,3.3,1.29,Betfair,7.5,1.06,Betano.br,9.5,1.03,Betfair,2.7,1.4,Betano.br,1.2,1.38,1.83,0.54,0.36,0.57,0.43,7.0,10.0,1.0,0.0,9.0,5.0,13.0,12.0,2.0,3.0,1.0,2.0,0.0,1.0,0.57,0.43,4.0,6.0,0.0,0.0,5.0,5.0,0.56,0.44,3.0,4.0,1.0,0.0,4.0,0.0
