Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
IwUrkvRk,SOUTH-AMERICA,2025,Copa Libertadores 2025,29/11/2025,18:00,Play Offs,Palmeiras (Bra),Flamengo RJ (Bra),0,1,[],[67],bet365,4.33,1.91,3.1,bet365,3.4,3.0,2.35,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.13,6.0,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.1,1.67,bet365,1.57,1.36,1.3,1.0,0.72,0.4,0.6,9.0,11.0,0.0,3.0,4.0,7.0,15.0,18.0,4.0,3.0,2.0,1.0,1.0,0.0,0.33,0.67,2.0,3.0,0.0,0.0,0.0,2.0,0.49,0.51,7.0,8.0,0.0,3.0,4.0,5.0
Mq6koiCb,SOUTH-AMERICA,2025,Copa Libertadores 2025,30/10/2025,21:30,Play Offs,Palmeiras (Bra),LDU Quito (Ecu),4,0,"[20, 50, 68, 82]",[],bet365,1.57,2.88,10.0,bet365,1.2,6.25,13.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.2,1.62,bet365,3.75,1.25,bet365,2.0,1.75,bet365,1.04,1.13,4.33,3.71,0.34,0.64,0.36,28.0,8.0,8.0,1.0,4.0,0.0,6.0,14.0,3.0,4.0,0.0,1.0,1.0,4.0,0.69,0.31,19.0,4.0,3.0,1.0,3.0,0.0,0.57,0.43,9.0,4.0,5.0,0.0,1.0,0.0
82ZflHO7,SOUTH-AMERICA,2025,Copa Libertadores 2025,29/10/2025,21:30,Play Offs,Racing Club (Arg),Flamengo RJ (Bra),0,0,[],[],bet365,3.75,2.05,3.0,bet365,2.9,3.25,2.38,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.53,1.33,1.4,1.04,0.53,0.6,0.4,20.0,6.0,4.0,2.0,13.0,0.0,13.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,0.47,0.53,7.0,6.0,1.0,2.0,2.0,0.0,0.77,0.23,13.0,0.0,3.0,0.0,11.0,0.0
QHCtmDsn,SOUTH-AMERICA,2025,Copa Libertadores 2025,23/10/2025,21:30,Play Offs,LDU Quito (Ecu),Palmeiras (Bra),3,0,"[16, 27, 47]",[],bet365,4.0,1.95,3.1,bet365,3.5,2.88,2.35,bet365,1.53,2.38,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.0,1.17,bet365,13.0,1.04,bet365,2.05,1.7,bet365,1.57,1.4,1.29,2.0,1.5,0.59,0.41,17.0,16.0,7.0,3.0,6.0,8.0,14.0,8.0,5.0,2.0,0.0,0.0,3.0,4.0,0.69,0.31,13.0,6.0,6.0,1.0,6.0,2.0,0.5,0.5,4.0,10.0,1.0,2.0,0.0,6.0
zkymjwfe,SOUTH-AMERICA,2025,Copa Libertadores 2025,22/10/2025,21:30,Play Offs,Flamengo RJ (Bra),Racing Club (Arg),1,0,[88],[],bet365,1.83,2.25,10.0,bet365,1.33,4.75,9.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,9.0,1.07,bet365,2.63,1.44,bet365,1.07,1.18,3.25,2.18,0.27,0.72,0.28,20.0,4.0,6.0,1.0,10.0,4.0,6.0,18.0,1.0,2.0,3.0,3.0,1.0,6.0,0.72,0.28,7.0,4.0,3.0,1.0,5.0,3.0,0.73,0.27,13.0,0.0,3.0,0.0,5.0,1.0
SxJ4jltS,SOUTH-AMERICA,2025,Copa Libertadores 2025,25/09/2025,21:30,Play Offs,Estudiantes L.P. (Arg),Flamengo RJ (Bra),1,1,[47],[],bet365,4.75,2.0,2.75,bet365,4.0,3.1,2.0,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.5,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.05,1.7,bet365,1.8,1.36,1.22,0.6,0.67,0.36,0.64,13.0,8.0,3.0,3.0,3.0,7.0,9.0,8.0,1.0,1.0,3.0,1.0,2.0,2.0,0.41,0.59,7.0,5.0,2.0,2.0,1.0,4.0,0.29,0.71,6.0,3.0,1.0,1.0,2.0,3.0
fu9OZdJ0,SOUTH-AMERICA,2025,Copa Libertadores 2025,25/09/2025,19:00,Play Offs,Sao Paulo (Bra),LDU Quito (Ecu),0,1,[],[41],bet365,1.91,2.25,8.5,bet365,1.38,4.5,8.5,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.05,1.75,bet365,3.5,1.29,bet365,8.0,1.08,bet365,2.38,1.53,bet365,1.08,1.18,3.0,2.59,0.88,0.75,0.25,26.0,4.0,11.0,1.0,16.0,0.0,7.0,14.0,1.0,2.0,3.0,1.0,0.0,11.0,0.74,0.26,12.0,3.0,5.0,1.0,9.0,0.0,0.76,0.24,14.0,1.0,6.0,0.0,7.0,0.0
hCxknR8N,SOUTH-AMERICA,2025,Copa Libertadores 2025,24/09/2025,21:30,Play Offs,Palmeiras (Bra),River Plate (Arg),3,1,"[51, 91, 94]",[8],bet365,2.38,2.1,5.5,bet365,1.75,3.3,5.0,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.0,1.75,bet365,1.17,1.33,2.0,1.91,0.67,0.58,0.42,14.0,10.0,10.0,2.0,2.0,4.0,8.0,14.0,2.0,7.0,1.0,3.0,1.0,7.0,0.61,0.39,4.0,6.0,3.0,1.0,1.0,2.0,0.56,0.44,10.0,4.0,7.0,1.0,1.0,2.0
CnKKxGLO,SOUTH-AMERICA,2025,Copa Libertadores 2025,23/09/2025,19:00,Play Offs,Racing Club (Arg),Velez Sarsfield (Arg),1,0,[82],[],bet365,2.88,2.0,4.33,bet365,2.25,3.1,3.4,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.75,bet365,1.3,1.36,1.62,2.52,0.31,0.46,0.54,23.0,4.0,7.0,1.0,5.0,1.0,19.0,5.0,2.0,2.0,2.0,2.0,1.0,6.0,0.48,0.52,13.0,0.0,4.0,0.0,4.0,0.0,0.43,0.57,10.0,4.0,3.0,1.0,1.0,1.0
6NUehABF,SOUTH-AMERICA,2025,Copa Libertadores 2025,18/09/2025,21:30,Play Offs,Flamengo RJ (Bra),Estudiantes L.P. (Arg),2,1,"[1, 9]",[91],bet365,1.83,2.3,11.0,bet365,1.33,4.75,11.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,9.0,1.07,bet365,2.75,1.4,bet365,1.05,1.18,3.25,1.98,0.45,0.56,0.44,16.0,10.0,8.0,3.0,6.0,4.0,12.0,16.0,5.0,3.0,2.0,0.0,3.0,6.0,0.61,0.39,11.0,3.0,3.0,1.0,4.0,0.0,0.51,0.49,5.0,7.0,5.0,2.0,2.0,4.0
