Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
WEu1BXdL,SOUTH-KOREA,2024,K League 1 2024,08/12/2024,02:25,Relegation,Jeonbuk,Seoul E-Land,2,1,"[50, 98]",[47],bet365,2.75,2.25,3.6,bet365,2.15,3.4,2.9,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.36,1.29,1.62,,,0.46,0.54,8.0,13.0,6.0,2.0,2.0,6.0,5.0,10.0,2.0,1.0,2.0,4.0,1.0,4.0,0.49,0.51,4.0,4.0,2.0,1.0,2.0,4.0,0.43,0.57,4.0,9.0,4.0,1.0,0.0,2.0
b1sgDgS8,SOUTH-KOREA,2024,K League 1 2024,01/12/2024,04:00,Relegation,Seoul E-Land,Jeonbuk,1,2,[49],"[38, 84]",bet365,3.75,2.0,3.1,bet365,3.2,3.2,2.3,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.57,1.36,1.36,,,0.47,0.53,9.0,17.0,5.0,9.0,6.0,4.0,7.0,10.0,3.0,2.0,2.0,2.0,7.0,4.0,0.37,0.63,1.0,11.0,0.0,5.0,0.0,3.0,0.56,0.44,8.0,6.0,5.0,4.0,6.0,1.0
hbyIJKLi,SOUTH-KOREA,2024,K League 1 2024,01/12/2024,02:00,Relegation,Daegu,Asan,3,1,"[51, 84, 94]",[98],bet365,2.6,2.3,4.0,bet365,1.91,3.5,3.9,bet365,1.33,3.25,bet365,2.5,1.5,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.25,1.29,1.83,,,0.61,0.39,12.0,6.0,7.0,3.0,9.0,1.0,11.0,14.0,5.0,5.0,3.0,0.0,2.0,4.0,0.62,0.38,6.0,3.0,3.0,0.0,2.0,1.0,0.55,0.45,5.0,3.0,3.0,3.0,5.0,0.0
xjgVeHTp,SOUTH-KOREA,2024,K League 1 2024,28/11/2024,07:00,Relegation,Asan,Daegu,4,3,"[12, 15, 45, 70]","[47, 87, 95]",bet365,3.6,2.0,3.25,bet365,2.7,3.1,2.4,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,1.95,1.8,bet365,1.5,1.33,1.4,,,0.45,0.55,8.0,17.0,6.0,13.0,3.0,5.0,6.0,12.0,0.0,3.0,2.0,1.0,10.0,2.0,0.56,0.44,5.0,7.0,4.0,6.0,3.0,0.0,0.34,0.66,3.0,10.0,2.0,7.0,0.0,5.0
n7RlBys2,SOUTH-KOREA,2024,K League 1 2024,24/11/2024,02:00,Relegation Group,Daegu,Incheon,1,3,[95],"[43, 51, 98]",bet365,3.5,2.05,3.25,bet365,2.7,3.2,2.45,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.53,1.36,1.44,,,0.49,0.51,15.0,18.0,8.0,10.0,5.0,5.0,5.0,9.0,0.0,1.0,1.0,2.0,7.0,7.0,0.44,0.56,2.0,14.0,0.0,7.0,1.0,4.0,0.54,0.46,13.0,4.0,8.0,3.0,4.0,1.0
2F9yZvZ8,SOUTH-KOREA,2024,K League 1 2024,24/11/2024,02:00,Relegation Group,Daejeon,Jeju SK,2,1,"[30, 45]",[10],bet365,2.88,2.2,3.6,bet365,2.2,3.25,3.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.33,1.3,1.57,,,0.52,0.48,15.0,15.0,8.0,5.0,6.0,6.0,16.0,10.0,1.0,3.0,4.0,1.0,4.0,6.0,0.58,0.42,7.0,6.0,3.0,2.0,4.0,2.0,0.46,0.54,8.0,9.0,5.0,3.0,2.0,4.0
EuEsDcCk,SOUTH-KOREA,2024,K League 1 2024,24/11/2024,02:00,Relegation Group,Gwangju FC,Jeonbuk,1,1,[93],[75],bet365,3.4,2.1,3.25,bet365,2.63,3.2,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.5,1.36,1.44,,,0.58,0.42,8.0,12.0,3.0,5.0,5.0,5.0,10.0,18.0,2.0,3.0,1.0,1.0,4.0,2.0,0.57,0.43,4.0,8.0,1.0,3.0,2.0,1.0,0.59,0.41,4.0,4.0,2.0,2.0,3.0,4.0
nugKCund,SOUTH-KOREA,2024,K League 1 2024,23/11/2024,02:00,Championship Group,Gangwon,Pohang,1,0,[36],[],bet365,3.6,2.1,3.1,bet365,2.9,3.2,2.38,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.8,1.91,bet365,1.53,1.36,1.4,,,0.38,0.62,6.0,10.0,4.0,5.0,2.0,9.0,8.0,11.0,1.0,2.0,1.0,1.0,5.0,3.0,0.37,0.63,3.0,2.0,2.0,0.0,1.0,2.0,0.39,0.61,3.0,8.0,2.0,5.0,1.0,7.0
jDaBE1Hq,SOUTH-KOREA,2024,K League 1 2024,23/11/2024,02:00,Championship Group,Gimcheon Sangmu,Seoul,1,3,[72],"[47, 63, 92]",bet365,3.4,2.05,3.4,bet365,2.6,3.1,2.7,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.44,1.36,1.5,,,0.57,0.43,18.0,12.0,4.0,10.0,9.0,4.0,7.0,8.0,1.0,0.0,1.0,1.0,7.0,3.0,0.56,0.44,5.0,5.0,1.0,3.0,5.0,1.0,0.58,0.42,13.0,7.0,3.0,7.0,4.0,3.0
tvEuKNgM,SOUTH-KOREA,2024,K League 1 2024,23/11/2024,02:00,Championship Group,Ulsan HD,Suwon FC,4,2,"[5, 53, 85, 90]","[43, 64]",bet365,3.2,2.25,3.2,bet365,2.55,3.3,2.55,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.57,2.25,bet365,1.5,1.33,1.5,,,0.48,0.52,14.0,19.0,8.0,13.0,6.0,2.0,7.0,9.0,1.0,2.0,0.0,1.0,11.0,4.0,0.52,0.48,7.0,11.0,4.0,7.0,5.0,0.0,0.44,0.56,7.0,8.0,4.0,6.0,1.0,2.0
