Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
hM9VMIBc,SWITZERLAND,2025-2026,Super League 2025 2026,14/12/2025,12:30,Round 17,Basel,Lausanne,0,0,[],[],bet365,2.25,2.5,4.33,bet365,1.68,3.9,4.33,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.57,2.25,bet365,1.2,1.25,2.05,1.24,0.13,0.7,0.3,21.0,6.0,6.0,4.0,9.0,1.0,12.0,10.0,2.0,4.0,1.0,1.0,4.0,6.0,0.66,0.34,9.0,4.0,3.0,3.0,2.0,1.0,0.74,0.26,12.0,2.0,3.0,1.0,7.0,0.0
EybvLdtA,SWITZERLAND,2025-2026,Super League 2025 2026,14/12/2025,12:30,Round 17,Lugano,Servette,4,2,"[5, 18, 24, 52]","[40, 70]",bet365,2.75,2.2,3.75,bet365,2.1,3.3,3.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.33,1.33,1.67,1.31,1.6,0.49,0.51,11.0,14.0,5.0,8.0,7.0,8.0,10.0,15.0,2.0,2.0,1.0,1.0,6.0,1.0,0.53,0.47,9.0,3.0,4.0,2.0,5.0,4.0,0.44,0.56,2.0,11.0,1.0,6.0,2.0,4.0
EatRBh3d,SWITZERLAND,2025-2026,Super League 2025 2026,14/12/2025,10:00,Round 17,Young Boys,Luzern,2,0,"[20, 58]",[],bet365,2.1,2.63,4.33,bet365,1.62,4.33,4.2,bet365,1.22,4.0,bet365,2.0,1.73,bet365,4.33,1.2,bet365,1.01,21.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.0,1.73,bet365,3.5,1.29,bet365,1.5,2.5,bet365,1.22,1.2,2.15,1.7,1.54,0.62,0.38,12.0,9.0,7.0,2.0,3.0,4.0,5.0,12.0,0.0,1.0,0.0,5.0,2.0,3.0,0.68,0.32,6.0,2.0,2.0,1.0,1.0,1.0,0.57,0.43,6.0,7.0,5.0,1.0,2.0,3.0
tnrJDEYq,SWITZERLAND,2025-2026,Super League 2025 2026,13/12/2025,16:30,Round 17,Thun,St. Gallen,0,2,[],"[22, 77]",bet365,2.6,2.4,3.5,bet365,2.05,3.4,3.4,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.03,15.0,bet365,1.14,5.5,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.44,2.63,bet365,1.3,1.3,1.7,0.92,1.76,0.59,0.41,17.0,12.0,1.0,3.0,4.0,2.0,18.0,14.0,3.0,5.0,5.0,1.0,1.0,1.0,0.55,0.45,8.0,7.0,1.0,1.0,3.0,2.0,0.62,0.38,9.0,5.0,0.0,2.0,1.0,0.0
M11nJzBM,SWITZERLAND,2025-2026,Super League 2025 2026,13/12/2025,14:00,Round 17,Sion,Grasshoppers,1,0,[43],[],bet365,2.25,2.3,5.0,bet365,1.66,3.8,4.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,12.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.8,1.91,bet365,1.18,1.25,2.1,2.22,1.99,0.48,0.52,14.0,18.0,5.0,7.0,6.0,5.0,11.0,23.0,2.0,2.0,1.0,0.0,7.0,3.0,0.58,0.42,8.0,7.0,3.0,2.0,6.0,1.0,0.39,0.61,6.0,11.0,2.0,5.0,0.0,4.0
hro6Zee3,SWITZERLAND,2025-2026,Super League 2025 2026,13/12/2025,14:00,Round 17,Zurich,Winterthur,2,2,"[49, 67]","[44, 90]",bet365,2.05,2.5,5.0,bet365,1.56,4.5,4.75,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.53,2.4,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.62,2.2,bet365,1.18,1.18,2.3,1.75,1.7,0.58,0.42,19.0,13.0,5.0,6.0,5.0,2.0,13.0,14.0,2.0,4.0,0.0,1.0,4.0,3.0,0.61,0.39,9.0,7.0,3.0,5.0,3.0,2.0,0.56,0.44,10.0,6.0,2.0,1.0,2.0,0.0
WzemNR5t,SWITZERLAND,2025-2026,Super League 2025 2026,07/12/2025,12:30,Round 16,Lausanne,Lugano,0,0,[],[],bet365,3.1,2.4,2.88,bet365,2.57,3.7,2.4,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.02,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.25,1.57,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.53,1.29,1.44,2.29,0.87,0.47,0.53,19.0,11.0,5.0,2.0,5.0,6.0,13.0,12.0,3.0,1.0,1.0,3.0,2.0,4.0,0.47,0.53,7.0,5.0,2.0,1.0,3.0,4.0,0.47,0.53,12.0,6.0,3.0,1.0,2.0,2.0
428fL5zg,SWITZERLAND,2025-2026,Super League 2025 2026,07/12/2025,12:30,Round 16,Sion,Young Boys,2,0,"[29, 47]",[],bet365,3.0,2.38,3.1,bet365,2.4,3.6,2.57,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.6,2.3,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.44,1.29,1.53,2.17,2.66,0.45,0.55,14.0,19.0,6.0,9.0,7.0,3.0,14.0,11.0,1.0,3.0,5.0,4.0,9.0,4.0,0.5,0.5,6.0,3.0,3.0,3.0,3.0,1.0,0.39,0.61,8.0,16.0,3.0,6.0,4.0,2.0
SrIqaFJj,SWITZERLAND,2025-2026,Super League 2025 2026,07/12/2025,10:00,Round 16,Winterthur,Basel,1,2,[51],"[29, 93]",bet365,6.0,2.88,1.73,bet365,7.0,5.0,1.33,bet365,1.18,4.5,bet365,1.83,1.83,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.08,8.0,bet365,1.33,3.4,bet365,1.8,1.91,bet365,2.75,1.4,bet365,1.53,2.38,bet365,3.0,1.17,1.1,3.56,3.04,0.43,0.57,27.0,19.0,9.0,9.0,7.0,9.0,13.0,13.0,2.0,0.0,0.0,3.0,7.0,7.0,0.49,0.51,17.0,6.0,5.0,3.0,3.0,2.0,0.35,0.65,10.0,13.0,4.0,6.0,4.0,7.0
0U13Jq55,SWITZERLAND,2025-2026,Super League 2025 2026,06/12/2025,16:30,Round 16,St. Gallen,Zurich,1,2,[33],"[6, 42]",bet365,2.3,2.5,4.0,bet365,1.76,3.7,4.33,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,17.0,bet365,1.14,5.5,bet365,1.53,2.4,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,1.2,1.29,1.95,0.94,1.3,0.48,0.52,10.0,11.0,1.0,7.0,2.0,10.0,20.0,23.0,1.0,5.0,3.0,2.0,5.0,0.0,0.44,0.56,7.0,5.0,1.0,4.0,1.0,1.0,0.51,0.49,3.0,6.0,0.0,3.0,1.0,9.0
