Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
W29KbPQ8,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,14/12/2025,14:00,Round 16,Samsunspor,Basaksehir,0,2,[],"[66, 83]",bet365,2.6,2.3,4.0,bet365,1.96,3.5,3.6,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.29,1.29,1.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.85,0.83,0.56,0.53,0.83,0.85,-1.17,0.85,,,0.82,0.81,0.62,0.46,0.68,0.62,0.0,1.0,0.28,0.06,14.0,12.0,4.0,6.0,7.0,5.0,,,,,,,,,,,22.0,21.0,,,,,,,17.0,9.0,,,,,3.0,0.0,,,0.89,0.67,45.0,53.0,22.0,27.0,4.0,5.0,2.0,0.0,3.0,0.0,,,0.31,0.49,0.06,0.26,,,5.0,6.0,3.0,2.0,2.0,4.0,,,,,,,9.0,5.0,1.0,0.0,,,,,0.54,0.34,0.5,0.27,,,9.0,6.0,1.0,4.0,5.0,1.0,,,,,,,,,8.0,4.0,2.0,0.0,,
v9MYzMY1,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,14/12/2025,14:00,Round 16,Trabzonspor,Besiktas,3,3,"[25, 63, 84]","[18, 22, 31]",bet365,3.25,2.3,3.0,bet365,2.75,3.4,2.4,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.53,1.3,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2.6,2.13,1.15,0.9,2.13,2.6,-0.87,-0.4,,,0.91,0.63,0.65,0.29,0.89,0.54,0.0,1.0,0.06,0.2,34.0,9.0,13.0,5.0,12.0,3.0,,,,,,,,,,,47.0,14.0,,,,,,,7.0,8.0,,,,,1.0,1.0,,,0.75,0.67,39.0,39.0,12.0,62.0,6.0,8.0,0.0,0.0,0.0,1.0,,,0.68,1.94,0.28,0.6,,,8.0,7.0,2.0,4.0,5.0,2.0,,,,,,,1.0,5.0,1.0,0.0,,,,,1.92,0.19,0.87,0.3,,,26.0,2.0,11.0,1.0,7.0,1.0,,,,,,,,,6.0,3.0,0.0,1.0,,
SU2Td3eL,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,14/12/2025,11:00,Round 16,Karagumruk,Kocaelispor,1,1,[65],[93],bet365,4.33,2.0,2.88,bet365,3.75,2.95,2.05,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.0,1.73,bet365,1.7,1.36,1.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.79,2.05,0.47,0.95,2.05,0.79,1.05,-0.21,,,0.8,0.89,0.44,0.65,0.66,0.77,0.0,0.0,0.13,0.18,8.0,16.0,2.0,5.0,3.0,9.0,,,,,,,,,,,15.0,25.0,,,,,,,15.0,12.0,,,,,1.0,2.0,,,0.75,0.62,39.0,62.0,45.0,15.0,9.0,8.0,0.0,0.0,0.0,0.0,,,0.51,0.59,0.3,0.44,,,6.0,8.0,1.0,1.0,2.0,6.0,,,,,,,6.0,8.0,1.0,0.0,,,,,0.28,1.46,0.17,0.51,,,2.0,8.0,1.0,4.0,1.0,3.0,,,,,,,,,9.0,4.0,0.0,2.0,,
re8bisJr,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,14/12/2025,08:30,Round 16,Gaziantep,Goztepe,0,1,[],[69],bet365,4.0,2.1,2.88,bet365,3.4,3.25,2.1,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.67,1.33,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.2,0.78,1.14,0.59,0.78,1.2,-0.22,1.2,,,0.77,0.67,0.35,0.49,0.62,0.47,1.0,0.0,0.24,0.47,19.0,15.0,3.0,5.0,8.0,4.0,,,,,,,,,,,28.0,27.0,,,,,,,12.0,14.0,,,,,0.0,1.0,,,0.69,0.68,49.0,67.0,33.0,39.0,13.0,9.0,1.0,0.0,0.0,0.0,,,0.01,0.0,0.37,0.27,,,4.0,6.0,1.0,0.0,3.0,1.0,,,,,,,7.0,7.0,0.0,0.0,,,,,1.19,0.78,0.77,0.32,,,15.0,9.0,2.0,5.0,5.0,3.0,,,,,,,,,5.0,7.0,0.0,1.0,,
rsTPxr4k,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,13/12/2025,14:00,Round 16,Antalyaspor,Galatasaray,1,4,[69],"[7, 11, 56, 93]",bet365,7.0,2.63,1.8,bet365,7.0,5.25,1.33,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.25,1.57,bet365,3.75,1.25,bet365,1.8,1.91,bet365,3.0,1.17,1.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.14,1.95,0.52,1.02,1.95,1.14,-2.05,0.14,,,0.8,0.88,0.41,0.6,0.64,0.72,0.0,1.0,0.28,0.43,11.0,13.0,3.0,6.0,4.0,6.0,,,,,,,,,,,24.0,33.0,,,,,,,8.0,14.0,,,,,4.0,1.0,,,0.76,0.6,43.0,41.0,20.0,27.0,8.0,8.0,1.0,0.0,1.0,0.0,,,0.13,0.8,0.09,0.6,,,3.0,8.0,1.0,4.0,1.0,4.0,,,,,,,4.0,7.0,2.0,0.0,,,,,1.01,1.15,0.43,0.42,,,8.0,5.0,2.0,2.0,3.0,2.0,,,,,,,,,4.0,7.0,2.0,1.0,,
Srr2B2AE,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,13/12/2025,11:00,Round 16,Kayserispor,Alanyaspor,0,0,[],[],bet365,3.4,2.1,3.2,bet365,2.65,3.3,2.5,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.5,1.33,1.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.63,0.79,0.4,1.57,0.79,0.63,0.79,0.63,,,0.82,0.89,0.46,0.62,0.56,0.82,0.0,0.0,0.33,0.3,10.0,15.0,4.0,5.0,2.0,9.0,,,,,,,,,,,7.0,23.0,,,,,,,9.0,12.0,,,,,3.0,0.0,,,0.5,0.64,38.0,37.0,26.0,14.0,7.0,8.0,0.0,1.0,0.0,0.0,,,0.13,0.34,0.3,0.47,,,7.0,6.0,1.0,1.0,2.0,4.0,,,,,,,4.0,5.0,2.0,0.0,,,,,0.5,0.45,0.1,1.1,,,3.0,9.0,3.0,4.0,0.0,5.0,,,,,,,,,5.0,7.0,1.0,0.0,,
Cz0FmaI7,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,13/12/2025,08:30,Round 16,Rizespor,Eyupspor,3,0,"[47, 52, 81]",[],bet365,2.3,2.3,4.5,bet365,1.71,3.75,4.2,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.75,2.05,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.22,1.25,2.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,3.23,0.0,1.07,0.67,0.0,3.23,0.0,0.23,,,0.8,0.81,0.42,0.46,0.75,0.68,2.0,0.0,0.21,0.15,14.0,7.0,6.0,0.0,5.0,5.0,,,,,,,,,,,28.0,14.0,,,,,,,20.0,16.0,,,,,1.0,1.0,,,0.62,0.58,61.0,50.0,28.0,14.0,13.0,8.0,0.0,0.0,0.0,0.0,,,1.45,0.0,0.68,0.09,,,9.0,3.0,4.0,0.0,3.0,2.0,,,,,,,8.0,13.0,0.0,0.0,,,,,1.78,0.0,0.39,0.58,,,5.0,4.0,2.0,0.0,2.0,3.0,,,,,,,,,12.0,3.0,1.0,1.0,,
bi6hejKG,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,12/12/2025,14:00,Round 16,Kasimpasa,Genclerbirligi,0,0,[],[],bet365,3.2,2.2,3.25,bet365,2.55,3.3,2.57,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.44,1.33,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.41,0.32,0.8,0.63,0.32,0.41,0.32,0.41,,,0.78,0.81,0.38,0.5,0.6,0.55,0.0,0.0,0.33,0.18,10.0,6.0,3.0,1.0,6.0,3.0,,,,,,,,,,,23.0,13.0,,,,,,,12.0,16.0,,,,,2.0,3.0,,,0.38,0.58,63.0,44.0,14.0,17.0,9.0,7.0,0.0,0.0,0.0,0.0,,,0.0,0.32,0.22,0.59,,,2.0,4.0,0.0,1.0,2.0,2.0,,,,,,,4.0,7.0,2.0,1.0,,,,,0.41,0.0,0.58,0.04,,,8.0,2.0,3.0,0.0,4.0,1.0,,,,,,,,,8.0,9.0,0.0,2.0,,
G8l2pZ5b,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,08/12/2025,14:00,Round 15,Alanyaspor,Antalyaspor,0,0,[],[],bet365,2.3,2.2,5.0,bet365,1.68,3.6,4.75,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.18,1.29,2.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.12,0.95,1.03,0.31,0.95,0.12,0.95,0.12,,,0.84,0.79,0.41,0.42,0.76,0.57,1.0,0.0,0.3,0.23,9.0,6.0,2.0,3.0,6.0,3.0,,,,,,,,,,,23.0,8.0,,,,,,,18.0,19.0,,,,,0.0,5.0,,,0.77,0.5,46.0,53.0,18.0,32.0,8.0,7.0,0.0,1.0,0.0,0.0,,,0.12,0.88,0.58,0.22,,,7.0,2.0,2.0,2.0,4.0,0.0,,,,,,,7.0,12.0,0.0,1.0,,,,,0.0,0.07,0.45,0.09,,,2.0,4.0,0.0,1.0,2.0,3.0,,,,,,,,,11.0,7.0,0.0,4.0,,
fg0gneyn,TURKEY,2025-2026,Super Lig 2025 2026,TURKEY 1,08/12/2025,14:00,Round 15,Besiktas,Gaziantep,2,2,"[35, 70]","[7, 66]",bet365,1.8,2.75,6.5,bet365,1.33,5.25,7.0,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.02,19.0,bet365,1.13,6.0,bet365,1.44,2.7,bet365,2.1,1.67,bet365,3.5,1.29,bet365,1.67,2.1,bet365,1.1,1.17,3.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,3.5,0.96,1.2,0.19,0.96,3.5,-1.04,1.5,,,0.84,0.78,0.58,0.29,0.77,0.65,0.0,0.0,0.38,0.22,29.0,9.0,12.0,4.0,8.0,3.0,,,,,,,,,,,35.0,14.0,,,,,,,21.0,13.0,,,,,1.0,3.0,,,0.59,0.6,64.0,58.0,14.0,30.0,9.0,12.0,0.0,1.0,1.0,1.0,,,1.97,0.69,0.63,0.1,,,11.0,3.0,5.0,2.0,2.0,1.0,,,,,,,10.0,4.0,0.0,1.0,,,,,1.53,0.27,0.57,0.09,,,18.0,6.0,7.0,2.0,6.0,2.0,,,,,,,,,11.0,9.0,1.0,2.0,,
