Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
CSmVReMb,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,14/12/2025,13:00,Round 16,Shakhtar Donetsk,Epitsentr,5,0,"[9, 20, 56, 85, 89]",[],Betfair,1.44,3.0,10.0,Betfair,1.1,6.5,12.0,Betfair,1.2,4.0,Betfair,2.1,1.65,Betfair,4.8,1.14,BetEsporte,1.02,16.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.1,1.65,Betfair,3.6,1.25,Betfair,2.15,1.6,Betfair,1.03,1.08,5.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,7.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,3.0,0.0,3.0,1.0,,,,,,,5.0,6.0,0.0,0.0,,,,,,,,,,,4.0,1.0,4.0,0.0,0.0,1.0,,,,,,,,,4.0,3.0,1.0,1.0,,
CE8dDd75,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,14/12/2025,10:30,Round 16,Dyn. Kyiv,Veres-Rivne,3,0,"[9, 20, 91]",[],Betfair,1.8,2.5,6.0,Betfair,1.3,4.4,6.5,Betfair,1.25,3.6,Betfair,2.4,1.5,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.6,2.2,Betfair,2.6,1.44,Betfair,4.8,1.14,Betfair,1.8,1.87,Betfair,1.08,1.17,3.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,5.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,0.0,0.0,2.0,,,,,,,4.0,5.0,2.0,0.0,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,3.0,2.0,1.0,1.0,,
KKVNTHin,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,14/12/2025,08:00,Round 16,SC Poltava,Rukh Lviv,1,2,[49],"[31, 71]",Betfair,4.5,2.2,2.3,Betfair,3.9,3.4,1.73,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.73,1.95,Betfair,1.91,1.25,1.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,9.0,5.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,2.0,1.0,1.0,,,,,,,7.0,2.0,1.0,0.0,,,,,,,,,,,3.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,2.0,3.0,1.0,0.0,,
tf0D9E6U,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,13/12/2025,13:00,Round 16,Polissya Zhytomyr,Karpaty Lviv,3,2,"[15, 27, 52]","[54, 88]",Betfair,2.75,1.83,4.5,Betfair,1.91,2.7,4.2,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,11.0,1.01,Betfair,1.08,6.5,Betfair,1.57,2.25,Betfair,2.88,1.36,Betfair,6.5,1.08,Betfair,13.0,1.01,Betfair,2.3,1.53,Betfair,1.17,1.36,1.73,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,4.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,2.0,10.0,1.0,4.0,1.0,6.0,,,,,,,,,,,0.0,0.0,,
QcAlFIxg,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,13/12/2025,10:30,Round 16,LNZ Cherkasy,FK Zorya Luhansk,2,0,"[18, 56]",[],Betfair,2.4,2.0,5.0,Betfair,1.7,3.1,4.5,Betfair,1.45,2.55,Betfair,3.6,1.25,Betfair,10.0,1.02,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.15,1.6,Betfair,1.17,1.3,2.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,10.0,9.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,,,,,,,5.0,5.0,1.0,0.0,,,,,,,,,,,1.0,2.0,1.0,0.0,0.0,2.0,,,,,,,,,5.0,4.0,0.0,0.0,,
EJtWdyNO,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,13/12/2025,08:00,Round 16,Kryvbas,Kolos Kovalivka,1,1,[10],[56],Betfair,3.2,2.1,3.1,Betfair,2.45,2.9,2.55,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,8.0,1.05,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.5,1.06,Betfair,1.7,2.0,Betfair,1.4,1.33,1.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,
8t25BzxI,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,12/12/2025,13:00,Round 16,Obolon,Metalist 1925,1,3,[34],"[56, 60, 93]",Betfair,4.5,1.91,2.63,Betfair,3.9,2.88,1.9,Betfair,1.5,2.4,Betfair,3.6,1.25,Betfair,9.0,1.03,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.15,1.6,Betfair,1.73,1.33,1.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6.0,15.0,2.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,,,,11.0,13.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,1.0,2.0,2.0,7.0,,,,,,,1.0,6.0,0.0,1.0,,,,,,,,,,,3.0,6.0,1.0,4.0,2.0,2.0,,,,,,,,,10.0,7.0,1.0,0.0,,
4rMuHv8t,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,12/12/2025,10:30,Round 16,Oleksandriya,Kudrivka,1,1,[1],[62],Betfair,2.88,2.0,3.6,Betfair,2.2,3.0,2.9,Betfair,1.44,2.6,Betfair,3.2,1.3,Betfair,8.0,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betfair,1.33,1.33,1.57,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,3.0,3.0,8.0,16.0,,,,,,,,,,,,,,,,,,,19.0,3.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,2.0,1.0,4.0,6.0,,,,,,,9.0,2.0,1.0,0.0,,,,,,,,,,,5.0,12.0,1.0,2.0,4.0,10.0,,,,,,,,,10.0,1.0,0.0,0.0,,
IimNbchC,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,08/12/2025,10:30,Round 15,SC Poltava,Epitsentr,0,3,[],"[25, 50, 82]",Betfair,4.33,2.2,2.38,Betfair,3.8,3.3,1.75,Betfair,1.3,3.2,Betfair,2.6,1.44,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.75,1.95,Betfair,3.0,1.33,Betfair,5.5,1.11,Betfair,1.67,2.05,Betfair,1.91,1.25,1.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.0,22.0,2.0,10.0,6.0,12.0,,,,,,,,,,,,,,,,,,,12.0,13.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,11.0,2.0,5.0,2.0,6.0,,,,,,,5.0,4.0,0.0,0.0,,,,,,,,,,,4.0,11.0,0.0,5.0,4.0,6.0,,,,,,,,,7.0,9.0,2.0,1.0,,
jud62ugm,UKRAINE,2025-2026,Premier League 2025 2026,UKRAINE 1,07/12/2025,13:00,Round 15,Rukh Lviv,Polissya Zhytomyr,1,0,[38],[],Betfair,5.5,1.91,2.38,Betfair,4.75,3.0,1.67,Betfair,1.5,2.4,Betfair,3.6,1.25,Betfair,10.0,1.02,Betfair,1.06,7.5,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.13,Betfair,11.0,1.01,Betfair,2.3,1.53,Betfair,2.0,1.3,1.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,19.0,11.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,0.0,2.0,0.0,,,,,,,9.0,6.0,0.0,0.0,,,,,,,,,,,1.0,5.0,1.0,1.0,0.0,4.0,,,,,,,,,10.0,5.0,0.0,0.0,,
