Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
jJYJlwSQ,VENEZUELA,2025,Liga Futve 2025,06/12/2025,19:00,Super final,Carabobo,Universidad Central,0,2,[],"[75, 81]",bet365,2.6,2.05,4.75,bet365,1.9,3.0,4.2,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.73,bet365,1.2,1.33,1.8,1.11,1.32,0.66,0.34,10.0,13.0,3.0,4.0,5.0,6.0,11.0,19.0,5.0,2.0,0.0,2.0,2.0,3.0,0.62,0.38,3.0,7.0,2.0,1.0,3.0,5.0,0.69,0.31,7.0,6.0,1.0,3.0,2.0,1.0
rgVBjacE,VENEZUELA,2025,Liga Futve 2025,30/11/2025,19:00,Super final,Universidad Central,Carabobo,1,1,[47],[66],bet365,4.0,1.91,3.25,bet365,2.9,2.88,2.35,bet365,1.62,2.2,bet365,4.0,1.22,bet365,13.0,1.04,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.88,1.4,bet365,6.0,1.13,bet365,15.0,1.03,bet365,2.25,1.57,bet365,1.53,1.36,1.36,1.73,0.79,0.34,0.66,9.0,17.0,4.0,2.0,5.0,6.0,14.0,17.0,3.0,3.0,0.0,4.0,1.0,3.0,0.43,0.57,6.0,5.0,2.0,1.0,4.0,3.0,0.24,0.76,3.0,12.0,2.0,1.0,1.0,3.0
MceqscLq,VENEZUELA,2025,Liga Futve 2025,23/11/2025,19:00,Clausura,Carabobo,Puerto Cabello,1,0,[59],[],Betfair,2.63,2.0,4.2,Betfair,1.91,3.0,3.8,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.95,1.73,Betano.br,1.23,1.3,1.8,0.8,0.39,0.5,0.5,7.0,9.0,1.0,0.0,3.0,1.0,14.0,15.0,5.0,3.0,2.0,3.0,0.0,1.0,0.58,0.42,3.0,0.0,0.0,0.0,3.0,0.0,0.45,0.55,4.0,9.0,1.0,0.0,0.0,1.0
CAOc94dL,VENEZUELA,2025,Liga Futve 2025,09/11/2025,20:00,Clausura,Carabobo,Caracas,2,0,"[64, 86]",[],Betfair,2.4,2.1,4.5,Betfair,1.73,3.25,4.33,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.0,1.7,Betano.br,1.15,1.3,2.05,1.4,0.47,0.45,0.55,14.0,11.0,7.0,3.0,4.0,3.0,12.0,20.0,2.0,5.0,0.0,5.0,3.0,5.0,0.43,0.57,7.0,4.0,2.0,1.0,2.0,1.0,0.47,0.53,7.0,7.0,5.0,2.0,2.0,2.0
jezkBQR8,VENEZUELA,2025,Liga Futve 2025,09/11/2025,18:30,Clausura,Dep. Tachira,Metropolitanos,2,0,"[14, 46]",[],Betfair,1.67,2.63,7.0,Betfair,1.22,4.75,8.5,Betfair,1.25,3.5,Betfair,2.25,1.57,Betfair,5.5,1.13,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.5,1.17,Betfair,1.95,1.73,Betano.br,1.05,1.14,3.75,0.78,0.53,0.59,0.41,18.0,6.0,2.0,1.0,10.0,1.0,15.0,10.0,4.0,2.0,1.0,2.0,1.0,0.0,0.6,0.4,11.0,0.0,2.0,0.0,7.0,0.0,0.58,0.42,7.0,6.0,0.0,1.0,3.0,1.0
Olr3mNZ1,VENEZUELA,2025,Liga Futve 2025,08/11/2025,20:30,Clausura,La Guaira,Puerto Cabello,0,0,[],[],Betfair,3.1,1.91,3.6,Betfair,2.3,2.88,2.9,Betfair,1.44,2.63,Betfair,3.25,1.29,Betfair,9.5,1.04,Betfair,1.05,7.5,Betfair,1.4,2.75,Betfair,2.25,1.57,Betfair,4.8,1.14,Betfair,9.0,1.03,Betfair,1.95,1.73,Betano.br,1.32,1.39,1.5,0.3,0.36,0.64,0.36,10.0,7.0,3.0,0.0,1.0,3.0,14.0,7.0,3.0,4.0,0.0,5.0,0.0,3.0,0.57,0.43,6.0,2.0,3.0,0.0,1.0,1.0,0.71,0.29,4.0,5.0,0.0,0.0,0.0,2.0
4nS1kq5k,VENEZUELA,2025,Liga Futve 2025,08/11/2025,20:30,Clausura,Monagas,Zamora,1,0,[80],[],Betfair,2.88,2.2,3.3,Betfair,2.2,3.2,2.8,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.0,1.33,Betfair,6.5,1.08,Betfair,1.6,2.15,Betano.br,1.4,1.27,1.57,0.77,0.75,0.5,0.5,16.0,14.0,3.0,1.0,1.0,2.0,14.0,24.0,3.0,1.0,1.0,2.0,1.0,2.0,0.54,0.46,4.0,5.0,0.0,1.0,0.0,0.0,0.46,0.54,12.0,9.0,3.0,0.0,1.0,2.0
8GtWf5sS,VENEZUELA,2025,Liga Futve 2025,05/11/2025,20:30,Clausura,Caracas,Dep. Tachira,0,0,[],[],Betfair,3.5,2.0,2.88,Betfair,2.8,2.9,2.3,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,8.0,1.06,Betfair,1.03,9.0,Betfair,1.3,3.2,Betfair,2.1,1.65,Betfair,3.8,1.22,Betfair,8.0,1.05,Betfair,1.8,1.87,Betano.br,1.55,1.32,1.4,0.48,0.6,0.4,0.6,10.0,12.0,4.0,3.0,1.0,4.0,13.0,20.0,3.0,3.0,0.0,2.0,2.0,4.0,0.44,0.56,5.0,3.0,2.0,2.0,0.0,3.0,0.36,0.64,5.0,9.0,2.0,1.0,1.0,1.0
ClmNdRCF,VENEZUELA,2025,Liga Futve 2025,05/11/2025,20:30,Clausura,Metropolitanos,Carabobo,0,4,[],"[45, 61, 66, 87]",Betfair,5.5,2.0,2.25,Betfair,5.0,3.2,1.62,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,2.15,1.6,Betano.br,2.2,1.28,1.13,0.23,3.64,0.5,0.5,8.0,14.0,2.0,5.0,2.0,3.0,11.0,12.0,2.0,2.0,2.0,5.0,1.0,2.0,0.48,0.52,4.0,9.0,2.0,2.0,1.0,1.0,0.52,0.48,4.0,5.0,0.0,3.0,1.0,2.0
OS6Szpjd,VENEZUELA,2025,Liga Futve 2025,04/11/2025,20:30,Clausura,Puerto Cabello,Monagas,3,2,"[19, 33, 56]","[9, 35]",Betfair,1.91,2.3,5.5,Betfair,1.44,3.9,5.5,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.83,1.83,Betano.br,1.1,1.19,2.75,1.26,1.35,0.51,0.49,14.0,6.0,8.0,3.0,6.0,2.0,19.0,10.0,3.0,4.0,0.0,1.0,1.0,5.0,0.53,0.47,8.0,4.0,4.0,3.0,3.0,2.0,0.48,0.52,6.0,2.0,4.0,0.0,3.0,0.0
