Match_ID,Country,Season,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,xG_Home_FT,xG_Away_FT,Possession_Home_FT,Possession_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Corners_Home_FT,Corners_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Corners_Home_HT,Corners_Away_HT,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Corners_Home_2T,Corners_Away_2T
8ddNo7j2,WALES,2025-2026,Cymru Premier 2025 2026,09/12/2025,16:45,Round 19,Briton Ferry,TNS,0,2,[],"[7, 33]",Betfair,10.0,3.3,1.4,Betfair,13.0,7.0,1.1,Betfair,1.17,4.5,Betfair,1.91,1.8,Betfair,3.75,1.22,BetEsporte,1.01,24.0,Betfair,1.06,7.5,Betfair,1.3,3.2,Betfair,1.85,1.85,Betano.br,2.67,1.42,Betfair,2.0,1.7,Betano.br,6.0,1.08,1.02,,,0.47,0.53,9.0,7.0,3.0,2.0,4.0,6.0,,,1.0,1.0,,,,,0.44,0.56,6.0,4.0,3.0,2.0,1.0,5.0,0.5,0.5,3.0,3.0,0.0,0.0,3.0,1.0
lGHd065e,WALES,2025-2026,Cymru Premier 2025 2026,09/12/2025,16:45,Round 19,Penybont,Barry,1,1,[55],[58],Betfair,2.63,2.1,3.75,Betfair,2.0,3.25,3.25,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.01,11.0,Betfair,1.22,3.8,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,6.5,1.08,Betfair,1.67,2.05,Betfair,1.25,1.25,1.67,,,0.5,0.5,8.0,4.0,4.0,1.0,4.0,3.0,,,3.0,1.0,,,,,0.52,0.48,3.0,1.0,1.0,0.0,1.0,0.0,0.48,0.52,5.0,3.0,3.0,1.0,3.0,3.0
GlvGmTLk,WALES,2025-2026,Cymru Premier 2025 2026,05/12/2025,16:45,Round 19,Bala,Haverfordwest,0,2,[],"[26, 47]",Betfair,4.0,2.0,2.7,Betfair,3.2,3.1,2.05,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.83,1.83,Betfair,1.62,1.3,1.29,,,0.44,0.56,5.0,10.0,0.0,7.0,2.0,7.0,,,2.0,3.0,,,,,0.42,0.58,2.0,7.0,0.0,4.0,0.0,4.0,0.46,0.54,3.0,3.0,0.0,3.0,2.0,3.0
lhZ99Ar9,WALES,2025-2026,Cymru Premier 2025 2026,05/12/2025,16:45,Round 19,Caernarfon,Flint,1,1,[7],[80],Betfair,2.3,2.4,3.75,Betfair,1.75,3.7,3.5,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.44,2.5,Betfair,1.22,1.2,1.83,,,0.52,0.48,6.0,6.0,1.0,3.0,9.0,4.0,,,2.0,1.0,,,,,0.53,0.47,3.0,1.0,1.0,1.0,6.0,2.0,0.51,0.49,3.0,5.0,0.0,2.0,3.0,2.0
dIxI7lDL,WALES,2025-2026,Cymru Premier 2025 2026,05/12/2025,16:45,Round 19,Cardiff Metropolitan,Llanelli,2,1,"[55, 88]",[19],Betfair,1.67,2.63,7.0,Betfair,1.22,5.0,8.5,Betfair,1.25,3.5,Betfair,2.25,1.57,Betfair,5.5,1.13,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.95,1.73,Betfair,1.05,1.13,3.5,,,0.62,0.38,18.0,11.0,11.0,4.0,9.0,4.0,,,3.0,4.0,,,,,0.59,0.41,5.0,10.0,4.0,4.0,5.0,3.0,0.65,0.35,13.0,1.0,7.0,0.0,4.0,1.0
G2Jl2Szq,WALES,2025-2026,Cymru Premier 2025 2026,05/12/2025,16:45,Round 19,Connahs Q.,Colwyn Bay,2,1,"[12, 65]",[87],Betfair,2.25,2.3,4.5,Betfair,1.7,3.5,4.1,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.67,2.05,Betfair,1.17,1.22,2.0,,,0.47,0.53,13.0,7.0,6.0,4.0,2.0,10.0,,,4.0,1.0,,,,,0.52,0.48,6.0,4.0,3.0,3.0,2.0,4.0,0.42,0.58,7.0,3.0,3.0,1.0,0.0,6.0
nBsunGpo,WALES,2025-2026,Cymru Premier 2025 2026,29/11/2025,11:30,Round 18,Bala,Cardiff Metropolitan,2,2,"[18, 52]","[23, 32]",Betfair,3.75,2.0,2.88,Betfair,3.0,3.0,2.2,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,BetEsporte,7.2,1.06,Betfair,1.87,1.8,Estrelabet,1.5,1.3,1.3,,,0.47,0.53,11.0,16.0,3.0,6.0,8.0,2.0,,,2.0,2.0,,,,,0.49,0.51,7.0,8.0,2.0,5.0,4.0,0.0,0.45,0.55,4.0,8.0,1.0,1.0,4.0,2.0
h8UQ9Jxh,WALES,2025-2026,Cymru Premier 2025 2026,29/11/2025,11:30,Round 18,Briton Ferry,Flint,2,2,"[14, 22]","[17, 47]",Betfair,3.25,2.4,2.63,Betfair,2.8,3.5,2.05,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betano.br,3.55,1.25,Betfair,1.4,2.7,Betano.br,1.72,1.25,1.39,,,0.48,0.52,3.0,12.0,3.0,3.0,1.0,11.0,,,5.0,7.0,,,,,0.48,0.52,3.0,8.0,3.0,3.0,1.0,6.0,0.48,0.52,0.0,4.0,0.0,0.0,0.0,5.0
lzOZ7c74,WALES,2025-2026,Cymru Premier 2025 2026,29/11/2025,11:30,Round 18,Colwyn Bay,Penybont,5,4,"[6, 9, 20, 29, 48]","[8, 49, 91, 95]",Betfair,3.6,2.1,2.88,Betfair,2.8,3.1,2.25,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.0,1.07,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betano.br,5.6,1.11,Betfair,1.7,2.0,Betano.br,1.65,1.28,1.4,,,0.48,0.52,7.0,14.0,6.0,9.0,2.0,3.0,,,1.0,1.0,,,,,0.52,0.48,6.0,7.0,5.0,6.0,1.0,2.0,0.44,0.56,1.0,7.0,1.0,3.0,1.0,1.0
MmMs6yxH,WALES,2025-2026,Cymru Premier 2025 2026,29/11/2025,11:30,Round 18,Llanelli,Connahs Q.,1,2,[30],"[40, 74]",Betfair,10.0,2.88,1.5,Betfair,13.0,6.0,1.12,Betfair,1.22,3.75,Betfair,2.2,1.62,Betfair,5.0,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betano.br,3.6,1.25,Betfair,2.2,1.57,Betano.br,4.45,1.11,1.05,,,0.36,0.64,1.0,9.0,1.0,4.0,1.0,4.0,,,3.0,0.0,,,,,0.39,0.61,1.0,2.0,1.0,1.0,1.0,1.0,0.33,0.67,0.0,7.0,0.0,3.0,0.0,3.0
